Gene = CCSAP
index = 316
Annotated 5SS: [   30   843 16204]
Annotated 3SS: [  427 15934 17529]
SMsplice 5SS: [ 279  843 1236]
SMsplice 3SS: [  731  1037 19282]
top_k =  1000
Partition function (log Z): -10.746796028644898

Sorted 5' Splice Sites (High to Low Probability):
Position 843: 0.9211743604791943
Position 279: 0.7624511780716231
Position 1236: 0.7145509829303225
Position 2699: 0.4507996684495891
Position 6657: 0.4002108508827224
Position 4906: 0.36078004830258836
Position 30: 0.23271905511057978
Position 2541: 0.21451279482814548
Position 1612: 0.16492888012835322
Position 19406: 0.050871465175593
Position 541: 0.0503873571334181
Position 700: 0.04884292408292496
Position 16204: 0.04441799666413345
Position 6320: 0.03263709173742584
Position 8271: 0.030838200262669094
Position 2342: 0.022232928415611353
Position 6504: 0.0221214065390289
Position 6293: 0.01900296357826881
Position 7748: 0.017411706059195238
Position 7728: 0.015616642864013507
Position 2333: 0.007453900067001569
Position 888: 0.006241170278866679
Position 3657: 0.006115727592852197
Position 1248: 0.0060338106207356475
Position 3522: 0.005833396047152574
Position 4526: 0.004187505613205238
Position 494: 0.003852223456756538
Position 4262: 0.0034613659733519664
Position 1676: 0.00309620035085039
Position 5161: 0.002962632360631545
Position 2375: 0.0024433735559768995
Position 3109: 0.0015199597527357854
Position 505: 0.0015168344925720985
Position 6416: 0.0015122640927096418
Position 1632: 0.0012528007763892629
Position 4035: 0.0011740815633363919
Position 2371: 0.0007996716710190615
Position 1380: 0.00046428267850144264
Position 1566: 0.0003342079850957366
Position 246: 0.0002078868043420526
Position 664: 0.0001906480081562463
Position 2008: 0.0001645794830474346
Position 265: 9.991930613042219e-05
Position 424: 9.81557107554941e-05
Position 1645: 8.848341286377748e-05
Position 338: 8.728636813184263e-05
Position 1554: 8.67154260547373e-05
Position 356: 8.475718595981211e-05
Position 1096: 5.92085260040196e-05
Position 1060: 4.4900490192399394e-05
Position 1357: 2.8584773005255193e-05
Position 412: 2.5926858086125662e-05
Position 158: 2.0729168580108146e-05
Position 148: 1.0046761186717107e-05
Position 1002: 9.406067764239349e-06
Position 419: 6.79538531987337e-06
Position 670: 6.550270693439485e-06
Position 1300: 4.279369679209466e-06
Position 1364: 4.012547228762273e-06
Position 965: 3.5960041604741816e-06
Position 478: 2.9611642059409843e-06
Position 1089: 2.525550136415125e-06
Position 550: 1.9747657756461817e-06
Position 728: 1.9713402671737258e-06
Position 364: 1.844448869116319e-06
Position 1038: 1.2026555428663496e-06
Position 1048: 9.94162939236482e-07
Position 407: 5.744411639524963e-07
Position 673: 5.505554367470858e-07
Position 1166: 4.6048130592798974e-07
Position 661: 3.172764866913225e-07
Position 1464: 2.5924192954121694e-07
Position 405: 7.966712491859058e-08
Position 978: 4.0971788065203024e-08
Position 1576: 1.498170234893577e-08
Position 1657: 1.8393980145645411e-09
Position 1398: 2.585365436321478e-10
Position 1273: 1.6493673418058169e-10
Position 410: 8.287080649510637e-17

Sorted 3' Splice Sites (High to Low Probability):
Position 731: 0.8159215738457057
Position 1037: 0.6591353244319259
Position 6591: 0.41747524511533796
Position 4793: 0.2987674217385526
Position 2626: 0.29171371538418256
Position 19282: 0.2861408666247022
Position 11603: 0.23392525915741008
Position 427: 0.1386614714606844
Position 1449: 0.09897353146474877
Position 12694: 0.09811182507793614
Position 2583: 0.09451716693889398
Position 15934: 0.09300444958939735
Position 6118: 0.08788121692832015
Position 2216: 0.07776869331608569
Position 2662: 0.06611088867939677
Position 2413: 0.0650222982817753
Position 4660: 0.05490059117797219
Position 13888: 0.05375524842292269
Position 2498: 0.053358435006989495
Position 19956: 0.050871465175593
Position 1186: 0.04487751704535601
Position 7629: 0.04216192520564567
Position 1517: 0.042158251158939064
Position 6558: 0.04070645938897211
Position 13842: 0.0384082413936914
Position 12977: 0.023797912538798576
Position 13994: 0.021414131012147834
Position 1486: 0.020481917297246834
Position 8117: 0.019813943231568605
Position 8120: 0.0196809483809399
Position 8466: 0.015719322174635723
Position 2389: 0.015469524355368499
Position 2459: 0.014954960805548003
Position 996: 0.01311493401847244
Position 4643: 0.012301729553424845
Position 142: 0.01148912444201915
Position 5096: 0.01090012113425844
Position 787: 0.010524200258000247
Position 6291: 0.010214351933390205
Position 2226: 0.009617641977169057
Position 172: 0.008686738290598897
Position 9063: 0.008503869022991363
Position 7479: 0.008320150021288431
Position 1586: 0.007567237323670678
Position 581: 0.007513916139003961
Position 733: 0.007044851742320965
Position 10423: 0.006805641573880191
Position 972: 0.006703331701620054
Position 179: 0.006405277331670428
Position 206: 0.0057437130094648734
Position 4456: 0.004910018205842885
Position 2535: 0.00469074915483631
Position 2502: 0.004596763452516642
Position 3340: 0.004008400915266874
Position 7341: 0.0039613533738944015
Position 781: 0.003769721025631808
Position 7259: 0.0029739407661276045
Position 2989: 0.002890943527021277
Position 2361: 0.002827815562382362
Position 3549: 0.0027050348129104536
Position 2301: 0.0026049164308903005
Position 5718: 0.0025764336717129356
Position 9087: 0.0025609254841173546
Position 1750: 0.0024088278374790007
Position 1057: 0.0023502460905585787
Position 4222: 0.0023429738541659063
Position 240: 0.00224576056097899
Position 3235: 0.0020095924355278782
Position 3618: 0.0019519587939427695
Position 601: 0.00185463326460211
Position 784: 0.0017607529797484835
Position 2633: 0.0017287815610416007
Position 8405: 0.0016777591929525127
Position 3569: 0.0015434585678364445
Position 377: 0.0014179932080663298
Position 3656: 0.0013955084090849868
Position 9475: 0.0013319236679747012
Position 3930: 0.00129545930142479
Position 8610: 0.0012729143114499366
Position 237: 0.0012482582591887865
Position 4126: 0.0010408520586239459
Position 1519: 0.0009924242545769927
Position 745: 0.0009919844880830742
Position 148: 0.000973702037715761
Position 5026: 0.0009136671228942978
Position 3731: 0.0008559341745412005
Position 4153: 0.000792359890845862
Position 6104: 0.0006545673973033764
Position 5890: 0.0006292411609935146
Position 203: 0.0006074880591467409
Position 2834: 0.0005891640245905682
Position 4284: 0.0005335107256102996
Position 3248: 0.0005274170339668175
Position 1554: 0.0005241422725148891
Position 10718: 0.0005178283388391312
Position 4334: 0.00041672624234561885
Position 2148: 0.00040834461442181713
Position 2117: 0.00037685132716000773
Position 3766: 0.00032911557738528075
Position 438: 0.00028903420945877516
Position 748: 0.0002805273719068757
Position 1336: 0.0002561470396818295
Position 2243: 0.00022954066592138273
Position 652: 0.00021709736771446993
Position 8642: 0.0002165059703793517
Position 5696: 0.00019511263959467933
Position 562: 0.00018565106024015737
Position 6769: 0.00017044840868945637
Position 751: 0.00014389499564566508
Position 668: 8.829586594663533e-05
Position 2594: 8.746742171380622e-05
Position 5516: 8.408267082410338e-05
Position 489: 8.24647803363685e-05
Position 3674: 8.143115193066061e-05
Position 5291: 7.774105690444254e-05
Position 1398: 7.372664867117934e-05
Position 460: 7.002882728442524e-05
Position 1204: 6.19756901728124e-05
Position 4525: 5.69739317471284e-05
Position 1075: 5.297566248866429e-05
Position 2776: 3.56175006127577e-05
Position 1404: 3.143953815547519e-05
Position 1774: 2.646686789770397e-05
Position 1527: 2.6337486729220353e-05
Position 523: 1.9788304078139456e-05
Position 811: 1.8891252536644732e-05
Position 1458: 1.6673733361704386e-05
Position 3208: 1.6352037012840108e-05
Position 2037: 1.4559833512799253e-05
Position 1053: 1.454883056924569e-05
Position 1911: 1.4492241050245512e-05
