Gene = GS1-114I9.3
index = 623
Annotated 5SS: [   57  3896 49674]
Annotated 3SS: [ 3634 49497 49930]
SMsplice 5SS: [   57 17709 27948 49674]
SMsplice 3SS: [17604 27805 49497 49930]
top_k =  1000
Partition function (log Z): -29.875231398409763

Sorted 5' Splice Sites (High to Low Probability):
Position 57: 0.9585681183005156
Position 17709: 0.40303961577774167
Position 7256: 0.18034555915017053
Position 13687: 0.11310592939208967
Position 663: 0.024271729615918707
Position 3747: 0.012587834173368985
Position 3568: 0.011686260795535437
Position 3896: 0.010584154310194823
Position 5069: 0.009364522722966898
Position 7671: 0.008071859433931395
Position 3776: 0.005994699282514021
Position 8236: 0.0055670705898286385
Position 12466: 0.0052384106908370765
Position 157: 0.005061528248370095
Position 9265: 0.0045141452784261136
Position 163: 0.004284505288865938
Position 419: 0.004138130058047912
Position 7415: 0.002786177439005362
Position 3071: 0.002635820366452398
Position 6640: 0.002561144664255736
Position 5409: 0.0024189420508040887
Position 3578: 0.002406003831910719
Position 9422: 0.0023182754394336915
Position 8137: 0.0021155037817785767
Position 8240: 0.0019475306589312451
Position 6680: 0.0016611097084026942
Position 6697: 0.0016482702015988189
Position 3207: 0.0012812006669807444
Position 7685: 0.001174216183367079
Position 145: 0.0011623087921186974
Position 1117: 0.0011555741215078133
Position 1717: 0.0010877739857566157
Position 503: 0.000957401998454989
Position 7632: 0.0008852761199457833
Position 536: 0.0004991768819407461
Position 3572: 0.0004970912663314978
Position 3737: 0.00043952004731611353
Position 8469: 0.00041960227417640097
Position 9319: 0.0003752799689319546
Position 7340: 0.0003554155225862346
Position 3034: 0.000261965787161022
Position 4493: 0.0002473161511256947
Position 1071: 0.00023715418936963453
Position 896: 0.00021613489219466438
Position 4732: 0.00019937808703658747
Position 238: 0.00014750954706595323
Position 2126: 9.928759268009073e-05
Position 1645: 8.179144242573478e-05
Position 334: 8.037426226400461e-05
Position 1005: 5.682499385004206e-05
Position 775: 4.678095532486438e-05
Position 288: 4.093050713800651e-05
Position 153: 3.903282598592551e-05
Position 8948: 3.4986269187745675e-05
