Gene = ATRIP
index = 118
Annotated 5SS: [  360  3440  5169  7682 10680 12717 13179 14062 17144 17395 17925 18346]
Annotated 3SS: [ 3305  4997  7562 10521 12620 13048 13371 17006 17302 17843 18092 18748]
SMsplice 5SS: [  360  3440  7682 12717 14062 14276 17144 17395 17925 18346]
SMsplice 3SS: [ 3305  7562 12620 13970 14168 17006 17302 17843 18092 18748]
top_k =  1000
Partition function (log Z): 10.791564459603968

Sorted 5' Splice Sites (High to Low Probability):
Position 7682: 0.9984195182097634
Position 17144: 0.9918468719859017
Position 360: 0.9014626293920448
Position 17395: 0.8874657968717999
Position 3440: 0.8700759310830298
Position 14062: 0.7708799617830899
Position 18346: 0.7193871537772483
Position 14276: 0.6773089974748583
Position 17925: 0.5733407110438203
Position 13179: 0.4852102636692666
Position 12717: 0.4616311788342687
Position 10680: 0.44975169738183135
Position 14708: 0.4116722243128414
Position 17962: 0.3101216596398024
Position 3845: 0.2800097525073681
Position 5169: 0.27557836395718677
Position 16845: 0.2691116327923737
Position 12890: 0.2510843057744334
Position 100: 0.2372071807498613
Position 11259: 0.20651803741705257
Position 18288: 0.2056948093508498
Position 6732: 0.18057417821986868
Position 38: 0.14346530048069506
Position 12840: 0.07646694584639976
Position 16200: 0.07288274825616149
Position 18653: 0.06127327423661367
Position 17655: 0.05724087969284837
Position 13682: 0.04230678742209106
Position 16099: 0.03981344427692427
Position 5523: 0.03621024652386813
Position 9041: 0.03073550477453664
Position 17531: 0.030308131367767218
Position 14382: 0.029388762262266183
Position 928: 0.025747097862772166
Position 1726: 0.022416581742154284
Position 3404: 0.021258148225986727
Position 17933: 0.01820157578749378
Position 18012: 0.017034225760816164
Position 18267: 0.014154436103683873
Position 16633: 0.013068040834022172
Position 2178: 0.012171457390206026
Position 764: 0.009999994482566705
Position 6275: 0.009413734316138905
Position 13694: 0.007559629281906498
Position 851: 0.006139933114143622
Position 18207: 0.0060131049718950905
Position 10277: 0.005907489451412799
Position 12175: 0.005433970843839144
Position 6490: 0.005281200765444346
Position 16431: 0.005236739136437533
Position 11191: 0.005233818720186155
Position 18300: 0.005111176748664795
Position 14387: 0.004036567026546363
Position 516: 0.003921837620064613
Position 13049: 0.00384653151166171
Position 14015: 0.0035971779987408106
Position 1119: 0.003198859254103994
Position 2184: 0.003177244182420882
Position 2451: 0.0028488931960795366
Position 14549: 0.0027906133188086886
Position 10667: 0.002576222769588309
Position 2252: 0.0023854524723029807
Position 12465: 0.002329602560882664
Position 7331: 0.0022734542816100736
Position 18017: 0.0020585776911918457
Position 18684: 0.0019984696286796024
Position 13772: 0.0019194618259509315
