Gene = PLEKHM2
index = 1035
Annotated 5SS: [  287 32012 32485 33661 34294 35589 37057 41214 43501 43817 44026 44402
 44859 45598 46391 46926 47717 48198 48397]
Annotated 3SS: [31904 32374 33560 34205 35401 36996 40984 42681 43746 43934 44336 44769
 45464 46199 46859 47556 48017 48279 49464]
SMsplice 5SS: [  287 32012 32485 33661 34134 34294 35589 41214 41483 43817 44026 44402
 44859 45598 46391 46926 47717 48198 48397]
SMsplice 3SS: [31904 32374 33560 33939 34205 35401 40984 41355 43746 43934 44336 44686
 45464 46199 46859 47617 48017 48279 49054]
top_k =  1000
Partition function (log Z): -27.31636896921362

Sorted 5' Splice Sites (High to Low Probability):
Position 287: 0.9892336510355254
Position 6590: 0.24636025225574873
Position 6951: 0.10304834799978158
Position 3980: 0.09722757077822271
Position 10959: 0.08377595750792531
Position 13614: 0.06828970328910418
Position 1810: 0.030975105493676186
Position 1027: 0.02971909646750109
Position 8020: 0.02741180018799767
Position 5409: 0.015398833316025047
Position 1642: 0.012781755587302886
Position 4858: 0.008768853080666057
Position 6280: 0.008622761471019416
Position 8115: 0.007832118662351591
Position 6932: 0.0071459588992312615
Position 1682: 0.006476438214544263
Position 6976: 0.004335841920410265
Position 242: 0.003739279620734585
Position 13063: 0.003319563578474758
Position 6547: 0.0026254752880671872
Position 948: 0.0026192472017677005
Position 278: 0.00256239852778585
Position 1013: 0.0023314526530136916
Position 2362: 0.0018814866244705136
Position 4704: 0.0016982891783027887
Position 2292: 0.0014458971527366495
Position 118: 0.001343295359338883
Position 10251: 0.0009895339784042573
Position 3910: 0.0009514566833883026
Position 8189: 0.0007978562156937615
Position 8383: 0.0007667689445402055
Position 498: 0.0007006869439493601
Position 1267: 0.0005961793195425423
Position 1838: 0.0004959560032112202
Position 6640: 0.00045396014294541673
Position 453: 0.000414385139947112
Position 3263: 0.0003135759030493352
Position 4775: 0.00027984179702953836
Position 5167: 0.0002656499051464044
Position 10377: 0.00022561144486590848
Position 3290: 0.00017146908345231246
Position 9839: 0.00014292701606079955
Position 428: 0.00011909380858328265
Position 3883: 0.00010456514580862609
Position 5702: 8.681585441236371e-05
Position 3441: 7.011023128344664e-05
Position 5244: 6.879929230535092e-05
Position 797: 6.514691036104707e-05
Position 3687: 5.7195366333036135e-05
Position 5114: 5.343018135143888e-05
Position 3125: 4.930906426788688e-05
Position 1550: 4.870913251030773e-05
Position 274: 2.3629322998847158e-05
Position 3331: 2.362408756685154e-05
Position 556: 2.1831058756554403e-05
Position 682: 1.9884516480284543e-05
Position 492: 1.6350267433656544e-05
Position 136: 1.431656308961331e-05
Position 7347: 7.828269429358959e-06
Position 886: 7.473280993378297e-06
Position 811: 7.012606393579937e-06
Position 2047: 3.685874033949355e-06
Position 1542: 2.964835299203745e-06
Position 653: 2.6767811197260743e-06
Position 844: 2.4029359628148797e-06
Position 923: 1.9800369010273854e-06
Position 216: 1.6196469574357077e-06
Position 1159: 1.1650231193150221e-06
Position 1157: 1.142800422127321e-06
Position 1486: 1.0987641412961585e-06
Position 1155: 6.893445100773901e-07
Position 192: 4.4516248360462186e-07
Position 1169: 4.2408435395070225e-07
Position 198: 3.59618199923075e-07
Position 979: 3.269673778743359e-07
Position 1852: 3.2329977633186356e-07
Position 204: 3.13440410301975e-07
Position 1518: 3.1224824547021916e-07
Position 571: 2.827748541642205e-07
Position 1864: 2.401916883366866e-07
Position 958: 2.0028402084158193e-07
Position 1772: 1.904692449266979e-07
Position 696: 1.5919826233967778e-07
Position 2056: 1.2012528448620842e-07
Position 1980: 1.1815843961645444e-07
Position 738: 1.0328806471936761e-07
Position 43: 9.985946733421998e-08
Position 690: 9.797546374710094e-08
Position 1729: 8.96854546408776e-08
Position 706: 6.657919776185041e-08
Position 769: 6.547957981400014e-08
Position 1948: 5.321037486631619e-08
Position 1833: 3.7651592056970954e-08
Position 672: 5.709207820038593e-14
Position 631: 6.797803193881919e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 16010: 0.2519790206987911
Position 13356: 0.20148488331188075
Position 25021: 0.19042662310183286
Position 10839: 0.17659527891935634
Position 6762: 0.16315830082663366
Position 6471: 0.08302455185863915
Position 8099: 0.06368334514764348
Position 3871: 0.05806530260265876
Position 6366: 0.054431658917619634
Position 6421: 0.03555162075249957
Position 6455: 0.03552556374545036
Position 3803: 0.03314941759077283
Position 7906: 0.032253230501411705
Position 947: 0.029576962254824795
Position 1681: 0.028415669356316973
Position 12369: 0.02706643636984908
Position 12037: 0.026854629753174625
Position 1571: 0.019880873159111204
Position 15926: 0.014981597261722608
Position 10450: 0.013813235153822136
Position 6347: 0.013172694745798564
Position 9120: 0.013046119564915477
Position 15952: 0.012414442089154933
Position 19732: 0.01231003432986069
Position 6496: 0.011934178915540664
Position 4596: 0.011169068524898344
Position 5216: 0.010793271933292024
Position 15134: 0.009781424901892627
Position 13896: 0.009015871520901397
Position 13546: 0.00843258828424493
Position 6478: 0.007620393638415682
Position 12062: 0.006880316826612034
Position 2173: 0.005855300404520044
Position 6203: 0.005771331880173602
Position 12960: 0.005452052703002695
Position 13922: 0.005280870575794937
Position 10217: 0.004284266903827271
Position 6534: 0.0038776416001844705
Position 6782: 0.0037807715015207746
Position 12840: 0.0031653971614856186
Position 6439: 0.0029531664803758733
Position 12565: 0.0028903976115876207
Position 5387: 0.0027506895115010986
Position 5330: 0.00274033152168103
Position 11667: 0.0026248335815945156
Position 7210: 0.002616521202971973
Position 6082: 0.0024902678540331714
Position 9773: 0.0020339831752502636
Position 8452: 0.00201357203115667
Position 14981: 0.001986831544151904
Position 8290: 0.0019515083801283307
Position 3742: 0.0017944457780412883
Position 3905: 0.001794289935599131
Position 3227: 0.001525674655697378
Position 9068: 0.001516808935809182
Position 15081: 0.0013776918542141485
Position 6228: 0.0013580967568710292
Position 2855: 0.0012513159343893537
Position 3674: 0.001218636566025306
Position 3663: 0.001192054233210806
Position 14871: 0.0011709084087894793
Position 923: 0.001085066608036348
Position 9578: 0.0010270874964648964
Position 4378: 0.0010138026882082697
Position 5444: 0.0009918262602484386
Position 6133: 0.0009578716984337031
Position 4521: 0.0009188843639825131
Position 897: 0.0009119187345203913
Position 6818: 0.0009029890261523398
Position 9732: 0.0008965172936870324
Position 11013: 0.0007959137871882684
Position 1685: 0.0007856078688523443
Position 11494: 0.0007752442843199217
Position 792: 0.0007684330613284987
Position 6758: 0.0007658751958756741
Position 11205: 0.0006481980912567388
Position 7141: 0.0006341815540632311
Position 7875: 0.00062279954314633
Position 3532: 0.0006180506715813302
Position 3560: 0.0005956930844090071
Position 3372: 0.0005845561451150859
Position 1410: 0.0005744631345276249
Position 5244: 0.0005603001075926378
Position 3909: 0.0005345049231815745
Position 835: 0.0005285413951898611
Position 7236: 0.0005267011627988168
Position 10446: 0.0005038132103665263
Position 9600: 0.0004996309975555448
Position 665: 0.0004850135046112011
Position 5970: 0.00047186331453975144
Position 3837: 0.0004596707478105238
Position 3780: 0.0004515946901248694
Position 1604: 0.00044992555447653625
Position 10368: 0.0004087036846395897
Position 1436: 0.0003997661501815428
Position 5469: 0.0003916957459312918
Position 4071: 0.00037111189585490814
Position 9745: 0.00033498799983763453
Position 6062: 0.00030905159143268957
Position 951: 0.0003055036781840946
Position 587: 0.00030149141189058737
Position 7177: 0.00029295361134005555
Position 11224: 0.00029185168989862877
Position 1475: 0.0002916863730619363
Position 5304: 0.00027404618215407813
Position 2169: 0.00027386329479914056
Position 1574: 0.00027125044566615774
Position 11514: 0.0002683289983942393
Position 4640: 0.00025748818044637827
Position 10336: 0.00025269306955311274
Position 1579: 0.000248250284010283
Position 10856: 0.0002368538972488296
Position 1365: 0.0002231617607713393
Position 2637: 0.0001939132195682266
Position 769: 0.00019364734636031825
Position 4565: 0.00019248888020107554
Position 3941: 0.00018128159147366756
Position 2243: 0.00017953790404793966
Position 6104: 0.00017417748293300885
Position 5029: 0.00017016537019717503
Position 3389: 0.000166948184346375
Position 1867: 0.00015633956788889796
Position 1193: 0.00015534807252608752
Position 9911: 0.00014557199156659768
Position 9029: 0.000139804421576153
Position 1627: 0.00013928152380890106
Position 5761: 0.000138469327921084
Position 5757: 0.0001291304311347786
Position 2879: 0.00012073391366728254
Position 7947: 0.0001125124444628241
