Gene = TBL2
index = 1381
Annotated 5SS: [ 372 4409 4854 5472 5948 7603]
Annotated 3SS: [4277 4668 5319 5820 7449 7818]
SMsplice 5SS: [ 372 4409 4854 5472 5948 7603]
SMsplice 3SS: [4277 4735 5319 5820 7478 7818]
top_k =  1000
Partition function (log Z): 7.353775449679542

Sorted 5' Splice Sites (High to Low Probability):
Position 4409: 0.9963302349803882
Position 5472: 0.9753603795660274
Position 7603: 0.8733901999050924
Position 5948: 0.8097145617232432
Position 372: 0.4693281249642816
Position 4831: 0.3851320436250915
Position 4854: 0.36485028704540406
Position 2251: 0.31692419206797096
Position 4876: 0.22835025896820169
Position 320: 0.20361608015812158
Position 502: 0.13751673255720812
Position 4608: 0.077833746604147
Position 507: 0.07576139213906892
Position 2002: 0.06094129901703399
Position 7973: 0.05894225385789173
Position 5750: 0.042571787863730025
Position 6991: 0.039482990997616436
Position 1152: 0.03130630801585681
Position 7932: 0.029919510219091627
Position 6899: 0.026772019208495108
Position 3858: 0.02091806093108249
Position 8126: 0.017397412717662965
Position 819: 0.017251689440308776
Position 546: 0.015899979861486675
Position 168: 0.015860004547528565
Position 3129: 0.015141179526417177
Position 2526: 0.01395938677871916
Position 1072: 0.012491862963122203
Position 5931: 0.011840819293623047
Position 767: 0.011829290877286392
Position 49: 0.011397498666264015
Position 9356: 0.010086093099110007
Position 5962: 0.008125972346079887
Position 3929: 0.007098259237886214
Position 8064: 0.007013981786109402
Position 4178: 0.005800586946114541
Position 6949: 0.005668427615209499
Position 1434: 0.004040204386227507
Position 222: 0.0038928004959316053
Position 1047: 0.0038538361724522806
Position 5658: 0.003691565991057927
Position 1295: 0.0031150191754844986
Position 4418: 0.0028922486965140956
Position 2015: 0.0024877904398532677
Position 4930: 0.0018712617921096825
Position 277: 0.0016616281090143649
Position 462: 0.0016127804745143266
Position 7842: 0.0014498568813724067
Position 2267: 0.0014309015390126718
Position 2679: 0.00141492517406663
Position 3895: 0.0011442354925291654
Position 3899: 0.0010555636179411419
Position 386: 0.0008301898179332846
Position 2470: 0.0007214306205121577
Position 2518: 0.0006970701450416199
Position 8495: 0.0006734432674968574
Position 3832: 0.0006654197018666277
Position 3876: 0.0005365130946557868
Position 259: 0.000498417329842122
Position 331: 0.0004674479387682097
Position 391: 0.0004580339518285897
Position 5055: 0.0004496429025880847
Position 4807: 0.00041092004336108214
Position 5645: 0.00037683860986553795
Position 6056: 0.00036929444448399024
Position 5286: 0.0003545715826324697
Position 7487: 0.0003452002701234447
Position 192: 0.00030478733241789794
Position 987: 0.0002411921721795066
Position 779: 0.0002372201769154201
Position 445: 0.0002345772142636151
Position 835: 0.00021519817214901514
Position 9306: 0.0001934483430399047
Position 281: 0.00018510534707115285
Position 2309: 0.00015001800009533398
Position 790: 0.00014909907992903293
Position 1182: 0.00014334896420115426
Position 3205: 0.00013476131433545754
Position 172: 0.00013458459101676188
Position 7607: 0.0001328302709613048
Position 651: 0.0001319170034515727
Position 2169: 0.00012747773199672127
Position 5782: 0.00012196638199643706
Position 1796: 0.00011631495469765525
Position 3266: 0.00011449086294226574
Position 1327: 0.00011074981104827499
Position 8447: 9.59001016209518e-05
Position 4241: 9.569468528025928e-05
Position 8051: 9.457883969993898e-05
Position 6051: 9.4567073016333e-05
Position 1111: 8.204640446119862e-05
Position 709: 8.07955254640556e-05
Position 7697: 7.416985704167413e-05
Position 742: 7.009194954302284e-05
Position 376: 6.649064055083436e-05
Position 8558: 6.610565645257985e-05
Position 9370: 5.927303160985712e-05
Position 8854: 5.0707011892304464e-05
Position 7532: 4.952463343316864e-05
Position 8281: 4.9335261679240025e-05
