Gene = UIMC1
index = 1530
Annotated 5SS: [   125  23940  31013  35667  36808  37854  48316  50450  54935  63074
  95098  97886  99295 100398]
Annotated 3SS: [ 23784  30927  35541  36701  37116  48253  50372  54830  62919  95018
  97713  99230 100360 100915]
SMsplice 5SS: [   125   4992  23940  26288  31013  37854  50450  53319  63074  95098
  97886  99295 100398]
SMsplice 3SS: [  4906  23784  26017  30927  37652  50372  53219  62919  94966  97789
  99230 100360 100915]
top_k =  1000
Partition function (log Z): -22.363307822457745

Sorted 5' Splice Sites (High to Low Probability):
Position 47545: 0.9999646883012224
Position 50450: 0.999962761152883
Position 63074: 0.9943046009945544
Position 31013: 0.9925305332718828
Position 37854: 0.9617732856906133
Position 23940: 0.9554870569367326
Position 53319: 0.9471454704629549
Position 125: 0.8469812989859595
Position 4992: 0.8278212886286574
Position 26288: 0.590645514034793
Position 9573: 0.39618283580598873
Position 4055: 0.3880020923664747
Position 41575: 0.3446013186153498
Position 32970: 0.3378570079392217
Position 27244: 0.30604634096706973
Position 7342: 0.2516746299740219
Position 41605: 0.2498848134015582
Position 28299: 0.24090078980033036
Position 41649: 0.230425493742846
Position 13728: 0.21297488823504324
Position 35667: 0.21151056228127962
Position 41310: 0.20243742320347421
Position 16104: 0.19747065890294316
Position 66052: 0.19420271010545803
Position 37043: 0.17092964465677632
Position 54935: 0.12899816507813555
Position 53089: 0.12126484473625107
Position 1260: 0.11686620236750282
Position 35604: 0.10077613710985674
Position 61372: 0.08683739799282084
Position 30658: 0.08583237037991633
Position 119: 0.05516577449506269
Position 35689: 0.05325888567073678
Position 67924: 0.04791113124331386
Position 27091: 0.045956777911132424
Position 25032: 0.04439892263161361
Position 36030: 0.04401449052775669
Position 53080: 0.0424319216135924
Position 25105: 0.03677162491196842
Position 23874: 0.03579433147961726
Position 2901: 0.03429385300225922
Position 31513: 0.03359725181125879
Position 8983: 0.03227008194589181
Position 3998: 0.027918027436235084
Position 79: 0.022353556004666417
Position 40346: 0.021837990134323998
Position 8491: 0.021158142432578863
Position 1875: 0.020401802945580482
Position 66479: 0.019720865392751308
Position 3869: 0.01934347586577247
Position 40718: 0.019093251094269344
Position 16121: 0.019080504599203497
Position 3107: 0.01894211795758571
Position 965: 0.018936874364363754
Position 1507: 0.018578795626660503
Position 470: 0.013881098612505569
Position 37860: 0.012526420321236183
Position 72: 0.011976870910776864
Position 66038: 0.009170754306266491
Position 186: 0.007900231159083022
Position 28909: 0.007581478143194917
Position 53271: 0.006043564409599414
Position 129: 0.005604912696736498
Position 3983: 0.00525833513942041
Position 23893: 0.00514471883728319
Position 6631: 0.004737755110687836
Position 4411: 0.004287216612367065
Position 24108: 0.004225275894258753
Position 1868: 0.002886505816189911
Position 1521: 0.0028658375099908998
Position 32038: 0.002824355016111094
Position 35299: 0.0028108088957274472
Position 41409: 0.0026186202780313613
Position 1925: 0.0025436070719114297
Position 4086: 0.0024658408508751537
Position 33066: 0.0023484928720541895
Position 3752: 0.00227103495094842
Position 35584: 0.00206905918416966
Position 38162: 0.002011918448535615
Position 32934: 0.001994946703513971
Position 39608: 0.0019486292578278295
Position 31194: 0.0018473928444815689
Position 26121: 0.0018432484442055161
Position 4239: 0.0016486637187131258
