Gene = NOP16
index = 952
Annotated 5SS: [ 543  741 2136 3755]
Annotated 3SS: [ 631 2065 3647 4600]
SMsplice 5SS: [ 543  741 1000 2136 3755]
SMsplice 3SS: [ 631  839 2065 3647 4600]
top_k =  1000
Partition function (log Z): -2.8772381063814954

Sorted 5' Splice Sites (High to Low Probability):
Position 2136: 0.8142179605660407
Position 543: 0.7016882819713658
Position 3755: 0.6552629660777793
Position 1000: 0.5219032781492391
Position 3310: 0.36276895673799286
Position 741: 0.3455044523709657
Position 669: 0.34237345031146704
Position 2346: 0.28219286133476273
Position 730: 0.17825431267449762
Position 3046: 0.14333398814150441
Position 207: 0.1359176304588433
Position 2250: 0.11583827459934236
Position 4110: 0.0863630078104419
Position 3167: 0.0554518913972313
Position 2420: 0.04818776993413355
Position 2376: 0.03591361594160295
Position 3543: 0.02955551995707605
Position 213: 0.02786189258170844
Position 3162: 0.02654185331919339
Position 2140: 0.019048539538031435
Position 2111: 0.01363976633905418
Position 3728: 0.011251937378754812
Position 3531: 0.010246807554195088
Position 3534: 0.0058898463066085795
Position 3716: 0.005404946053964689
Position 4656: 0.0053625259058673585
Position 419: 0.0052468326134867006
Position 898: 0.00509310643224
Position 4487: 0.004464829677226002
Position 1329: 0.003965170394071403
Position 2163: 0.003056392244294399
Position 4335: 0.002308485747994978
Position 2274: 0.0023007226329970825
Position 2403: 0.00210747548369233
Position 251: 0.001976003256329893
Position 303: 0.0018044537394188134
Position 720: 0.0017112412349620835
Position 3435: 0.001552545813503908
Position 589: 0.0015215618551475132
Position 384: 0.0011043959319685958
Position 1386: 0.0011032127193936708
Position 628: 0.0009680240599550696
Position 3443: 0.0008109099217686955
Position 2081: 0.0007726389372691715
Position 3216: 0.0007406013260670924
Position 2368: 0.0006956086569695638
Position 8: 0.0006807737823074369
Position 4315: 0.0006637362152311447
Position 1980: 0.0006404825308289883
Position 2283: 0.0006067049612195652
Position 427: 0.0005027672407386957
Position 3366: 0.00047228474326657503
Position 2309: 0.0004625796222707431
Position 4853: 0.0004551868543984681
Position 695: 0.00040399859778762873
Position 156: 0.0003617388648343477
Position 2258: 0.0003388621027799101
Position 2066: 0.0003002091394342663
Position 1152: 0.0002932044736834701
Position 2549: 0.0002749839986972905
Position 3538: 0.00025012926194409475
Position 1638: 0.0002161768585070032
Position 3354: 0.00020964464848549045
Position 2265: 0.00020952860196450955
Position 757: 0.00015026735396076195
Position 4871: 0.00014649056913161772
Position 4810: 0.00013897031956473265
Position 2126: 0.00010482708486179354
Position 2145: 0.00010030037687640419
Position 868: 9.477912853806961e-05
Position 763: 9.210980459324021e-05
Position 564: 8.399771612036708e-05
Position 288: 7.475814343534461e-05
Position 1046: 7.214882900699066e-05
Position 69: 6.541946586949038e-05
Position 557: 6.465764457124524e-05
Position 113: 6.142382134342476e-05
Position 887: 5.4565150008335225e-05
Position 1454: 5.4471646105869e-05
Position 817: 5.407683637343702e-05
Position 1542: 5.219349881117674e-05
Position 2566: 4.859164199850309e-05
Position 18: 3.89852469604121e-05
Position 1107: 3.588546264059461e-05
Position 1279: 3.509218987003033e-05
Position 961: 2.8127896199789297e-05
Position 471: 2.4842135683679563e-05
Position 76: 1.9930996580592217e-05
Position 424: 1.5992280613415068e-05
Position 370: 1.2573873265804607e-05
Position 28: 1.2192441522973418e-05
Position 1237: 5.91295392502494e-06
Position 1248: 5.056121843111527e-06
Position 1059: 4.953137965942094e-06
Position 814: 4.117412445296323e-06
Position 148: 2.6744222154862058e-06
Position 570: 2.3934085921322317e-06
Position 497: 1.7820037853142457e-06
Position 476: 1.378574558404351e-06
Position 2142: 5.403575665637546e-07
Position 406: 3.3907336461702e-07
Position 614: 2.888265227433424e-07
Position 484: 2.208969549164655e-07
Position 482: 2.1468311997882312e-07
Position 285: 1.7486790063498045e-07
Position 350: 1.3175702791109627e-07
Position 915: 6.407784744280555e-08
Position 804: 5.320699115031039e-08
Position 702: 2.994744762466373e-08
Position 404: 2.6350464139495312e-08
Position 291: 1.1031738217107261e-08
Position 306: 8.74772270823251e-09
Position 1201: 3.17667747157563e-09
Position 769: 9.913426403054851e-11
Position 271: 1.1838974206023665e-14
Position 374: 1.817165780920929e-16
Position 806: 5.9921893016352856e-18

Sorted 3' Splice Sites (High to Low Probability):
Position 2065: 0.8599572735736187
Position 631: 0.7026465911877838
Position 3647: 0.6816191564441734
Position 839: 0.5178429890171259
Position 2220: 0.4382925521729311
Position 3069: 0.4376385679137286
Position 4600: 0.4129128064788878
Position 4720: 0.18819495380383347
Position 4021: 0.1312823898282646
Position 2955: 0.12815824821570704
Position 4073: 0.09774295159615426
Position 4017: 0.08189136927569816
Position 2880: 0.059688562605069356
Position 4212: 0.04533641922444292
Position 2031: 0.04464461964920226
Position 3423: 0.03426120383362086
Position 3309: 0.019371635033633122
Position 4232: 0.014950817863621037
Position 4691: 0.014903998032562038
Position 2048: 0.009636547797299888
Position 482: 0.008833285512899901
Position 868: 0.00821613769174335
Position 431: 0.007120499213160162
Position 4208: 0.0069458600727657395
Position 345: 0.006764026634401458
Position 367: 0.006183418116759441
Position 803: 0.00538007898631539
Position 4760: 0.005080741665619014
Position 4648: 0.003989385160289629
Position 3108: 0.0037998946269351204
Position 291: 0.003532474112607214
Position 4688: 0.002861527929976449
Position 522: 0.0027286474102674787
Position 396: 0.0026985503493225558
Position 383: 0.002643900847452723
Position 3156: 0.0024968940767494683
Position 2839: 0.0024295860805327108
Position 2005: 0.0020576345497363845
Position 2162: 0.001977316941667372
Position 1237: 0.0015676726573894575
Position 4432: 0.0013916462693623686
Position 4978: 0.0012839952383534971
Position 3438: 0.0011260972869542498
Position 468: 0.0010703888158070953
Position 4723: 0.0009230428504586971
Position 2613: 0.0008775713852281319
Position 3586: 0.0008342515711286488
Position 4185: 0.0008269760536705256
Position 4585: 0.000780332412745793
Position 370: 0.0007801818830791707
Position 1158: 0.0007684125532764095
Position 715: 0.0007660228596853106
Position 444: 0.0006691015124111392
Position 1266: 0.0006148111140865588
Position 2516: 0.0005421286378392083
Position 2071: 0.0005248215286348093
Position 3848: 0.0005227482182356054
Position 3827: 0.0004959234544821441
Position 526: 0.00047501342971908376
Position 495: 0.00045840618287815507
Position 4621: 0.000440287925422706
Position 4570: 0.0004112116050437996
Position 4478: 0.00038002036153495086
Position 450: 0.0003712457761459991
Position 464: 0.00036814312253376783
Position 1857: 0.0003574415192385772
Position 1240: 0.0003244296869026041
Position 4381: 0.0003008803808473065
Position 2701: 0.0002991985860376259
Position 1967: 0.0002929839869805363
Position 317: 0.00026217199167482153
Position 677: 0.0002612561397741886
Position 2345: 0.00024980804857489835
Position 4769: 0.00024871574314381774
Position 2459: 0.00024860275964835616
Position 932: 0.00023578878271097713
Position 1123: 0.00020369578923443586
Position 1809: 0.00019492424288897114
Position 4113: 0.00018294046972838028
