Gene = RGSL1
index = 1137
Annotated 5SS: [    33   3895   8248   9988  22412  24397  38202  39057  42984  71964
  77627  80216  80765  82646  90276  98310  98679 101064 103396 104548
 106077]
Annotated 3SS: [  3811   8172   9857  22249  23428  38138  38833  42875  71857  77432
  80097  80643  82515  90100  98170  98553 100953 103308 104480 105877
 110132]
SMsplice 5SS: [    33  22387  27782  38202  39057  42984  65636  80216  80823  82646
  90276  98310  98679 101064 103396 105720 106077]
SMsplice 3SS: [ 22249  27554  38018  38833  42875  65491  80097  80643  82515  90100
  98170  98553 100990 103308 105592 105877 110132]
top_k =  1000
Partition function (log Z): -50.88424427097036

Sorted 5' Splice Sites (High to Low Probability):
Position 22387: 0.7536505740327466
Position 27782: 0.7164971971569922
Position 3409: 0.6684625924241959
Position 33: 0.6413392437735795
Position 8248: 0.6359738459014922
Position 3895: 0.5846383284879116
Position 431: 0.537830453457725
Position 9988: 0.5110035975827153
Position 22318: 0.1856459894157561
Position 10611: 0.16275957299521235
Position 10912: 0.0882713298007746
Position 316: 0.07201404270323015
Position 17050: 0.06165182518013465
Position 5102: 0.06157785293259133
Position 17254: 0.05753612188082201
Position 5119: 0.05468517171222613
Position 1222: 0.03704408227970081
Position 8268: 0.0363456377505876
Position 1619: 0.03394198598158955
Position 9772: 0.015503169698932775
Position 8711: 0.008858590501135572
Position 5091: 0.008557489499694378
Position 860: 0.008551715266958101
Position 1694: 0.007435599283374996
Position 10219: 0.006781909338587126
Position 22412: 0.005975711643891509
Position 10604: 0.005357286899665141
Position 942: 0.003242293665919148
Position 566: 0.0030403086713444156
Position 3033: 0.002143014162376657
Position 820: 0.0020421803450155576
Position 3600: 0.0020172276315959937
Position 3386: 0.001756636816324478
Position 3359: 0.0013835802929960646
Position 10159: 0.001158709233404221
Position 9251: 0.0010881427107607103
Position 10589: 0.0010137572106899832
Position 1395: 0.0008183681411251586
Position 1649: 0.0007304692286195921
Position 1768: 0.0006417138833635713
Position 4438: 0.0004252316924512673
