Gene = REPIN1
index = 1129
Annotated 5SS: [ 152 1079 2095]
Annotated 3SS: [ 880 1969 2437]
SMsplice 5SS: [152]
SMsplice 3SS: [3578]
top_k =  1000
Partition function (log Z): -7.394532775093529

Sorted 5' Splice Sites (High to Low Probability):
Position 152: 0.8438799802648463
Position 2095: 0.35860358678662463
Position 881: 0.21883392540779772
Position 1013: 0.13069590988594165
Position 224: 0.11201789901325437
Position 4160: 0.08799228040422905
Position 2580: 0.0759053778984435
Position 4986: 0.04082280763053577
Position 774: 0.03690605498100503
Position 738: 0.023046456098188915
Position 1079: 0.021862043195580674
Position 810: 0.008687864341921854
Position 244: 0.008377260417157903
Position 4532: 0.00766282138262777
Position 3490: 0.005843122868824232
Position 908: 0.003581576122264173
Position 3672: 0.0030032222464289843
Position 413: 0.002553464642666086
Position 2597: 0.0022538909579924702
Position 3756: 0.0017107873075290045
Position 1412: 0.0016687150012877924
Position 2767: 0.0011113891912975804
Position 323: 0.0010641044222374433
Position 3339: 0.0010223895200714977
Position 2397: 0.001016188262722441
Position 3255: 0.0009941450910757523
Position 3043: 0.0009867614794321377
Position 2069: 0.0008445031774881088
Position 1746: 0.000698775697847716
Position 3706: 0.0006223357748800494
Position 665: 0.0005880346934631017
Position 3408: 0.0004941048487219751
Position 686: 0.0004922209438084672
Position 1593: 0.0004904872879011173
Position 248: 0.000392163987934186
Position 1282: 0.0003381026149427286
Position 1924: 0.00029369358655626995
Position 2949: 0.00026478482594936517
Position 230: 0.0001931101824289995
Position 1538: 0.00017260045054097255
Position 684: 0.00016876356381361678
Position 240: 0.0001462196219033616
Position 1243: 0.0001303655770676737
Position 400: 0.00011093997483675929
Position 14: 0.0001069725863047056
Position 2162: 7.475540749686782e-05
Position 2371: 5.807671561244579e-05
Position 282: 4.733102886698518e-05
Position 1125: 3.1490445435954437e-05
Position 1511: 3.095853444082269e-05
Position 1070: 2.610346521198053e-05
Position 758: 1.967477291660884e-05
Position 365: 1.1685523117753612e-05
Position 367: 1.090146387851845e-05
Position 527: 9.648723384875679e-06
Position 644: 9.21490495172127e-06
Position 228: 7.575999417365344e-06
Position 696: 6.532006633672432e-06
Position 379: 6.3003613860832415e-06
Position 83: 5.25637232188159e-06
Position 469: 5.151997935200305e-06
Position 3015: 4.667316497934524e-06
Position 415: 3.97583690902077e-06
Position 2685: 3.812981585101866e-06
Position 218: 3.7063552057711776e-06
