Gene = CH17-140K24.5
index = 365
Annotated 5SS: [166]
Annotated 3SS: [4588]
SMsplice 5SS: [ 166 2415]
SMsplice 3SS: [2330 3005]
top_k =  1000
Partition function (log Z): -8.756330774918144

Sorted 5' Splice Sites (High to Low Probability):
Position 4: 0.7857462060183313
Position 2415: 0.6193705725332662
Position 1340: 0.4357111121200416
Position 1769: 0.23358836601724042
Position 812: 0.19060619637761048
Position 1169: 0.08235671813671745
Position 1010: 0.07735193005253647
Position 1721: 0.04690809237449225
Position 2261: 0.03857422844717751
Position 2387: 0.035968969915142694
Position 3924: 0.02890625516805884
Position 2000: 0.02685988712367839
Position 1586: 0.014943445063065832
Position 170: 0.012045377004696501
Position 1977: 0.011994592721691223
Position 2606: 0.010358198394254697
Position 2345: 0.00946740524705821
Position 1816: 0.007893573213948847
Position 2294: 0.007004957566034536
Position 1895: 0.006868274651386755
Position 1781: 0.005027701802679779
Position 1856: 0.003679538049481754
Position 614: 0.002383563291894191
Position 1681: 0.00155520919343571
Position 3498: 0.0014516074856412017
Position 1049: 0.0013731656821667877
Position 1220: 0.0012553563679868279
Position 1886: 0.0012532957675411428
Position 1107: 0.0009931056164332512
Position 1079: 0.0009887500087037452
Position 4473: 0.0008444817834643331
Position 1139: 0.0008417839248115896
Position 3125: 0.0006309703028777735
Position 2729: 0.0004192393412175577
Position 289: 0.0003644471802641563
Position 2251: 0.0003341578156908209
Position 497: 0.0003101393706860367
Position 2243: 0.0003095913413011591
Position 1547: 0.0002137771843691633
Position 3387: 0.00019157232180983184
Position 1504: 0.00017788303358677812
Position 1064: 0.0001581085695430635
Position 996: 0.00014433496497793526
Position 223: 0.00014205939895538068
Position 217: 0.0001228120328720154
Position 454: 0.00011640150671132082
Position 233: 8.783541429202948e-05
Position 1031: 8.214074930086243e-05
Position 2682: 7.287102306292227e-05
Position 2830: 7.201958795676662e-05
Position 780: 6.1123467027151e-05
Position 44: 4.142980981664626e-05
Position 920: 3.845308975365871e-05
Position 420: 3.48324631585433e-05
Position 668: 3.334542506045052e-05
Position 629: 3.259260804478415e-05
Position 105: 2.4199303902873552e-05
Position 875: 2.315827309736908e-05
Position 452: 2.1583787212650182e-05
Position 10: 1.9809670511374718e-05
Position 295: 1.875980787083349e-05
Position 8: 1.7944623135470456e-05
Position 1148: 1.73995669621355e-05
Position 1319: 1.6947703352679496e-05
Position 199: 1.318824707384422e-05
Position 824: 1.1294267271890367e-05
Position 70: 1.0976137039363411e-05
Position 853: 8.14968015688827e-06
