Gene = PGBD5
index = 1019
Annotated 5SS: [  148 20752 26688 40538 44802 52336]
Annotated 3SS: [20323 26552 40356 44603 52229 54024]
SMsplice 5SS: [  148 20476 26688 40538 44802 52336]
SMsplice 3SS: [20323 26552 40356 44603 52229 54024]
top_k =  1000
Partition function (log Z): -10.798012669253149

Sorted 5' Splice Sites (High to Low Probability):
Position 30901: 0.9994215393552749
Position 40538: 0.9992409846828867
Position 26688: 0.9910433618631879
Position 44802: 0.9543967453508224
Position 148: 0.8999119947770529
Position 20476: 0.5016249643544781
Position 27276: 0.4173272163702577
Position 54145: 0.397925531104223
Position 29042: 0.36111654405795207
Position 20752: 0.33048658157186644
Position 8138: 0.2915381370231667
Position 624: 0.19151969965668753
Position 20424: 0.16788844256231367
Position 4398: 0.13094767010310696
Position 5630: 0.12003273983610512
Position 10796: 0.1176905249556337
Position 7440: 0.11611258858862643
Position 419: 0.1041552608905972
Position 17377: 0.0836535665461642
Position 1354: 0.07426970952312976
Position 28765: 0.07233018416037931
Position 1370: 0.061435567965820774
Position 24140: 0.056984215534630164
Position 29012: 0.055614718696355404
Position 6550: 0.04898777674137598
Position 8113: 0.0432925447733637
Position 14910: 0.022685152914314766
Position 12885: 0.02246565370528518
Position 27935: 0.022391043886063743
Position 27349: 0.016893795284776948
Position 13: 0.014867386501284222
Position 27258: 0.008363489194264688
Position 27712: 0.007561542269140253
Position 461: 0.007474275374023592
Position 26652: 0.005164573018464436
Position 26950: 0.004583995424829033
Position 27119: 0.004566413954757405
Position 28084: 0.0034683475002943746
Position 26715: 0.0030764701233516817
Position 2918: 0.002534576904314946
Position 162: 0.0022645889311083143
Position 5317: 0.002184132259592695
Position 27929: 0.002104360532412838
Position 27183: 0.0019440909898207686
Position 27326: 0.0018573765769627003
Position 4917: 0.001613574852909638
Position 5195: 0.0015633203161024094
Position 1685: 0.0013752557221261383
Position 27009: 0.0012841738475797002
Position 28884: 0.0012220649542108541
Position 1310: 0.0012061679424399659
Position 28598: 0.0011748814430681438
Position 28927: 0.0011135573852391373
Position 2623: 0.0009197588343137105
Position 27653: 0.0009114240084168425
Position 2522: 0.0006186749733448086
Position 27366: 0.00048027891379135465
Position 26719: 0.00046349214847459663
Position 17: 0.00045199045403402906
Position 27344: 0.00039870098642494085
Position 27729: 0.00038729266129348787
