Gene = RBM8A
index = 1124
Annotated 5SS: [ 177  519  728 1055 1496]
Annotated 3SS: [ 458  649  917 1358 1608]
SMsplice 5SS: [ 177  519  752 1055 1496]
SMsplice 3SS: [ 458  649  917 1358 1608]
top_k =  1000
Partition function (log Z): 9.590830715788641

Sorted 5' Splice Sites (High to Low Probability):
Position 1055: 0.9903910510109925
Position 1496: 0.9752403704279131
Position 519: 0.9618929798254825
Position 177: 0.8821987607256726
Position 728: 0.4851581172535927
Position 752: 0.4763383131442334
Position 1658: 0.3478980081940884
Position 1674: 0.24679347556355508
Position 215: 0.07743577797259253
Position 3592: 0.06720783645187746
Position 383: 0.02186726471726528
Position 747: 0.021042927424263055
Position 2170: 0.017773666835534017
Position 3718: 0.015214863478173342
Position 2134: 0.01518631288403285
Position 4028: 0.012363351135068971
Position 3845: 0.011724167834781649
Position 2628: 0.011410851299788895
Position 1763: 0.010090365088462562
Position 767: 0.007827459569476045
Position 365: 0.00623489572672775
Position 1771: 0.006157821369761282
Position 371: 0.004984237513439761
Position 199: 0.004043845338354223
Position 1260: 0.0038489028125135976
Position 263: 0.0036640677543635096
Position 732: 0.0035762360897240923
Position 1525: 0.0029758657237574653
Position 2600: 0.002759420527276531
Position 5006: 0.0024853971395293276
Position 3095: 0.0024460330163930347
Position 1102: 0.002335596074064346
Position 3272: 0.0021400792038163245
Position 367: 0.0019866373538921928
Position 63: 0.0018094072812274069
Position 3039: 0.0017079358440617676
Position 2596: 0.0014935146497260007
Position 2194: 0.001262639057325255
Position 1242: 0.0010960914860220273
Position 2568: 0.0010897767501958412
Position 539: 0.0008302905022777798
Position 388: 0.0008163207123649021
Position 1216: 0.0005132988155790181
Position 1728: 0.00045198380792778103
Position 1227: 0.0004034086644182268
Position 760: 0.00038892507627596545
Position 552: 0.0003823001240781137
Position 4581: 0.0002839168385586771
Position 5505: 0.0001988538164024339
Position 2472: 0.00017501916857768504
Position 1782: 0.00016878329376198345
Position 5772: 0.00015327541555141652
Position 1474: 0.00014285832655503027
Position 770: 0.00014174202322073985
Position 1460: 0.00012060958754134576
Position 3051: 0.00011468893148308549
Position 773: 0.00010839557655001172
Position 1869: 0.00010368038660026916
Position 1774: 9.735882747571418e-05
Position 2239: 8.286738831290705e-05
Position 1467: 6.976496348327686e-05
Position 1611: 6.633347964811234e-05
Position 2608: 5.7902367346034656e-05
Position 792: 5.527899768361457e-05
Position 2040: 4.843369273554159e-05
Position 674: 4.347358993428522e-05
Position 802: 4.1951936442687397e-05
