Gene = SELENBP1
index = 1242
Annotated 5SS: [  96 3021 3292 3730 4535 6012 6459 6966 7171 7545 7808]
Annotated 3SS: [2963 3178 3543 4413 5828 6279 6886 7048 7451 7688 8027]
SMsplice 5SS: [  96 3021 3292 4535 6012 6459 6966 7171 7545 7808]
SMsplice 3SS: [2897 3178 4413 5828 6279 6886 7048 7451 7688 8027]
top_k =  1000
Partition function (log Z): 9.271252997296887

Sorted 5' Splice Sites (High to Low Probability):
Position 96: 0.9977126607223493
Position 4535: 0.9664684675083628
Position 7808: 0.9624982409334527
Position 6966: 0.9563224979515352
Position 7545: 0.9038819747406964
Position 3021: 0.8408815429822013
Position 7171: 0.6385185480724576
Position 6459: 0.6217958397892596
Position 3292: 0.6217099902103423
Position 6012: 0.5680854199114344
Position 3652: 0.2002705191822158
Position 3623: 0.19233766829299728
Position 7128: 0.16880865223538866
Position 7271: 0.11732620964942674
Position 6797: 0.1038509976836438
Position 3865: 0.069635167745099
Position 3784: 0.06327236796996556
Position 4186: 0.05316570778056283
Position 5718: 0.041651044814000074
Position 3921: 0.04062233916352804
Position 494: 0.03581608897474685
Position 3636: 0.03494451056480512
Position 4996: 0.03268661154036043
Position 6284: 0.02742949936613896
Position 4338: 0.02578817671801816
Position 4868: 0.025658119544451952
Position 5920: 0.021971377169695678
Position 3694: 0.01642653258291709
Position 4347: 0.013388333088775451
Position 2901: 0.009550621473309538
Position 3273: 0.00777108533638092
Position 2632: 0.007612758250394991
Position 370: 0.005435395389159112
Position 1699: 0.0048611711006746085
Position 5864: 0.004687514549623614
Position 2184: 0.004665621024211474
Position 4654: 0.004637458477194859
Position 5535: 0.0044716727886780034
Position 7290: 0.004101874389493907
Position 2592: 0.0038134224541890695
Position 450: 0.003458644619109927
Position 524: 0.0030987763955825365
Position 5078: 0.0025589838427547093
Position 2639: 0.002172427347147927
Position 6532: 0.0021695305548200317
Position 7261: 0.0020748858965779662
Position 1787: 0.0018557288347713376
Position 6920: 0.0018184454320909474
Position 2755: 0.0018079605936865376
Position 1451: 0.00162043007223097
Position 866: 0.0015287016503764076
Position 4692: 0.001337785013489329
Position 7932: 0.0011946476520908655
Position 2661: 0.001103285872466535
Position 4096: 0.001016585904278791
Position 424: 0.0009987959953704241
Position 1495: 0.0009335755963385104
Position 7234: 0.0008331108678799329
