Gene = YAE1D1
index = 1582
Annotated 5SS: [ 172 4252]
Annotated 3SS: [4129 5900]
SMsplice 5SS: [ 656 4252]
SMsplice 3SS: [4129 6043]
top_k =  1000
Partition function (log Z): -5.283124299257328

Sorted 5' Splice Sites (High to Low Probability):
Position 4252: 0.9780372779142236
Position 656: 0.8515715613353653
Position 4474: 0.32643405586058194
Position 172: 0.2654848050496853
Position 1035: 0.1955902825221203
Position 1474: 0.14673202730629858
Position 3913: 0.0728653809492552
Position 543: 0.024712246369910366
Position 3173: 0.023105587614978836
Position 178: 0.02203707745190623
Position 3729: 0.018252056489960648
Position 513: 0.016738545594632906
Position 181: 0.016112702916088257
Position 1518: 0.015231211209124799
Position 5039: 0.012621010485529272
Position 5609: 0.011726576488101386
Position 4526: 0.010474918968280775
Position 3415: 0.007650957992940116
Position 1513: 0.007456731507978609
Position 1602: 0.0073419044753238235
Position 4012: 0.006926100812801421
Position 4610: 0.00692306595196757
Position 3870: 0.00689067930294111
Position 40: 0.004223774517660607
Position 197: 0.004177674246222824
Position 5994: 0.0039408399245860854
Position 149: 0.0037066227975421566
Position 1050: 0.003588326058083554
Position 4566: 0.0035872663313067997
Position 4206: 0.0035105598928349916
Position 2465: 0.002995101897303052
Position 2470: 0.002459163924005776
Position 887: 0.002232096999226377
Position 3142: 0.0020167034684661573
Position 295: 0.002013024122124831
Position 3184: 0.0018132650638124292
Position 778: 0.0016770544961155875
Position 672: 0.0013029074244812137
Position 3320: 0.0009464992538518912
Position 2235: 0.0008977501270241768
Position 240: 0.0008190982833593024
Position 991: 0.0007306853066043047
Position 5182: 0.0006740072337541548
Position 3748: 0.0006550148785630323
Position 1529: 0.0003731216885342178
Position 2148: 0.0003190149059001767
Position 5564: 0.0002823606209534049
Position 557: 0.00023206700009435448
Position 204: 0.00022683370648331555
Position 5594: 0.0001874046051079743
Position 48: 0.00018043307969588054
Position 4590: 0.00017866668930493077
Position 1339: 0.00014545359024660637
Position 52: 8.15850132453718e-05
Position 224: 7.952874765348914e-05
Position 343: 6.54181676236043e-05
Position 936: 5.9037284438889526e-05
Position 797: 5.7683600631917415e-05
Position 4606: 5.519071038033972e-05
Position 5195: 5.169081713479786e-05
Position 792: 4.807036330538067e-05
Position 440: 4.582815044495257e-05
Position 5370: 4.550924798559904e-05
Position 120: 4.0592346806644465e-05
Position 698: 3.9367056880775824e-05
Position 4194: 3.493828679722152e-05
Position 879: 3.431116145815443e-05
Position 45: 2.602320708165725e-05
Position 13: 2.4868762720375458e-05
Position 648: 2.132281943808679e-05
Position 28: 1.9977396495321e-05
Position 419: 1.9838993650047736e-05
Position 433: 1.978945821713016e-05
Position 207: 1.8850747220253704e-05
Position 2733: 1.71630081911427e-05
Position 2703: 1.6280283801036806e-05
Position 2328: 1.2908917115110023e-05
Position 530: 1.2855343675212876e-05
Position 328: 1.2066804631172976e-05
Position 166: 1.0742321910176798e-05
Position 1545: 8.872303316175235e-06
Position 97: 6.105748711054172e-06
Position 183: 5.564660273077851e-06
Position 4798: 4.313478266059029e-06
Position 1315: 4.2540572910412e-06
Position 1721: 3.92809132266785e-06
Position 227: 3.6934759684328948e-06
Position 444: 2.380912631666705e-06
Position 417: 1.585968361923929e-06
Position 1179: 1.4220096227878737e-06
Position 99: 1.3839754991796489e-06
Position 247: 7.497589357198403e-07
Position 520: 6.846768367364772e-07
Position 565: 6.087606023515142e-07
Position 384: 5.882784467153663e-07
Position 570: 5.0424893133503e-07
Position 676: 4.4783384188409373e-07
Position 637: 4.253770797854235e-07
Position 650: 1.4077380067146062e-07
Position 610: 7.2794825418771e-08
Position 4550: 2.732963438635989e-08
Position 4484: 1.9144275825132266e-08
Position 691: 4.20126025574771e-09
Position 511: 4.2396014704234623e-10
Position 341: 1.6722195984593395e-10
Position 306: 1.1626589287342081e-18

Sorted 3' Splice Sites (High to Low Probability):
Position 4129: 0.926596041419949
Position 6043: 0.5265484579389179
Position 287: 0.21253199080454768
Position 4421: 0.1609097667714899
Position 5900: 0.14558591724515393
Position 1361: 0.07900014620746534
Position 879: 0.07694041388953074
Position 3757: 0.07672276107018651
Position 5363: 0.0756693531208638
Position 4926: 0.07479598150833319
Position 761: 0.06480234408962947
Position 4405: 0.06059465388559425
Position 4367: 0.05457807982951784
Position 1427: 0.05430234741890584
Position 4643: 0.05212522889347975
Position 4324: 0.051635664552172916
Position 1291: 0.027832078033186828
Position 3130: 0.026980743520791033
Position 4180: 0.026005489712903604
Position 315: 0.02471479636424945
Position 3614: 0.023002387046201857
Position 6085: 0.019630609567251725
Position 5142: 0.018856282415957524
Position 4072: 0.01837611668319315
Position 882: 0.01611893322360211
Position 4468: 0.014158049876099565
Position 4377: 0.013968261844717327
Position 5977: 0.013221561183187638
Position 5717: 0.012664756776731307
Position 4987: 0.012529877399017744
Position 4133: 0.010550888767018447
Position 4667: 0.009676322818575714
Position 5335: 0.009345331266947593
Position 768: 0.008066893007455389
Position 2209: 0.005367843619980246
Position 4102: 0.005346029630399036
Position 5042: 0.005250856725420839
Position 339: 0.004722369637852125
Position 1263: 0.0038672786786446067
Position 4525: 0.003757244258219541
Position 1305: 0.0030479458885105002
Position 4964: 0.0029552471827502614
Position 1314: 0.0029495964412653937
Position 1517: 0.002850277960985571
Position 844: 0.0028118904078683195
Position 5672: 0.0026726746168967944
Position 4721: 0.0023403847291205734
Position 3171: 0.002261694500178386
Position 3699: 0.002227470797721874
Position 5698: 0.002162020242389063
Position 5859: 0.0020464421179639545
Position 5591: 0.00198208351021222
Position 6209: 0.0018583823132790787
Position 6091: 0.0017453948211227604
Position 6429: 0.0017279553804190977
Position 2870: 0.001693917291665759
Position 5409: 0.001663769759287101
Position 3057: 0.0014768048492907263
Position 743: 0.0014541371774170575
Position 3846: 0.0014474016332482911
Position 507: 0.001384730547371925
Position 6199: 0.0012399197287260417
Position 6264: 0.0010999314055242806
Position 4806: 0.001041744037062206
Position 3653: 0.0010313402387940474
Position 6366: 0.0010276849933249022
Position 3201: 0.0009950616619898416
Position 3597: 0.0009745410547418869
Position 695: 0.0009676844552322409
Position 3014: 0.0009180330314139647
Position 3141: 0.0008815448042562021
Position 2086: 0.0008587636427609224
Position 4096: 0.0008349343705236384
Position 1023: 0.0008312944428345823
Position 4384: 0.0007528985479847481
Position 3348: 0.0007054717139393645
Position 1366: 0.0006995467234032664
Position 6232: 0.0006494997572797529
Position 792: 0.0005829674442118896
Position 4767: 0.0005634417972355188
Position 898: 0.0005103041484293855
Position 4553: 0.0004830965849068835
Position 4780: 0.00047035124274940395
Position 5675: 0.00046694145088188057
