Gene = DNLZ
index = 459
Annotated 5SS: [303 801]
Annotated 3SS: [ 660 1608]
SMsplice 5SS: [303]
SMsplice 3SS: [1608]
top_k =  1000
Partition function (log Z): -6.971223245060867

Sorted 5' Splice Sites (High to Low Probability):
Position 303: 0.8592286346195739
Position 801: 0.7232628409275783
Position 1443: 0.06007781789367092
Position 1280: 0.05534364129539493
Position 1300: 0.048304704619877174
Position 524: 0.01829072825981049
Position 1646: 0.011889845047373506
Position 568: 0.008714552142826177
Position 517: 0.008197513348135265
Position 1731: 0.00808406948004608
Position 1509: 0.005859554157028857
Position 1249: 0.005468173020309019
Position 107: 0.004863804485142784
Position 1170: 0.004337791820765702
Position 1310: 0.004322802189928886
Position 177: 0.003983875119437312
Position 1002: 0.0032303185577131402
Position 984: 0.0014658494936411945
Position 810: 0.0013939951971630386
Position 1208: 0.0013046642060390767
Position 1225: 0.0012613592869137246
Position 339: 0.0012148601027325305
Position 995: 0.0011419045569624395
Position 844: 0.0006789313206947982
Position 1264: 0.0005617936541489327
Position 573: 0.00035055487239803607
Position 661: 0.0002890162436304864
Position 1156: 0.00016380478756884646
Position 474: 0.0001274257411383854
Position 1470: 0.00012594638962123544
Position 115: 0.00011979306114197706
Position 885: 0.00011875081403353855
Position 152: 0.00011477412499213194
Position 401: 0.0001116203047774922
Position 1211: 9.501081834502776e-05
Position 1307: 9.488886289197093e-05
Position 120: 8.11382526029868e-05
Position 1497: 6.588115428123333e-05
Position 1478: 3.5497065797613745e-05
Position 777: 3.3650133596738074e-05
Position 528: 2.9203705781268015e-05
Position 938: 2.710933497899979e-05
Position 398: 2.663693768720285e-05
Position 879: 2.492558886394665e-05
Position 718: 2.3090862244810308e-05
Position 724: 1.2525282078740841e-05
Position 406: 1.1039996519426533e-05
Position 675: 5.790341916107548e-06
Position 1130: 4.468015767277448e-06
Position 419: 3.0281398133496626e-06
Position 1798: 2.513897892549842e-06
Position 264: 7.820868412580468e-07
Position 601: 2.2627403035329295e-07
Position 169: 1.9338472111444874e-07
Position 288: 5.649813138412337e-08
Position 482: 4.159364489524904e-08
Position 978: 1.339311952301588e-08
Position 715: 2.1602601364314162e-09
Position 1655: 1.772489814752324e-09
Position 1653: 1.6333927875087157e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 1608: 0.8968016595186599
Position 656: 0.25705640553185416
Position 660: 0.2038975179705452
Position 1097: 0.099937789019175
Position 633: 0.0887265364604585
Position 1382: 0.06736429496590596
Position 674: 0.05230191567850194
Position 1144: 0.031643120312777995
Position 1718: 0.024891252471047665
Position 744: 0.02148267024911578
Position 1347: 0.015266921104424454
Position 1081: 0.013874910168551224
Position 1030: 0.011243333595393517
Position 1202: 0.00964371480665667
Position 696: 0.006140888505397516
Position 642: 0.0056645831894594845
Position 1166: 0.005360104304067834
Position 1874: 0.004231290612551997
Position 1518: 0.0037620086706935305
Position 1817: 0.003186787972154492
Position 712: 0.0023842244204372916
Position 1361: 0.002169160765229216
Position 592: 0.0021267478430254355
Position 877: 0.0018806458160265912
Position 1248: 0.0015747988979279597
Position 566: 0.0014335450972714522
Position 892: 0.0013161185793834844
Position 1820: 0.0011127877998711611
Position 684: 0.0009138047704744544
Position 1494: 0.0008604457296646954
Position 1169: 0.0007527281016478064
Position 1148: 0.0006082513695844421
Position 1259: 0.0005038031466014705
Position 1697: 0.00046230439299568225
Position 1752: 0.0004327590400154663
Position 370: 0.0003435050506382616
Position 1582: 0.0003404168399503257
Position 613: 0.00025590719880723417
Position 1429: 0.0002524511572738717
Position 564: 0.00020742862892615097
Position 884: 0.00018951840690768938
Position 1197: 0.0001784838967862219
Position 1823: 0.00016549734167064573
Position 912: 0.0001540640357415423
Position 1762: 0.00015087361505464658
Position 961: 0.00013799508539025628
Position 1690: 0.00012542401581551793
Position 1456: 0.00011289804350441413
Position 510: 9.356832451820489e-05
Position 1561: 8.234210862485956e-05
Position 818: 6.501739509800532e-05
Position 223: 6.39450296519438e-05
Position 572: 5.837527842290699e-05
Position 1727: 5.18489741854621e-05
Position 1431: 4.409877211359486e-05
Position 1437: 3.740533987929842e-05
Position 1768: 3.627547706216911e-05
Position 1199: 2.923009124236416e-05
Position 930: 2.572689074932035e-05
Position 1395: 2.4879506105147513e-05
Position 1299: 2.4527172487383813e-05
Position 412: 2.394775280073528e-05
Position 1389: 2.064369093950473e-05
Position 1556: 1.9837722790861332e-05
Position 1326: 1.8441203409014464e-05
Position 1645: 1.6705003864663896e-05
Position 392: 1.6448280166041926e-05
Position 1497: 1.625574282134189e-05
Position 1619: 1.5190629831265538e-05
Position 174: 1.4609940693309334e-05
Position 233: 1.3507297053219968e-05
Position 1635: 1.2993728689094519e-05
Position 798: 1.1125514490492575e-05
Position 516: 1.0626639040207274e-05
Position 1546: 1.0111190009739002e-05
Position 269: 9.534955275896213e-06
Position 302: 9.150923726053891e-06
Position 284: 8.973342449635787e-06
Position 406: 7.252241819644882e-06
Position 1637: 7.240218444474023e-06
Position 447: 6.4329287675109435e-06
Position 1741: 6.040496020294488e-06
Position 966: 6.016333164340521e-06
Position 451: 5.501256796045056e-06
Position 1291: 5.281010570160935e-06
Position 1279: 5.240217484960435e-06
Position 998: 5.091991364095505e-06
Position 1470: 4.646440770822732e-06
Position 1584: 4.175217035004324e-06
Position 594: 3.2027839888221217e-06
Position 334: 1.5775632312457523e-06
Position 230: 1.0396087020404598e-06
Position 176: 9.633835946006333e-07
Position 508: 6.872519098820352e-07
Position 832: 5.442574274561048e-07
Position 416: 5.239470671370405e-07
Position 306: 3.55593007244887e-07
Position 367: 3.172280393987772e-07
Position 938: 2.989768469085965e-07
Position 456: 2.550123174614061e-07
Position 582: 2.205675558656374e-07
Position 479: 1.5560577829127447e-07
Position 468: 1.5519033897457807e-07
Position 1220: 1.032145104852572e-07
Position 829: 1.0168372616505636e-07
Position 970: 9.258783436796843e-08
Position 984: 7.627552992987986e-08
Position 533: 6.640488348899095e-08
Position 844: 3.735938075847981e-08
Position 187: 3.378953568775214e-08
Position 1621: 1.6925168265969502e-08
Position 471: 1.6388046561738135e-08
Position 995: 1.1819647165284076e-08
Position 419: 1.0244060129355126e-08
Position 424: 8.203327438288211e-09
