Gene = VGLL4
index = 1548
Annotated 5SS: [  488 42092 79128 84593]
Annotated 3SS: [41901 78904 84468 85096]
SMsplice 5SS: [  195 10113 10808 20879 23785 24162 24522 33669 36996 42092 46665 51862
 67797 68009 73854 75320 79128 84593]
SMsplice 3SS: [10006 10684 20713 23700 23912 24268 33628 36883 41901 46550 51768 67666
 67933 73591 75178 78904 84468 85096]
top_k =  1000
Partition function (log Z): -34.82143622714912

Sorted 5' Splice Sites (High to Low Probability):
Position 10808: 0.8777169340787674
Position 10113: 0.8083715833464067
Position 20879: 0.804315165365492
Position 195: 0.6364099687636184
Position 488: 0.6268321481380926
Position 24522: 0.6055534194149887
Position 23785: 0.5876287737573139
Position 11737: 0.5337502411606675
Position 17274: 0.4791234078225773
Position 17568: 0.31448123743692463
Position 27653: 0.27466054595226064
Position 24162: 0.2734328643253156
Position 29285: 0.2558961635250858
Position 20546: 0.2374092915083124
Position 5632: 0.23389176766356026
Position 33669: 0.20945053334319186
Position 217: 0.18699533100564114
Position 10117: 0.15214696221535406
Position 24372: 0.1163013816167689
Position 21189: 0.11014984166694232
Position 5279: 0.10903067599397141
Position 10380: 0.10749872734694839
Position 24169: 0.09555940655154348
Position 20954: 0.08160783564914824
Position 6510: 0.0727479150949054
Position 23991: 0.061191613566189434
Position 11134: 0.05841888553966932
Position 7731: 0.051765741833382506
Position 5179: 0.04383403783080649
Position 4521: 0.041899795206664495
Position 24175: 0.035344029445063305
Position 6214: 0.03449546444607366
Position 23631: 0.03336170268844665
Position 27705: 0.032508467477588496
Position 2590: 0.0319870304473184
Position 24122: 0.03191328908293537
Position 20486: 0.031032204925500448
Position 5733: 0.024278602973873898
Position 4679: 0.02406883308365913
Position 21243: 0.023954215908639994
Position 20997: 0.023666992927228417
Position 11529: 0.023002789980792342
Position 30692: 0.02199697283705821
Position 21743: 0.02127450301621837
Position 5442: 0.02112449041433825
Position 9334: 0.020323428902609568
Position 20950: 0.019704791569823105
Position 24096: 0.019248290252111628
Position 1819: 0.019106838045496607
Position 4783: 0.017736805855303617
Position 11191: 0.016259821216864253
Position 25269: 0.015618843303698116
Position 21725: 0.014994672215869097
Position 770: 0.014800165737800356
Position 47: 0.01476327451725058
Position 131: 0.01318212861265779
Position 21754: 0.011771045826411352
Position 4525: 0.010716578124740299
Position 24539: 0.009623924010254458
Position 5763: 0.009217638469956926
Position 5060: 0.008687749132106352
Position 3895: 0.007963048884533672
Position 29651: 0.0066182353192149644
Position 4955: 0.006522142548113894
Position 1208: 0.0063692309337046865
Position 958: 0.005331991414217581
Position 5514: 0.005173366328525563
Position 21573: 0.004462257966525118
Position 29273: 0.004063947255565423
Position 20822: 0.004037291753905268
Position 21159: 0.0029947165621765576
Position 6306: 0.002954321354599553
Position 8384: 0.0023091981518864593
Position 11213: 0.0018156746631288814
Position 6744: 0.0017044112183757726
Position 5809: 0.0014256750185663723
Position 21801: 0.0011397865275397231
Position 210: 0.0008084062245780553
Position 20872: 0.0007661529646846258
Position 860: 0.0007546796924152921
Position 10516: 0.0006102325126501614
Position 17764: 0.0005760740742325528
Position 176: 0.0004406786377407512
Position 3309: 0.0003679037506873897
Position 24392: 0.0003433984270725166
Position 628: 0.00021858441452560115
Position 20: 0.0002108404961818307
Position 623: 0.00010302419484234028
Position 1508: 8.113925605067675e-05
Position 4560: 5.742961792759983e-05
Position 2933: 3.980881160935806e-05
Position 4173: 3.293521227672198e-05
Position 4312: 3.2745396751308814e-05
Position 3557: 3.214635670137647e-05
Position 4747: 2.9703267619312226e-05
Position 1975: 2.926845305404385e-05
Position 2482: 2.926830229757311e-05
Position 828: 2.753689136727854e-05
Position 2586: 2.7361554088852513e-05
Position 640: 2.722415389761883e-05
Position 2581: 1.7864110408453905e-05
Position 4221: 1.5492516026079377e-05
Position 4270: 1.5355025636794687e-05
Position 215: 8.666606995903735e-06
Position 716: 6.1189343750680445e-06
Position 1385: 5.874723766886671e-06
Position 234: 4.943295825025844e-06
Position 187: 3.7517232452687097e-06
Position 309: 3.4230755889711333e-06
Position 441: 2.8733111308747767e-06
Position 70: 2.178438591646858e-06
Position 700: 1.2714784766758333e-06
Position 592: 1.1981871840546657e-06
Position 644: 1.1699673532482972e-06
Position 494: 1.119525556597986e-06
Position 304: 1.019692835289527e-06
Position 91: 9.000079262243402e-07
Position 11862: 8.885276083319254e-07
Position 477: 8.536115393626428e-07
Position 553: 8.23478284315151e-07
Position 544: 7.132777479075183e-07
Position 834: 4.802528859837345e-07
Position 1326: 3.88621267047466e-07
Position 789: 3.709710632118534e-07
Position 695: 3.3523112446364097e-07
Position 1246: 2.9618459578611157e-07
Position 670: 2.5284960083840245e-07
Position 546: 2.447148145569702e-07
Position 280: 1.4036563511796824e-07
Position 502: 1.2245546864283932e-07
Position 1017: 1.0769370031533473e-07
Position 384: 5.7594921167262556e-08
Position 590: 4.0921068695248006e-08
Position 151: 3.0138578090508654e-08
Position 736: 2.7516330880789347e-08
Position 271: 2.233341581840503e-08
Position 524: 9.546886928749507e-09
Position 774: 8.662379314480811e-09
