Gene = NSA2
index = 963
Annotated 5SS: [ 372 2127 2373 3819 7069]
Annotated 3SS: [1938 2221 3638 6875 9611]
SMsplice 5SS: [ 372 2127 2373 3819 7069]
SMsplice 3SS: [1938 2221 3638 6875 9611]
top_k =  1000
Partition function (log Z): 3.8958703999796067

Sorted 5' Splice Sites (High to Low Probability):
Position 2127: 0.9982518165360603
Position 2373: 0.9920692920232166
Position 3819: 0.9079048293506004
Position 372: 0.9078317051580079
Position 10481: 0.6593024160313482
Position 1828: 0.6215882881746551
Position 7069: 0.6037904096874968
Position 7003: 0.2646671557207262
Position 5430: 0.2350524591011057
Position 10983: 0.21956500306159615
Position 6102: 0.07855533338948864
Position 9932: 0.04657591856290547
Position 6062: 0.04540947030413602
Position 9801: 0.041925003421744614
Position 10074: 0.035752409014815814
Position 8484: 0.03552317034062536
Position 454: 0.0319835951162859
Position 1250: 0.027390660666636396
Position 4646: 0.021223017573720058
Position 559: 0.018725830051293763
Position 4641: 0.017466807865201165
Position 3666: 0.014472634328054446
Position 3126: 0.014318481843571136
Position 7023: 0.012268572228816674
Position 9998: 0.011892766933417485
Position 447: 0.011177345761794938
Position 1744: 0.010448240738043244
Position 4055: 0.009016729741028774
Position 839: 0.008669303224363208
Position 8043: 0.008585470351611465
Position 414: 0.00694578352599107
Position 3851: 0.006894854054786595
Position 1422: 0.00645996134570561
Position 8083: 0.006431032926778517
Position 3561: 0.006235225864858731
Position 1262: 0.005841503054959559
Position 1136: 0.005492296703099021
Position 254: 0.004692915781674635
Position 4804: 0.004612683876574072
Position 9739: 0.004595480922628244
Position 3508: 0.004522305640418654
Position 2604: 0.004215748423752135
Position 1242: 0.004105692411606595
Position 7803: 0.00395797279242737
Position 11159: 0.003900230863255136
Position 8229: 0.0038481437837730253
Position 464: 0.0031731190287695625
Position 9029: 0.002830402073897619
Position 7471: 0.0028061504567640744
Position 2917: 0.0026874034449966265
Position 3531: 0.002664953761349243
Position 11090: 0.0025449185684027465
Position 3374: 0.0024281786688158296
Position 2331: 0.002089378113822451
Position 1330: 0.0017777231803303287
Position 8166: 0.0016168747542906227
Position 1412: 0.001499111422153997
Position 3112: 0.0013235175912227669
Position 10199: 0.0011609858641936882
Position 6211: 0.00115906668705264
Position 3377: 0.0011205362440890776
Position 1144: 0.0011200625296058757
Position 7017: 0.00111602510043838
Position 7554: 0.0011084528241763055
Position 9774: 0.0010318102262523911
Position 500: 0.0009013610439068063
Position 3837: 0.0008780837996012823
Position 2985: 0.000865595185311954
Position 68: 0.0007824334054839487
Position 38: 0.0007388163563140293
Position 3206: 0.0006373260938193222
Position 1103: 0.0006182343374386528
Position 10823: 0.0005421764716973164
Position 3283: 0.0004764411491700403
Position 3023: 0.00047637723461287486
Position 11352: 0.00045078913844391247
Position 8560: 0.0004348218221395211
Position 1199: 0.0003778532939331534
Position 726: 0.0003708299771682036
Position 4544: 0.00036712083828601127
Position 1795: 0.0003387844574468584
Position 6275: 0.00033379032593244015
Position 1369: 0.0002950190152448891
Position 513: 0.0002801110454233434
Position 1811: 0.00027874379450753406
Position 4501: 0.00023934662946723003
Position 8626: 0.00022609293413614686
Position 3198: 0.00022312578772089282
Position 2435: 0.00021999693455409513
Position 1832: 0.00019601125049416643
Position 3158: 0.0001932038890442297
Position 2066: 0.0001902327195905351
Position 292: 0.00018691320210126113
Position 2039: 0.00011816602100301711
Position 8154: 0.00011288312275370891
Position 2789: 0.00010364337356444252
Position 1854: 0.00010362945855947806
Position 282: 9.490283323991024e-05
Position 223: 9.4733243336453e-05
Position 3522: 9.257076578354683e-05
Position 1571: 8.730220838543482e-05
Position 7840: 8.235422977784948e-05
Position 6225: 7.40488457602049e-05
Position 943: 5.272202561413401e-05
Position 2544: 5.1993152552764266e-05
Position 1867: 5.080472262632923e-05
Position 143: 5.0268976906786626e-05
Position 7920: 4.943839156892973e-05
Position 910: 3.8905011334517405e-05
Position 2021: 3.5487628782207604e-05
Position 9103: 3.49140463404201e-05
Position 3155: 3.327474046730442e-05
Position 939: 2.85532854412852e-05
Position 1377: 2.7401885598436175e-05
Position 7759: 2.5152215408987992e-05
Position 220: 2.4992009744778986e-05
Position 7200: 2.38187735007158e-05
Position 9058: 2.334803479468315e-05
Position 3753: 2.245749304689094e-05
Position 8923: 2.1314536686514297e-05
Position 1436: 2.0417330583928746e-05
Position 958: 1.9868663057182022e-05
Position 3923: 1.6819942138180513e-05
Position 7924: 1.6743796020239134e-05
Position 3744: 1.6426085320905477e-05
Position 2731: 1.4505179546432452e-05
Position 8248: 1.444218386214958e-05
Position 461: 1.3420722264360349e-05
Position 1154: 1.2823903848440044e-05
Position 3524: 1.2048337666739283e-05
Position 2131: 1.1894761388506825e-05
Position 2708: 1.1814247572034444e-05
Position 3208: 1.164991434795279e-05
Position 2157: 1.0793477741024048e-05
Position 1177: 1.0529422657347733e-05
Position 4073: 1.0046504638583337e-05
Position 1635: 9.860226822077842e-06
Position 408: 9.224788778511472e-06
Position 2508: 9.014295661406965e-06
Position 3002: 8.660775589599226e-06
Position 141: 7.924611986155809e-06
Position 2286: 7.876020026042902e-06
Position 21: 7.740274379443286e-06
Position 2134: 7.018047468814816e-06
Position 2828: 6.887532056920733e-06
Position 2723: 6.578619917955664e-06
