Gene = TCEANC2
index = 1384
Annotated 5SS: [  158   924 15297 35190]
Annotated 3SS: [  779 15154 34995 42683]
SMsplice 5SS: [  158   924 15297 25683 35190 42768 48927]
SMsplice 3SS: [  779 15154 25572 34995 42683 48822 50555]
top_k =  1000
Partition function (log Z): -25.29546321429389

Sorted 5' Splice Sites (High to Low Probability):
Position 924: 0.9806957874789568
Position 15297: 0.7713872979836691
Position 158: 0.75155495735724
Position 13392: 0.4862920776938454
Position 14921: 0.318006971205873
Position 14830: 0.2083505592608232
Position 11535: 0.13792129956221888
Position 395: 0.12838604366792813
Position 269: 0.09371405506286941
Position 10584: 0.09082736692034715
Position 13730: 0.08127995000785714
Position 2032: 0.07225144210974489
Position 13892: 0.07220940316563008
Position 18338: 0.07212372658572135
Position 18061: 0.06383369279245021
Position 15415: 0.04311526242621865
Position 18354: 0.04298383876410195
Position 8142: 0.04190019289250804
Position 15092: 0.03620262204093159
Position 18342: 0.029351446930283555
Position 8978: 0.028429245958668047
Position 8193: 0.02490443897509507
Position 19116: 0.024045930943379243
Position 2074: 0.013997957428220402
Position 2199: 0.013645235548910254
Position 16226: 0.0135728128626794
Position 7365: 0.011818965257790151
Position 6172: 0.010021816821669059
Position 8625: 0.009201859949493015
Position 400: 0.00824209646143928
Position 10070: 0.006789588263822441
Position 265: 0.005568513879756058
Position 2868: 0.004621607448210037
Position 319: 0.004309059999636475
Position 6168: 0.003956585381768829
Position 2638: 0.0037509566194260124
Position 13114: 0.00372853588378739
Position 891: 0.0036307052931920034
Position 10765: 0.002645148903886454
Position 10187: 0.00254764574435271
Position 169: 0.002514588877091393
Position 8251: 0.002270905204827734
Position 6493: 0.0020479936321922453
Position 2224: 0.0018018470351971769
Position 345: 0.0016058562434705613
Position 6480: 0.0014477487334995784
Position 11612: 0.0012808525152648146
Position 109: 0.0012512323665045037
Position 162: 0.0011508316221425735
Position 18077: 0.0010609932258079336
Position 974: 0.0009773408422340786
Position 185: 0.0008633719018205544
Position 1703: 0.0006382873848799594
Position 432: 0.0005782540937528266
Position 1159: 0.0005541023150540533
Position 351: 0.000503590023363893
Position 1782: 0.0004600258507413127
Position 274: 0.0003232247700324496
Position 480: 0.00029602289102822766
