Gene = TXNDC15
index = 1513
Annotated 5SS: [  728 14380 19853 22622]
Annotated 3SS: [13891 19688 22490 25685]
SMsplice 5SS: [ 1005 22622]
SMsplice 3SS: [22490 25685]
top_k =  1000
Partition function (log Z): -20.466214291597158

Sorted 5' Splice Sites (High to Low Probability):
Position 1005: 0.4127372836464757
Position 1368: 0.37819140636815923
Position 54: 0.2808412660249976
Position 728: 0.2496693016208872
Position 1386: 0.21257869628592044
Position 2500: 0.17748988336543298
Position 3168: 0.1570566808612523
Position 3436: 0.05486721725653268
Position 2495: 0.025562042534987974
Position 911: 0.022425940781132678
Position 1593: 0.016579847816353327
Position 2506: 0.012737134550297721
Position 685: 0.010842850642011953
Position 693: 0.007944761831661302
Position 128: 0.007746040161764431
Position 3020: 0.0064853515357050796
Position 164: 0.006267107077653542
Position 2664: 0.006171892368653122
Position 2986: 0.004953513219376726
Position 508: 0.004753628848949789
Position 150: 0.0039625792238753635
Position 6575: 0.003864878923280116
Position 816: 0.0036222970721563547
Position 7: 0.0021907788426199686
Position 304: 0.001975481357496058
Position 3037: 0.0019261503883673905
Position 697: 0.0016259517333330155
Position 1837: 0.0015247104580376747
Position 1032: 0.0013485533291538836
Position 2927: 0.0012175937630928466
Position 2619: 0.001085228912543987
Position 984: 0.0008778602299866629
Position 378: 0.0007051520687866033
Position 2653: 0.000423813083731028
Position 678: 0.0003605011519675421
Position 3491: 0.0003239108381171408
Position 2869: 0.0002804996095103498
Position 2103: 0.0002705559213084791
Position 121: 0.00023648886136149765
Position 1000: 0.00023342344309381835
Position 82: 0.00014031321555686203
Position 430: 0.00011124683028176286
Position 926: 9.0345634189025e-05
Position 510: 8.453003708255416e-05
Position 957: 7.273504496000138e-05
Position 1532: 5.90044082813094e-05
Position 890: 5.275409570896797e-05
Position 2010: 4.817437241173492e-05
Position 597: 4.39356550627826e-05
Position 712: 4.1426352993320554e-05
Position 628: 3.833641636382436e-05
Position 840: 2.310623250937113e-05
Position 748: 2.01015523560149e-05
Position 854: 1.954115424141028e-05
Position 1494: 1.904101216674752e-05
Position 734: 1.8142044212345926e-05
Position 76: 1.770239300615725e-05
Position 1169: 1.6977442457796354e-05
Position 947: 1.6185933709326285e-05
Position 944: 1.4816623345377628e-05
Position 2170: 1.4305276393441655e-05
Position 641: 1.2958888469414344e-05
Position 775: 1.2114460123403608e-05
Position 2274: 1.0725737401697814e-05
Position 1088: 6.794699835784121e-06
Position 1079: 6.749700652561614e-06
Position 468: 6.5288924048952565e-06
Position 387: 5.882199895258721e-06
Position 268: 5.641172890286342e-06
Position 100: 5.550844343197408e-06
Position 295: 4.896815735886021e-06
Position 31: 4.27798666760345e-06
