Gene = URB2
index = 1535
Annotated 5SS: [  123  1526  6212 12014 17460 19736 21519 25089 28155]
Annotated 3SS: [ 1386  6034  8682 17298 19624 21275 25000 28014 32865]
SMsplice 5SS: [  171   433  1526  6212  9697 10183 10567 12014 21519 25089 28155]
SMsplice 3SS: [  256  1386  6034  9357 10076 10285 11947 21275 25000 28014 32865]
top_k =  1000
Partition function (log Z): 8.517024617814016

Sorted 5' Splice Sites (High to Low Probability):
Position 21519: 0.9662366100814559
Position 1526: 0.9637161005153494
Position 12014: 0.9283521910404021
Position 10567: 0.9173533401353996
Position 9697: 0.895379780670757
Position 10183: 0.8200532282793211
Position 25089: 0.7881419503680432
Position 6212: 0.6963921271713509
Position 433: 0.6911503501136111
Position 171: 0.6731050345817475
Position 28155: 0.5528355544529737
Position 29830: 0.528951306661583
Position 30754: 0.4655901264284466
Position 23006: 0.35660638945998924
Position 19736: 0.33266751868277455
Position 22782: 0.31951142633635415
Position 123: 0.3099148764837861
Position 16771: 0.2697252264182424
Position 8844: 0.251089128232837
Position 8592: 0.22988340255065845
Position 28133: 0.22253830157583535
Position 28146: 0.22205446499805848
Position 17460: 0.20286623709835933
Position 10967: 0.20041998236184327
Position 18268: 0.1624909892215237
Position 30483: 0.16002712151858153
Position 27451: 0.15670992200638628
Position 25137: 0.11473906377709225
Position 3235: 0.0970268279897586
Position 27338: 0.0912177411602508
Position 11650: 0.08897240966829467
Position 12618: 0.08441601910670751
Position 2744: 0.08394168249213807
Position 6321: 0.08230244702382547
Position 27330: 0.08198534765145124
Position 32630: 0.07469433796084991
Position 1289: 0.07468983716096576
Position 23482: 0.07097813569315932
Position 29790: 0.06438713477954892
Position 8893: 0.06221243661298805
Position 13667: 0.058904415617486716
Position 12568: 0.055944659791412284
Position 29373: 0.054486622723996694
Position 24926: 0.053749559757947686
Position 24824: 0.0507930376511501
Position 8941: 0.04096342010426651
Position 8875: 0.03526171463823133
Position 19990: 0.03409124386703675
Position 32003: 0.03349728590387788
Position 28906: 0.030059922471558132
Position 10818: 0.02949895232059119
Position 31283: 0.02450345920584288
Position 32148: 0.02391683932122069
Position 31147: 0.02282963184740162
Position 8551: 0.021876861733542217
Position 5896: 0.01944855487806866
Position 774: 0.01904576513846445
Position 24965: 0.01885552405512711
Position 9061: 0.018261949021164
Position 21531: 0.017655943049487154
Position 561: 0.01718415518684621
Position 24707: 0.017085917606668517
Position 25455: 0.016293793285674704
Position 10388: 0.01585600762789635
Position 10482: 0.015825491920893237
Position 8818: 0.013642614633857646
Position 30548: 0.013507929507174273
Position 11765: 0.013197182556257734
Position 763: 0.012502255880272855
Position 163: 0.01079366476597595
Position 31820: 0.009502984090002255
Position 23814: 0.00884526338159489
Position 27476: 0.008210251702208777
Position 26663: 0.00793338053695472
Position 32570: 0.007916619701725724
Position 24091: 0.0075444725110449876
Position 11279: 0.006489639654678846
Position 4946: 0.00627770488052299
Position 29576: 0.006173898736435803
Position 27571: 0.005973033340207619
Position 1225: 0.005698802956321496
Position 16738: 0.005350327849756993
Position 24039: 0.004966797330930046
Position 19871: 0.00453814171294298
Position 19704: 0.004394047904961566
Position 918: 0.004374496900263399
Position 868: 0.0040801381923901495
Position 11274: 0.004012942382891085
Position 32562: 0.003958746793873543
Position 6232: 0.0038679013956285104
Position 1056: 0.00385961124183607
Position 5877: 0.0036709831307178823
Position 872: 0.0036509299611409904
Position 29967: 0.0035346070864876156
Position 3044: 0.00337307212159148
Position 25001: 0.003285369689469266
Position 24767: 0.0032224238369221742
Position 141: 0.003038912104642462
Position 366: 0.0029409831469177873
Position 2796: 0.002924295171648578
Position 8134: 0.0025570146852554863
Position 3199: 0.0025295546621788277
Position 27365: 0.0024123342652838343
Position 23961: 0.002300588563622351
Position 32521: 0.0020631218050971385
Position 9868: 0.002010518044568846
Position 23477: 0.0020058106229052497
Position 20777: 0.001975737444066913
Position 352: 0.0013440355268519563
Position 32040: 0.0013031978701407417
Position 907: 0.0012923406538922044
Position 1034: 0.0012139972101162051
Position 31491: 0.0011658535384420972
Position 8249: 0.0011228645789391522
Position 1316: 0.0011045594704559745
Position 25717: 0.0010178148616850717
Position 10225: 0.0010114581035078696
Position 10374: 0.0008735401015390237
Position 7347: 0.0008512963818386789
Position 8647: 0.000826036556685214
Position 8536: 0.0007270426191638966
Position 12117: 0.0006961194323735805
Position 31310: 0.0006544035738636398
Position 840: 0.0006485214319100314
Position 6676: 0.0006326424769636843
Position 28894: 0.0005394081472533129
Position 577: 0.0005306642984951672
Position 4347: 0.0005097020919620589
Position 28841: 0.0004377720139064035
Position 12711: 0.00040209394468014337
Position 1303: 0.00034891013836004127
Position 1690: 0.000337318313405515
Position 492: 0.00033033210907872123
Position 6471: 0.0002992482788353184
Position 6701: 0.0002936890786188096
Position 8067: 0.0002730502987281851
Position 29812: 0.00027085833864758547
Position 29278: 0.0002465547748156404
Position 661: 0.00024022695515271158
Position 1061: 0.0002356988707995156
Position 1004: 0.00020190573703492262
Position 757: 0.00019392384014100186
Position 442: 0.00017256463688379367
Position 3040: 0.00016605667974189744
