Gene = CHCHD4
index = 368
Annotated 5SS: [ 204 8433]
Annotated 3SS: [ 8333 11663]
SMsplice 5SS: [ 204 2942 8433]
SMsplice 3SS: [ 2828  8333 11663]
top_k =  1000
Partition function (log Z): -5.222181074959877

Sorted 5' Splice Sites (High to Low Probability):
Position 8433: 0.9972791323972743
Position 2942: 0.7729265909648592
Position 204: 0.5232940350603081
Position 315: 0.2418295432176271
Position 9763: 0.16835001817066592
Position 3988: 0.11425942999356924
Position 6753: 0.11400801124338074
Position 456: 0.08764750845338475
Position 3941: 0.08180444209776791
Position 9516: 0.08166119070092251
Position 2913: 0.07927522491368647
Position 160: 0.07442948197296888
Position 7321: 0.06453492172133737
Position 10953: 0.062411306236459727
Position 5862: 0.0594301354579103
Position 9750: 0.058626425593098754
Position 1025: 0.04855715642283729
Position 9366: 0.04003081583183113
Position 2499: 0.036883331408519925
Position 6205: 0.033648088541858544
Position 4996: 0.030099570032349376
Position 129: 0.026756748732035332
Position 5714: 0.026638389737558606
Position 10496: 0.02530851683561004
Position 762: 0.024615497156240305
Position 7326: 0.023443962521308495
Position 10456: 0.02234546413209792
Position 2508: 0.021466507889245468
Position 10968: 0.020903588114584655
Position 7245: 0.01972546624518962
Position 12292: 0.01535288868116495
Position 2848: 0.014644019385229922
Position 7231: 0.014078731646548383
Position 5366: 0.013424137710616811
Position 9143: 0.013303019963134963
Position 8799: 0.013205404143593894
Position 3665: 0.013148253188488876
Position 8692: 0.012072722872459188
Position 10039: 0.010823386002085458
Position 9627: 0.008663613562239722
Position 10354: 0.008331197034253382
Position 11545: 0.008170842986762242
Position 5016: 0.007789369925553367
Position 9631: 0.007773715296926092
Position 6585: 0.007511108192428539
Position 9857: 0.007381561498253146
Position 1785: 0.007134542106063495
Position 8594: 0.0057927810068076615
Position 418: 0.005524181819890002
Position 479: 0.005472590588533765
Position 7365: 0.004896533449387793
Position 7615: 0.004682280430563213
Position 5000: 0.004627010548952057
Position 460: 0.003653807718036568
Position 8538: 0.003448645879519834
Position 11794: 0.0031930935490396416
Position 5988: 0.00291732974050448
Position 11597: 0.0026834318069812943
Position 1979: 0.0025517080581559217
Position 10620: 0.0025047098665208676
Position 4426: 0.002115946119861661
Position 2595: 0.001978377542525435
Position 6761: 0.0018605680606958378
Position 69: 0.0018304754413438658
Position 536: 0.0018072574907331347
Position 1101: 0.0015178652738175253
Position 1256: 0.001239565418031475
Position 9520: 0.0012010627520641583
Position 9823: 0.0010720381081052266
Position 484: 0.0010664039695672855
Position 10276: 0.0010194361312241371
Position 635: 0.0010046586686732984
Position 11967: 0.0010042845783161064
Position 12296: 0.0009546924657071022
Position 10715: 0.0009159566416023005
Position 2732: 0.0009152887359251234
Position 1294: 0.0008516519913671589
Position 10739: 0.0008257084784683732
Position 8702: 0.0007823259228141577
Position 11050: 0.0006791390868458366
Position 9216: 0.0006474649369620024
Position 10479: 0.0006404708580596042
Position 8794: 0.0005844306680801525
Position 1239: 0.0005211090689798098
Position 115: 0.00033272386150557537
Position 9538: 0.00030738942439091557
Position 954: 0.0002656489673388785
Position 11088: 0.00025017778174628877
