Gene = CASZ1
index = 284
Annotated 5SS: [    85  35948  91157 102775 131566 136947 138141 140003 141000 142230
 143272 145708 145957 147366 147579 148848 150521 151732 153489 153790]
Annotated 3SS: [ 35790  91103 102735 131076 136111 138071 139911 140834 142056 142429
 145571 145892 147210 147455 148508 150321 151559 153336 153647 156588]
SMsplice 5SS: [    85   5649  33880  35692  35948  51467  60551  63652  91157 109982
 110192 114760 115024 116415 127734 136399 136620 138141 140003 142230
 142541 145708 145957 147366 147579 151732 153489 153790 154626]
SMsplice 3SS: [  5473  33777  35542  35790  51342  60370  63524  91103 109781 110110
 114597 114847 116332 127575 136111 136499 138071 139911 142056 142429
 145571 145892 147210 147455 151559 153336 153647 154325 156588]
top_k =  1000
Partition function (log Z): -78.08816191411334

Sorted 5' Splice Sites (High to Low Probability):
Position 85: 0.9141665831603875
Position 5649: 0.751653402787355
Position 12699: 0.48214362893218016
Position 2115: 0.4680144133085607
Position 3914: 0.3375529223158987
Position 8964: 0.25425584932462053
Position 5995: 0.22750776915968166
Position 3868: 0.22179402091733866
Position 17003: 0.18885410487279575
Position 2103: 0.0927543204029622
Position 1705: 0.08382296737515853
Position 5107: 0.06548486422366039
Position 8960: 0.05373395359861602
Position 756: 0.052232535624904805
Position 3309: 0.05151929999344769
Position 15530: 0.04920211067919364
Position 642: 0.03431282774430834
Position 2109: 0.03386274913651275
Position 3485: 0.03153623343124777
Position 2202: 0.026011894668715455
Position 1143: 0.023611014321953328
Position 1135: 0.022571313294487153
Position 8422: 0.01796433728746966
Position 14718: 0.016774459298323607
Position 1508: 0.015651493476860047
Position 10425: 0.015341118661784054
Position 9290: 0.014366662528876245
Position 2156: 0.01252170840305355
Position 5178: 0.010819427360482152
Position 2962: 0.010166761761382754
Position 4333: 0.009557558270345056
Position 1840: 0.00824670520771111
Position 1178: 0.008141727442352899
Position 5132: 0.006452119544923662
Position 2271: 0.005751145270166028
Position 552: 0.004601145431309774
Position 2245: 0.004560595149084084
Position 2231: 0.004114630555928647
Position 3007: 0.0034080120172243224
Position 1072: 0.0030172353309195245
Position 535: 0.0029915865605071074
Position 291: 0.0026487118244941576
Position 441: 0.0026205510694724287
Position 1842: 0.0025511710671578466
Position 2864: 0.0025212493535201057
Position 4157: 0.002482240992392752
Position 10420: 0.0023631626527513424
Position 13309: 0.0023570478021475733
Position 3872: 0.0022473944506099333
Position 5395: 0.0022042218672956326
Position 792: 0.002057829285908475
Position 4125: 0.0020239362496169092
Position 1088: 0.0019135028501943133
Position 690: 0.001900867689742083
Position 4121: 0.0018336108351654173
Position 1668: 0.0013850359690969992
Position 1286: 0.0011687315378928799
Position 883: 0.0009349017045522344
Position 741: 0.0007111371392675804
Position 1188: 0.0006980402591225594
Position 737: 0.0006825323585765211
Position 2140: 0.0005985480183025836
Position 4543: 0.0005788773956295134
Position 6215: 0.0005289435468268778
Position 2365: 0.0004806970399497741
Position 1182: 0.00041919888019203766
Position 1365: 0.00040604596295091546
Position 1305: 0.0003894257040553081
Position 461: 0.000379604342203061
Position 2695: 0.00035734611303585984
Position 495: 0.00028002079109876177
Position 1465: 0.00025556669115513517
Position 1393: 0.00024209353884201045
Position 1044: 0.00021405554005523574
Position 1203: 0.00016892363035560194
Position 4185: 0.0001668627469048128
Position 658: 0.00016063483008523394
Position 3878: 0.00014796297165508605
Position 1536: 0.00013609248279513342
Position 179: 0.00012800685568843342
Position 1103: 0.000123317262834753
Position 2999: 2.3707092340371347e-05
Position 649: 1.6197056340353513e-05
Position 79: 1.5913919194875937e-05
Position 694: 6.665846005626937e-06
Position 1921: 5.17475584559473e-06
Position 2797: 5.0943629554920654e-06
Position 782: 3.835159311962218e-06
Position 2323: 3.6812541971989e-06
Position 1032: 3.5944110224864025e-06
Position 1497: 3.3302068886837723e-06
Position 611: 3.1066769622339644e-06
Position 765: 3.0677836686471918e-06
Position 411: 2.8383887094758803e-06
Position 1355: 2.1926184664094077e-06
Position 1410: 2.0033309631497378e-06
Position 608: 1.493073998218672e-06
Position 1168: 8.429760349418052e-07
Position 906: 5.891168270762952e-07
Position 515: 5.827931005920214e-07
Position 433: 5.736379849525088e-07
Position 1070: 5.01891210497488e-07
Position 735: 4.791497839735789e-07
Position 1054: 4.6330727573074745e-07
Position 1067: 4.0364762202845744e-07
Position 161: 2.654249508752303e-07
Position 124: 1.8399824806834204e-07
Position 1140: 1.8193242200992269e-07
Position 872: 1.7039446704908983e-07
Position 1214: 1.7011646013888906e-07
Position 59: 1.3790731111831317e-07
Position 173: 6.467416961474458e-09
Position 351: 1.0052129586378253e-09
Position 341: 2.6828911501219026e-11

Sorted 3' Splice Sites (High to Low Probability):
