Gene = DPM3
index = 467
Annotated 5SS: [54]
Annotated 3SS: [298]
SMsplice 5SS: [54]
SMsplice 3SS: [272]
top_k =  1000
Partition function (log Z): -5.404478595110184

Sorted 5' Splice Sites (High to Low Probability):
Position 54: 0.9881662227049548
Position 60: 0.010524287685839176
Position 48: 0.0009984972209814344
Position 237: 7.51566269045015e-05
Position 99: 5.3947659875595975e-05
Position 43: 5.072661780873254e-05
Position 64: 4.1702914888760665e-05
Position 247: 4.060545351831596e-05
Position 223: 2.6946410794716707e-05
Position 165: 2.6233333777085924e-05
Position 129: 2.3681385728351016e-05
Position 298: 2.3576378839146433e-05
Position 208: 8.779232892610235e-06
Position 412: 5.408991794135274e-06
Position 121: 4.879453739591919e-06
Position 444: 4.097651216333891e-06
Position 442: 2.756829623004794e-06
Position 472: 2.295448060261162e-06
Position 103: 1.8632873104495188e-06
Position 321: 1.6999728227780566e-06
Position 242: 1.6856049887984805e-06
Position 58: 1.0715291331633877e-06
Position 358: 3.9464860045178086e-07
Position 484: 2.5762894726524414e-07
Position 153: 2.5512027188885266e-07
Position 417: 1.428632206302485e-07
Position 482: 3.6214729413278585e-08
Position 399: 2.4806295465063028e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 272: 0.40601894261072236
Position 298: 0.33129239062104404
Position 408: 0.2561411791609129
Position 165: 0.0028032070222638286
Position 202: 0.0008831452381442724
Position 412: 0.000656129107386264
Position 635: 0.000614218923450017
Position 316: 0.0005175502732131013
Position 337: 0.00032772619451550936
Position 528: 0.0003014801021548451
Position 610: 0.00022743740866736068
Position 321: 6.161142089399692e-05
Position 242: 5.033031399684756e-05
Position 376: 4.8507141918159185e-05
Position 585: 4.4870044246753785e-05
Position 390: 4.438378797099431e-05
Position 507: 1.9517004092514233e-05
Position 566: 1.1572000343435975e-05
Position 124: 7.514438765443467e-06
Position 277: 5.470217490211516e-06
Position 641: 2.1086479022056456e-06
Position 637: 1.4550702545700504e-06
Position 128: 1.4369871868019994e-06
Position 117: 1.3218841261230097e-06
Position 534: 1.3051999356402088e-06
Position 522: 9.175580579685738e-07
Position 559: 7.341856352268059e-07
Position 540: 3.2170013824390753e-07
Position 115: 2.809748614470134e-07
Position 135: 9.271120027613789e-08
Position 530: 4.089377689176565e-08
Position 550: 2.905950818244492e-08
Position 543: 5.772782205027548e-09
