Gene = MIIP
index = 843
Annotated 5SS: [   87  2375  2977  3452  9676  9816 10429 10659 11938]
Annotated 3SS: [ 2178  2628  3366  9566  9756 10298 10561 11799 12255]
SMsplice 5SS: [   87  2375  2977  3452 10429 10659 11938]
SMsplice 3SS: [ 2178  2628  3366 10298 10561 11799 12255]
top_k =  1000
Partition function (log Z): 9.375421567127926

Sorted 5' Splice Sites (High to Low Probability):
Position 87: 0.997711337170266
Position 10429: 0.9908039454028097
Position 3452: 0.978834379898372
Position 10659: 0.9639664193452829
Position 11938: 0.9391882018743873
Position 2977: 0.6992659105663468
Position 9816: 0.4932473484366942
Position 2375: 0.41322536876202587
Position 9676: 0.3534897057727783
Position 11492: 0.22840744758955195
Position 2350: 0.21639312835455796
Position 9182: 0.10175067122060344
Position 9657: 0.08968712869199445
Position 9128: 0.08506176648614695
Position 11497: 0.06457078722484146
Position 8726: 0.057335257797257254
Position 12294: 0.051502635213587285
Position 7335: 0.046359337963116136
Position 9696: 0.03611385440853213
Position 11069: 0.03322998781612995
Position 8778: 0.03183348585555275
Position 7287: 0.02291400055812315
Position 7374: 0.022432701991924264
Position 10827: 0.0198722605909985
Position 9902: 0.019408187956649465
Position 6359: 0.01923474612759585
Position 3270: 0.015110031003291903
Position 11009: 0.012978142654903085
Position 8313: 0.012772307137417711
Position 11528: 0.012412066690894653
Position 999: 0.012227605401359738
Position 11447: 0.012208086014387486
Position 2323: 0.011935833366652507
Position 594: 0.009885827069484349
Position 4909: 0.009864489235897852
Position 959: 0.008950750788051971
Position 11435: 0.008923045015452769
Position 2724: 0.008396152700345882
Position 11213: 0.0082123821399317
Position 11344: 0.007822479468642694
Position 11294: 0.007367753111802746
Position 2327: 0.00735898233368362
Position 10760: 0.007038136489191174
Position 11251: 0.006517551640196441
Position 509: 0.006064072129002642
Position 9255: 0.005703278823684029
Position 4748: 0.004295942530002459
Position 12307: 0.004018898354521324
Position 1015: 0.003994938341629051
Position 3144: 0.0038497181478686316
Position 10684: 0.003756965622543176
Position 12028: 0.0036471570368385394
Position 9460: 0.003579104789298223
Position 2578: 0.003431857429843806
Position 2733: 0.0030590325618757154
Position 531: 0.0030118458350993555
Position 2179: 0.0029204047390086903
Position 11485: 0.0027947252483354317
Position 2582: 0.0027805896177865086
Position 8388: 0.002736718740784703
Position 11690: 0.00265149486617239
Position 11657: 0.0026139752672818457
Position 11665: 0.002597864488488481
Position 3099: 0.0025671374847562305
Position 9068: 0.002563709444501781
Position 1746: 0.0025033391198142655
Position 518: 0.002379161821372893
Position 11669: 0.002155985062860323
Position 11768: 0.0020665745764905383
Position 9982: 0.0016337823080952514
Position 2342: 0.001396344269951559
Position 12466: 0.0012545318075380125
