Gene = RABIF
index = 1109
Annotated 5SS: [163]
Annotated 3SS: [7911]
SMsplice 5SS: [163]
SMsplice 3SS: [9036]
top_k =  1000
Partition function (log Z): -10.125494467144573

Sorted 5' Splice Sites (High to Low Probability):
Position 163: 0.957688137362397
Position 5029: 0.12049077318445131
Position 915: 0.08776508913890808
Position 8658: 0.08138648981294568
Position 719: 0.07970077535484413
Position 9311: 0.04737863883847526
Position 885: 0.04550661870674108
Position 1134: 0.038819221663478974
Position 1064: 0.02579892356683179
Position 6880: 0.024752370421017692
Position 554: 0.019401806790017656
Position 1967: 0.018542706155560855
Position 2743: 0.016200233360317118
Position 7528: 0.015569523515061658
Position 3809: 0.01479333830431894
Position 8062: 0.013894295858244183
Position 809: 0.01194158966352926
Position 3957: 0.010344972856476845
Position 8853: 0.008113699253420995
Position 1231: 0.007598006723160475
Position 1130: 0.007414519883515166
Position 5406: 0.007140717657559297
Position 3556: 0.006986771467391297
Position 124: 0.006401424942585247
Position 5076: 0.005895047160462093
Position 97: 0.005320740293693844
Position 8154: 0.005213216079925994
Position 8023: 0.004192405235664033
Position 8041: 0.004071551063179414
Position 63: 0.003906653101429367
Position 3307: 0.0036078886924455398
Position 175: 0.003008383133444689
Position 7996: 0.0027160926129720722
Position 1401: 0.002709496909113435
Position 1197: 0.002701904290771732
Position 8170: 0.0023827975628615003
Position 1170: 0.002081546921000834
Position 6348: 0.001984048294437771
Position 7016: 0.0015954568046967236
Position 5045: 0.0014952612444716193
Position 3392: 0.0014315836179439525
Position 4768: 0.001134317296017577
Position 782: 0.0006667551019921673
Position 6005: 0.0006321103253508935
Position 3541: 0.0005860893413219811
Position 1248: 0.0004880616256144429
Position 5446: 0.0004615061138890198
Position 4906: 0.00042775228675939693
Position 4173: 0.00039199785562729156
Position 5828: 0.00033307202654668636
Position 3153: 0.0003033153529110616
Position 69: 0.00016063173068834875
Position 1032: 0.00012885749424359661
Position 844: 6.610275637358108e-05
Position 3465: 6.564779530584714e-05
Position 1328: 6.56389918105139e-05
Position 478: 6.38901798973511e-05
Position 787: 4.680821829900988e-05
Position 1039: 3.452909329415772e-05
Position 6407: 3.0476498942957907e-05
Position 893: 2.9481678470574984e-05
Position 3691: 2.7907449477638935e-05
Position 6100: 2.7182150202954056e-05
Position 6388: 2.6839269324909747e-05
Position 3710: 2.5482842434827824e-05
Position 581: 2.179280854063082e-05
Position 754: 1.8342162116121276e-05
Position 691: 1.8256843670640046e-05
Position 2251: 1.4152401675036886e-05
Position 3563: 1.330144670947311e-05
Position 2203: 1.3268347359990556e-05
Position 2499: 1.3065205489907789e-05
Position 354: 1.03250014989781e-05
Position 757: 8.385731772324827e-06
Position 693: 6.119724709988693e-06
Position 452: 5.441577152729858e-06
Position 1410: 5.321811867644377e-06
Position 591: 1.975267487288233e-06
Position 102: 1.9117003793118526e-06
Position 930: 1.856178591001009e-06
Position 943: 5.47651068103554e-07
Position 221: 2.8210206592564797e-07
Position 493: 2.7999577548257224e-07
Position 198: 2.606179258874626e-07
Position 583: 1.1841776302787547e-07
Position 1049: 1.0504345834592353e-07
Position 636: 7.184043323452068e-08
Position 67: 5.234529614347271e-08
Position 924: 3.2176294490703985e-08
Position 185: 1.919438927658826e-08
Position 922: 1.506830864726341e-08
Position 622: 8.982288557443473e-09
Position 22: 5.531794665735948e-09
Position 110: 1.5316574861846518e-09
Position 467: 4.891197193647937e-11
Position 7: 5.81276491118875e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 9036: 0.44748614905061357
Position 7911: 0.2857883851282219
Position 9410: 0.10134182819357095
Position 4926: 0.08579369066745168
Position 844: 0.08373818734337123
Position 608: 0.06693654035879507
Position 670: 0.06166573566879317
Position 8491: 0.0572845604209593
Position 1133: 0.03902959832907689
Position 998: 0.03734252315757315
Position 4989: 0.03592409975416947
Position 6758: 0.03451903329627606
Position 8450: 0.030829167873696727
Position 5746: 0.029955447827144325
Position 7436: 0.02446791941867722
Position 3648: 0.023944956536210954
Position 1028: 0.02095887561595907
Position 2553: 0.01882657307227046
Position 7983: 0.015676335880773423
Position 765: 0.013359560877935063
Position 1811: 0.012416375798028796
Position 10139: 0.011694049225259948
Position 8657: 0.010242380140116846
Position 958: 0.009094304997101576
Position 3464: 0.008638419676086077
Position 9446: 0.008407594636424216
Position 9131: 0.00794731040461153
Position 4855: 0.007852179662141436
Position 849: 0.0066593870775567224
Position 3898: 0.006166451544747783
Position 6606: 0.006138469691079912
Position 5124: 0.005681779184430797
Position 3742: 0.005582363910823839
Position 1846: 0.005122807375691159
Position 8581: 0.004615878335663302
Position 3198: 0.004468967761198723
Position 8751: 0.004139900982233238
Position 8828: 0.00376977405760945
Position 5280: 0.0037032142341694415
Position 9534: 0.0034163048927466186
Position 408: 0.003403648021862083
Position 3598: 0.0033645589376885914
Position 3848: 0.0032267173338959244
Position 5021: 0.0032153944956382925
Position 473: 0.0031855830193772074
Position 740: 0.0030283230595699257
Position 4991: 0.003007563642978005
Position 4055: 0.0029890182248475663
Position 8812: 0.002592389503920084
Position 1815: 0.0025356088835520184
Position 8466: 0.0023713973288913746
Position 8392: 0.0023634042771206853
Position 6584: 0.0023268359899964067
Position 2134: 0.002231340154770754
Position 8071: 0.002058058002592043
Position 3230: 0.001964699927215492
Position 10035: 0.0019555348438558746
Position 4554: 0.0019550151354959027
Position 7822: 0.0018658390377192641
Position 7958: 0.0018187421700767792
Position 622: 0.0016164614776319674
Position 672: 0.0016087988690987474
Position 4828: 0.0014736674430907435
Position 9462: 0.0014121986906224873
Position 3144: 0.0013232438094410613
Position 9341: 0.0011265895769689237
Position 5365: 0.0010189045286259535
Position 6287: 0.0009951962130936459
Position 6188: 0.000993263929439638
Position 7931: 0.000920609691024721
Position 2926: 0.0008877562740149283
Position 162: 0.0008853685068035545
Position 3372: 0.0008372203078560448
Position 4644: 0.0007813347868206468
Position 8844: 0.0007753990899244872
Position 4940: 0.0007228786273382456
Position 412: 0.0006617481749143686
Position 6921: 0.000632603170517448
Position 6367: 0.0006067753107803227
Position 1231: 0.000605220305273528
Position 4268: 0.0005780983438885438
Position 6211: 0.0005548597216446314
Position 303: 0.0005405681177935073
Position 809: 0.0005361804233677275
Position 336: 0.0005166743220730121
Position 1084: 0.0005130241595808028
Position 1328: 0.0004784484375652286
Position 5204: 0.0004608641626477541
Position 6778: 0.00045267110419487753
Position 1681: 0.0004487917468045279
Position 7935: 0.0004169834791361998
Position 8638: 0.0003992291546806399
Position 2147: 0.0003876240794820303
Position 7206: 0.0003721773193852309
Position 3063: 0.00035145957819979597
Position 5538: 0.00034220219889188804
Position 1365: 0.00027367630729052656
Position 6437: 0.00027237298321693696
Position 7442: 0.00026903406624787765
Position 4075: 0.0002454058305860323
Position 782: 0.0002435948339983354
Position 5127: 0.00024123066362312454
Position 2650: 0.00022150140964247972
Position 7462: 0.00022108344085888305
Position 4051: 0.00019229075525448595
Position 5581: 0.00017349172678208502
Position 2713: 0.00017343021527880522
Position 6235: 0.00016791089839503145
Position 4529: 0.00016321213120421975
Position 6754: 0.0001621223914162793
Position 5750: 0.00015335206651364376
Position 6110: 0.00010690020995664751
Position 3613: 0.00010509966491013358
Position 5837: 0.00010050345661795258
Position 2633: 0.00010045586601259723
Position 3490: 9.223064200267013e-05
Position 4216: 8.92627652784534e-05
Position 681: 8.732768197327127e-05
Position 3226: 8.550790544834094e-05
