Gene = ZMAT2
index = 1601
Annotated 5SS: [ 145  579 1796 3658 4238]
Annotated 3SS: [ 484 1671 3583 4091 5278]
SMsplice 5SS: [ 145  579 1796 3658 4238]
SMsplice 3SS: [ 484 1671 3583 4091 5278]
top_k =  1000
Partition function (log Z): 8.763536199345173

Sorted 5' Splice Sites (High to Low Probability):
Position 4238: 0.9966378285840999
Position 1796: 0.9914486996195359
Position 145: 0.9720307403661804
Position 579: 0.8915005142350036
Position 3658: 0.6099376872429596
Position 3671: 0.22683817139388496
Position 3883: 0.2160118778489645
Position 752: 0.13822077932954513
Position 1579: 0.10681785463741471
Position 2775: 0.08223429974191407
Position 608: 0.019642459317068234
Position 5474: 0.01862632721297086
Position 3707: 0.01669111872215376
Position 302: 0.015000009136004149
Position 5509: 0.013387570635497495
Position 3259: 0.012745561025182806
Position 5476: 0.007545480609187848
Position 5472: 0.007459980748120136
Position 2697: 0.007205001907927299
Position 5480: 0.006705761254555065
Position 5478: 0.006606212064489625
Position 266: 0.0059894716124464075
Position 2121: 0.0047959322829172904
Position 675: 0.004681857346736913
Position 641: 0.004430474620320268
Position 2113: 0.0037495710367401796
Position 1952: 0.0035556103149674153
Position 169: 0.003372601967396707
Position 583: 0.003195996036604399
Position 1324: 0.003062666975675143
Position 3994: 0.0026032783643067134
Position 742: 0.002459797041928278
Position 2967: 0.002232067111501993
Position 3769: 0.00212910202010757
Position 5604: 0.0019374337079607288
Position 1725: 0.0018987414465999313
Position 3384: 0.0017143380869525584
Position 3136: 0.0016761156158326494
Position 1415: 0.0016418358415269778
Position 149: 0.0015813491566132845
Position 3725: 0.0014362854960224022
Position 653: 0.0012913714697244307
Position 3180: 0.001290710417667427
Position 1383: 0.0010310237755321162
Position 2369: 0.0009228806349868653
Position 3034: 0.0008248219782589657
Position 4145: 0.0008102354650136621
Position 4557: 0.000627824599826655
Position 5487: 0.0006113306859125806
Position 5378: 0.0005996880817995213
Position 3357: 0.0005735129320635539
Position 4010: 0.0005229047286627593
Position 1483: 0.0005115510868087887
Position 3401: 0.000509864263056097
Position 1994: 0.0005065427819508767
Position 1879: 0.00048750586457177745
Position 6090: 0.000460620025767701
Position 878: 0.000447949484422145
Position 5484: 0.00043142044841028916
Position 2779: 0.0004230061027544805
Position 3878: 0.00041400564950231657
Position 179: 0.00038977862304417395
Position 5949: 0.0003866165764615478
Position 5210: 0.00033390736947240833
Position 4781: 0.0003145662454871147
Position 4694: 0.0003079098569448106
Position 1543: 0.00030331290124918533
Position 4468: 0.00030074656435339644
Position 1151: 0.00029985581743926794
Position 1302: 0.0002815220988601749
Position 3778: 0.0002796543701163176
Position 4019: 0.0002679432301663335
Position 2335: 0.0002446586391776003
Position 2389: 0.00021918003291642113
Position 1221: 0.00021852416039897955
Position 3935: 0.00021751652504797445
Position 1086: 0.0002139832265707668
Position 282: 0.00018743099805020592
Position 1912: 0.00018607718457465928
Position 5431: 0.00018483031123814426
Position 260: 0.0001813850537353704
Position 3678: 0.00017878265597057267
Position 4902: 0.00016947722595254502
Position 2586: 0.00015757122479145207
Position 320: 0.0001290691787575916
Position 2382: 0.00012476790190308495
Position 1082: 0.0001151507920402443
Position 2635: 8.832303449212742e-05
Position 1550: 8.643711801560768e-05
Position 3966: 7.644850502532333e-05
Position 1465: 7.640465398237126e-05
Position 4244: 7.525412002409661e-05
Position 4163: 7.514486432970481e-05
Position 3002: 7.436157853290554e-05
Position 4341: 6.62942785951164e-05
Position 151: 6.531250427058123e-05
Position 4603: 6.136067775560023e-05
Position 711: 6.056325071109458e-05
Position 1070: 5.475827456600878e-05
Position 5191: 4.995134642216106e-05
Position 4763: 4.8786492757752825e-05
Position 132: 4.527429190323079e-05
Position 883: 4.49094308380663e-05
Position 3698: 4.365556153726024e-05
Position 1047: 4.233417001255309e-05
Position 5415: 3.914769855275796e-05
Position 1959: 3.660724595361428e-05
Position 838: 3.415063803065472e-05
Position 756: 3.367440060400135e-05
Position 4723: 3.1905474412468776e-05
Position 2528: 2.99203747569875e-05
Position 329: 2.6423126551012536e-05
Position 121: 2.59987857759237e-05
Position 888: 2.586014050488759e-05
Position 2523: 2.5844447957166788e-05
Position 3564: 2.477586647574879e-05
Position 511: 2.4336317823052532e-05
Position 1264: 2.400671659061485e-05
Position 156: 2.2113810961463296e-05
Position 1149: 2.2064167740151122e-05
Position 3860: 2.1726153504088274e-05
Position 1547: 2.034998418994386e-05
Position 1512: 2.0326218458567034e-05
Position 4748: 1.8859765711156512e-05
Position 5400: 1.8453077737815047e-05
Position 1214: 1.646963358756695e-05
Position 864: 1.6369997740630047e-05
Position 3612: 1.6359388892132588e-05
Position 1373: 1.5136402267353917e-05
Position 5110: 1.4140951768336473e-05
Position 1478: 1.3141250193824957e-05
Position 154: 1.2735252957776818e-05
Position 673: 1.2172641874480049e-05
Position 690: 9.972484469673013e-06
Position 1024: 8.886093494434025e-06
Position 422: 8.066602002436528e-06
Position 1244: 6.71738707475952e-06
Position 189: 6.169818120981762e-06
Position 306: 5.5955434597792155e-06
Position 918: 5.2677311691245895e-06
Position 1541: 4.9185398619919595e-06
Position 647: 4.768647717568196e-06
Position 4829: 1.2339702893604651e-06
Position 4816: 1.0565800480699181e-06
Position 5168: 9.87759988122753e-07
Position 4352: 8.435391393318707e-07
Position 2846: 7.998552233391547e-07
Position 4606: 7.960270950914923e-07
Position 4499: 7.696966165532875e-07
Position 4732: 6.496883373905376e-07
Position 4745: 5.3909077872171e-07
Position 4357: 5.109846150470745e-07
Position 2725: 4.0731105302920693e-07
Position 4573: 3.8198176355543966e-07
Position 335: 3.207309106795282e-07
Position 4628: 2.9254394664111243e-07
Position 396: 2.2400106822742165e-07
Position 2412: 1.6394230098019106e-07
Position 2474: 1.4934501126113619e-07
Position 4530: 1.393473650687396e-07
Position 2435: 1.376095046166835e-07
Position 12: 1.3022264328163463e-07
Position 1869: 1.0251019211959955e-07
Position 5023: 7.422281895918727e-08
Position 2802: 6.29607934554831e-08
Position 1758: 6.110773585656911e-08
Position 1942: 2.5206376338692227e-08
Position 1623: 2.3662151196774478e-08
Position 360: 1.401115432468324e-08
Position 23: 1.3038446743004183e-08
Position 1986: 5.723217521147498e-09
Position 352: 3.935702781221806e-09
Position 365: 2.0063223505981265e-09
Position 867: 5.660038302858737e-10
Position 1800: 1.7248658173018787e-10
Position 391: 1.0903980018864891e-10
