Gene = THG1L
index = 1397
Annotated 5SS: [ 435 1848 3549 4738 6798]
Annotated 3SS: [1670 3378 4648 6689 8123]
SMsplice 5SS: [ 435 1848 3378 3549 4738 6798]
SMsplice 3SS: [1670 3302 3473 4648 6689 8123]
top_k =  1000
Partition function (log Z): -0.5850491678780165

Sorted 5' Splice Sites (High to Low Probability):
Position 3549: 0.9500474833895142
Position 1848: 0.9360805241030175
Position 4738: 0.8752700923915891
Position 3378: 0.8708686656951964
Position 6798: 0.71251101496225
Position 435: 0.7025542234787192
Position 7538: 0.44883822367023457
Position 5656: 0.13399049681667843
Position 351: 0.10783302566983247
Position 538: 0.07582165548434568
Position 8307: 0.0690719039102181
Position 86: 0.06648692418994617
Position 2540: 0.06581715082377952
Position 5726: 0.04111824842377591
Position 6114: 0.038756079446651784
Position 5926: 0.0376938269174504
Position 5879: 0.03515112382514886
Position 130: 0.031085430717732777
Position 4565: 0.02958337973204446
Position 1419: 0.029410128594144446
Position 3604: 0.024439704857152
Position 3361: 0.022573723660081965
Position 9326: 0.022263711956075398
Position 6520: 0.011898427869415864
Position 6064: 0.0108441365289322
Position 2594: 0.009113744201917849
Position 1779: 0.00868236767342837
Position 9342: 0.007701160379650722
Position 8390: 0.0076039542132396234
Position 3220: 0.007504958056237748
Position 7857: 0.006411659012727161
Position 355: 0.0053387638931643375
Position 6306: 0.005154326465607131
Position 7216: 0.00472004112364846
Position 9649: 0.004190607926822697
Position 309: 0.004108456532885329
Position 5196: 0.0038411079985512945
Position 5019: 0.003505561111056507
Position 6883: 0.003502225114211155
Position 813: 0.0028530972492120847
Position 1797: 0.002706283390143304
Position 36: 0.002614740755033579
Position 557: 0.002601554913295236
Position 262: 0.002372479529586251
Position 8301: 0.0023644650074599667
Position 5602: 0.0023596710148667548
Position 3977: 0.00233295462924162
Position 1371: 0.00227009101801099
Position 1736: 0.002264896125824571
Position 546: 0.002242687703243484
Position 3573: 0.0021085825789366004
Position 5029: 0.002094135770566714
Position 1534: 0.00207036662496362
Position 7503: 0.0018624813748062152
Position 3496: 0.001850621150119645
Position 8043: 0.0017993411993326657
Position 4784: 0.0016591078235654035
Position 182: 0.0014673463160939837
Position 5721: 0.0014218774432255997
Position 529: 0.0014204130170092316
Position 6611: 0.0013979968180292972
Position 403: 0.0013562588814119382
Position 4021: 0.0012886577221681058
Position 6497: 0.0012639293324596883
Position 4405: 0.0012546964731154995
Position 1201: 0.0011606157132937108
Position 2569: 0.0011358350222271509
Position 4904: 0.0011045019467207883
Position 4382: 0.000973876863934496
Position 1194: 0.0009252292326327807
Position 6145: 0.0008886603191865445
Position 268: 0.0008621405808267778
Position 5560: 0.0008245647699040878
Position 246: 0.0007917717167471425
Position 680: 0.0007881879818251315
Position 7531: 0.0007802336706406828
Position 1790: 0.0007197380418073756
Position 505: 0.0007104958321005063
Position 6614: 0.0006923718364112823
Position 2321: 0.0005772036826311969
Position 9260: 0.0005568858572124798
Position 1671: 0.000488790339035312
Position 2717: 0.0004643789353726945
Position 2262: 0.00042389583347423416
Position 685: 0.00040912072448308817
Position 5901: 0.00038038493399225945
Position 6320: 0.00037414550061677404
Position 6271: 0.0003712359801210118
Position 6228: 0.00033288870230253757
Position 1456: 0.0003053204389756705
Position 4504: 0.0003044563149265083
Position 1544: 0.00029989797574488195
Position 4500: 0.00028418393727993674
Position 626: 0.0002488636893192671
Position 6764: 0.00024606076044319934
Position 2147: 0.00024531556756719915
Position 257: 0.0002370463732149181
Position 2127: 0.00023279169120279488
Position 1228: 0.00023200271751415958
Position 6829: 0.00021304031937173759
Position 3868: 0.0002098749812007135
Position 4777: 0.00019206805469155065
Position 1771: 0.00018764237760309218
Position 239: 0.0001746831618491191
Position 2481: 0.00017239091964878672
Position 1747: 0.00016617960740711446
Position 620: 0.00016109699889583454
Position 7042: 0.00015542800248291778
Position 4245: 0.0001551878427478505
Position 6310: 0.00014830372803566923
Position 5642: 0.00014751259317678447
Position 1973: 0.0001437457124554332
Position 3576: 0.0001291284334149408
Position 5970: 0.00011651260685666615
Position 4249: 0.00011523032364061316
Position 5863: 0.00010303760251684894
Position 2978: 0.00010270712924206395
Position 1182: 0.0001026114545396509
Position 345: 9.555760185120315e-05
Position 1809: 9.167296949000135e-05
Position 4515: 9.046457522619878e-05
Position 7055: 8.728837819257121e-05
Position 2461: 8.483082259656262e-05
Position 5341: 7.681257120174662e-05
Position 3700: 7.337854369604934e-05
Position 1830: 7.119802064090505e-05
Position 3670: 6.796807654930837e-05
Position 799: 6.570256703968824e-05
Position 4577: 6.039023645344533e-05
Position 4426: 5.909566935205979e-05
Position 3133: 5.8978404743707866e-05
Position 699: 5.883688497554607e-05
Position 807: 5.8774653248778276e-05
Position 1156: 4.8685884276474356e-05
Position 3463: 4.8018086540426274e-05
Position 723: 4.765947287108442e-05
Position 1967: 4.471714435705786e-05
Position 5701: 4.322805870186667e-05
Position 2247: 3.779355907213746e-05
Position 79: 3.5953991426775786e-05
Position 842: 3.5691757336365306e-05
Position 2175: 3.313659167738097e-05
Position 1322: 3.2393309918743934e-05
Position 3943: 3.11605549886127e-05
Position 2024: 3.078620868949936e-05
Position 3947: 2.872759591293763e-05
Position 2518: 2.7603966643974256e-05
Position 2673: 2.6514939053114345e-05
Position 1956: 2.5114800247278986e-05
Position 4520: 2.438722281687028e-05
Position 3658: 2.364832527878615e-05
Position 3723: 2.1897914469859073e-05
Position 3332: 2.092415805888025e-05
Position 400: 1.9299764427837137e-05
Position 1129: 1.9011033424860957e-05
Position 962: 1.5327781688372242e-05
Position 406: 1.378630937801974e-05
Position 643: 1.208169437566529e-05
Position 3912: 1.1903438099439795e-05
Position 651: 1.1645865942153391e-05
Position 5180: 1.1538535091235452e-05
Position 3836: 1.0674820886933318e-05
Position 860: 9.800679028510743e-06
Position 4454: 9.17729484435931e-06
Position 4004: 8.643623847703397e-06
Position 3606: 8.192488638434716e-06
Position 523: 7.444189589779968e-06
Position 3382: 6.680097877942604e-06
Position 1557: 6.667629906710246e-06
Position 4417: 6.584883948099301e-06
Position 775: 6.115338679499303e-06
Position 3922: 6.114347742122763e-06
Position 3693: 5.190851537647028e-06
Position 3933: 5.050448310720175e-06
Position 672: 4.798914549626696e-06
Position 590: 4.478474590423427e-06
Position 3303: 4.325172438973808e-06
Position 5333: 3.892516057817708e-06
Position 4102: 3.774019196287454e-06
Position 3494: 3.554489181589699e-06
Position 4294: 3.5357440252991367e-06
Position 4118: 3.3449286771447436e-06
Position 3888: 3.1842759381739627e-06
Position 3314: 3.0139563160981857e-06
Position 1996: 1.791142314370946e-06
Position 2915: 1.6675247241320768e-06
Position 1950: 8.516904250007672e-07
Position 2071: 6.506271366545226e-07
Position 4649: 2.021411142735338e-07
Position 4714: 1.450557034504808e-07
Position 4843: 1.270946252577788e-07
Position 237: 1.1894513273198464e-07
Position 716: 7.795642362568696e-08
Position 5907: 4.513952550899008e-08
Position 4615: 1.5317588947616273e-08
Position 713: 8.76688215260546e-09
Position 826: 7.16832419382854e-09
Position 457: 2.514966548522011e-09
Position 603: 4.6780818912032916e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 3473: 0.9733219803200033
Position 4648: 0.8732159369182957
Position 3302: 0.8404139247053949
Position 1670: 0.7179092595291647
Position 8123: 0.7043259408615208
Position 6689: 0.6924857362424166
Position 7384: 0.20288194148157931
Position 7337: 0.1361791840680373
Position 10176: 0.11459311559893466
Position 5549: 0.11435442293821135
Position 1722: 0.10802166455325646
Position 1709: 0.09906905891660778
Position 5811: 0.06328324950920067
Position 3275: 0.05657673988660533
Position 9195: 0.046519925048759375
Position 5787: 0.0420475735031076
Position 2318: 0.03988719588618251
Position 7508: 0.03661669145246316
Position 10060: 0.03573025726277631
Position 5459: 0.033727563276779525
Position 2344: 0.03300669627559774
Position 7470: 0.03204676003746875
Position 7424: 0.031985053002237
Position 9456: 0.02967456421919259
Position 6045: 0.028100524816223816
Position 6471: 0.02706615703684139
Position 8473: 0.025407580114329805
Position 305: 0.023476920511889904
Position 7652: 0.022061014904679443
Position 6610: 0.019855874859375688
Position 7648: 0.01838314067116281
Position 4507: 0.018069384918197956
Position 5594: 0.016704597379892633
Position 1404: 0.016515424669035775
Position 7530: 0.01473782098760751
Position 4319: 0.01351615553481934
Position 4836: 0.012794254836910055
Position 5559: 0.012377777575434231
Position 8683: 0.012046082189068948
Position 1743: 0.011951132829514823
Position 8746: 0.011918033186897846
Position 8470: 0.009808376419498796
Position 7046: 0.00741360285260527
Position 7605: 0.007340807529031309
Position 242: 0.00642822277533794
Position 4458: 0.005828551011022371
Position 8537: 0.0053703258391384085
Position 1631: 0.004992347217651694
Position 6705: 0.004479359288765614
Position 4675: 0.004041167674839325
Position 4955: 0.003994122032789836
Position 3077: 0.0034586985252510797
Position 8514: 0.00341700487875021
Position 9473: 0.003331034472719086
Position 8795: 0.0030897667320990995
Position 1495: 0.0029623234802399418
Position 3785: 0.0028475009951462846
