Gene = C4BPB
index = 211
Annotated 5SS: [ 105  748 1640 2979 7774 9423]
Annotated 3SS: [  639  1465  2801  7679  9307 10946]
SMsplice 5SS: [ 105  748 1640 9423]
SMsplice 3SS: [  639  1465  9307 10958]
top_k =  1000
Partition function (log Z): -5.03660604325609

Sorted 5' Splice Sites (High to Low Probability):
Position 748: 0.8567260693955991
Position 105: 0.7838129310343587
Position 1640: 0.7154519109401115
Position 9423: 0.444846305873207
Position 2979: 0.42125420433327987
Position 2864: 0.3258843650809416
Position 7774: 0.24485323708109966
Position 1573: 0.22766493928211567
Position 110: 0.14919797752410313
Position 520: 0.12935915468462775
Position 554: 0.10405345122493082
Position 2428: 0.08814651247151832
Position 2083: 0.0848612511407196
Position 6632: 0.07770091343984294
Position 6970: 0.07489897657109051
Position 10582: 0.03214530622305895
Position 317: 0.0193676593001714
Position 7591: 0.015855823086998976
Position 752: 0.014792157030213377
Position 7558: 0.013524128657793113
Position 10588: 0.01245309902381438
Position 3414: 0.011664519864128416
Position 8687: 0.011520827914000444
Position 190: 0.009844112654662672
Position 382: 0.0035843153054124265
Position 7154: 0.0033164814312265003
Position 9409: 0.0029487377029767687
Position 3401: 0.0027177231973868486
Position 703: 0.002332427315575983
Position 2657: 0.0020790992913303024
Position 1199: 0.002065988170392321
Position 53: 0.0017946770153704115
Position 1719: 0.0017277692231401072
Position 2736: 0.0014784504634058322
Position 342: 0.0013046767490260116
Position 1522: 0.0012106920672192438
Position 6949: 0.0011858412469195364
Position 1825: 0.001112286954508639
Position 168: 0.0009935121977789584
Position 7082: 0.0009496388880889366
Position 49: 0.0009300869559376852
Position 6765: 0.0008138765454697024
Position 9308: 0.0007920835601491293
Position 7969: 0.0007783046965485405
Position 7199: 0.0006263363648895959
Position 285: 0.0005839498107691897
Position 945: 0.0005220637152232825
Position 701: 0.0004017782583821405
Position 2213: 0.0003798500770353621
Position 2621: 0.00036350584770368754
Position 595: 0.00035097418538238484
Position 1215: 0.00030745048810693325
Position 1836: 0.0002695833798645793
Position 1657: 0.0002191262137359504
Position 1553: 0.00021702634455091744
Position 1644: 0.00021217298628324456
Position 2534: 0.0001978039714777614
Position 2059: 0.00015892233037296407
Position 800: 0.00015631050943916698
Position 1057: 0.0001560664260750297
Position 720: 0.0001432973355560466
Position 311: 0.00013232321159626007
Position 640: 0.00011647255705092648
Position 1300: 0.00010662625641837345
Position 1021: 8.771911553026997e-05
Position 3235: 7.668875695685343e-05
Position 3405: 7.55911697401128e-05
Position 5085: 6.541389700884218e-05
Position 2194: 6.378145634570861e-05
Position 2976: 6.28489979778812e-05
Position 653: 4.981163498463995e-05
Position 587: 3.8766073681108016e-05
Position 787: 3.422522510451447e-05
Position 915: 3.4150601181644034e-05
Position 346: 3.379907264901431e-05
Position 277: 3.181013128138145e-05
Position 463: 2.8756538985007457e-05
Position 504: 2.612687045936943e-05
