Gene = CARD19
index = 278
Annotated 5SS: [  135 11599 14504 15721 16072]
Annotated 3SS: [11455 14349 15660 15999 16773]
SMsplice 5SS: [  135 11610 14504 16072]
SMsplice 3SS: [11455 14349 15999 16773]
top_k =  1000
Partition function (log Z): 0.5616126507539636

Sorted 5' Splice Sites (High to Low Probability):
Position 11610: 0.9335872163751101
Position 16072: 0.8272074883797746
Position 14504: 0.82630879249195
Position 135: 0.7205262670089164
Position 901: 0.6737387703165856
Position 3624: 0.38960715355608355
Position 380: 0.2363292766547879
Position 3566: 0.22152291716605227
Position 3244: 0.21302978722586102
Position 4830: 0.21039902510002176
Position 5365: 0.19898189788214904
Position 12895: 0.19804867882464447
Position 8254: 0.1971250292050034
Position 15871: 0.16842190620882724
Position 12875: 0.1637492012956647
Position 9190: 0.1578400310162573
Position 14417: 0.13498328383283478
Position 7023: 0.12411752725693549
Position 15343: 0.08094702745154056
Position 8197: 0.07972660346388782
Position 12152: 0.07962644635337104
Position 15304: 0.07843702684422905
Position 14197: 0.06665223822282816
Position 11599: 0.0638207702046056
Position 9341: 0.0579427327493281
Position 305: 0.054061308494581704
Position 4527: 0.05182637549732175
Position 14951: 0.0483518699361107
Position 2149: 0.0333351048491156
Position 12334: 0.03311646352381197
Position 6475: 0.031963121232101946
Position 15721: 0.031845497125013125
Position 12304: 0.031711285270445096
Position 16537: 0.03167974464936332
Position 12898: 0.024704811346398212
Position 12309: 0.020784694449350865
Position 2103: 0.02061833349205225
Position 2583: 0.019549004106921633
Position 13162: 0.016449311430999737
Position 603: 0.016251314988667345
Position 12903: 0.015277713364424239
Position 746: 0.014247880701448046
Position 1884: 0.013206688775969762
Position 15429: 0.012978953183659575
Position 2546: 0.012848205736201582
Position 12915: 0.012358557780666428
Position 279: 0.012107324203845837
Position 9391: 0.010874036321688525
Position 15535: 0.009758560463044066
Position 14235: 0.00905094036385224
Position 3729: 0.0072040338063059746
Position 12640: 0.006877508063447505
Position 14991: 0.006679629638267858
Position 118: 0.005778952734077897
Position 13171: 0.005167550609071264
Position 637: 0.004584660629239334
Position 16237: 0.0037882331331870584
Position 15373: 0.0034703865193132346
Position 13135: 0.00318649387799338
Position 5221: 0.00311779985149321
Position 1373: 0.0027287412185962963
Position 8575: 0.0025776052735052525
Position 12773: 0.0022158442124891238
Position 146: 0.002006225196962936
Position 12670: 0.0019223760214188692
Position 11619: 0.0017585493010148217
