Gene = FRRS1L
index = 567
Annotated 5SS: [  391 17656 20241 25949]
Annotated 3SS: [17570 20101 25701 29663]
SMsplice 5SS: [  391 12297 15330 16590 17672 20241]
SMsplice 3SS: [12149 15212 16430 17570 20101 29663]
top_k =  1000
Partition function (log Z): -13.263290812785547

Sorted 5' Splice Sites (High to Low Probability):
Position 391: 0.9439589038616274
Position 12297: 0.7444227859813275
Position 15330: 0.7380343748614848
Position 20241: 0.6175133846854285
Position 16590: 0.5892879117057181
Position 3467: 0.5632034859961133
Position 17672: 0.4742856274733584
Position 17656: 0.3419171274529387
Position 18116: 0.24786643152149054
Position 3094: 0.24512941242196096
Position 18849: 0.20598557640834653
Position 29728: 0.15803758695615197
Position 17394: 0.1577757303395308
Position 4534: 0.15028727518949028
Position 8361: 0.1322113163746854
Position 2447: 0.13214941619082446
Position 12292: 0.0930749257617658
Position 17281: 0.07024184566034927
Position 2358: 0.06926975409985119
Position 1335: 0.054413850347344396
Position 6133: 0.048507283406340695
Position 253: 0.04838618775662173
Position 16711: 0.04543524086818036
Position 12281: 0.03765421487883713
Position 22033: 0.0355498620162093
Position 21368: 0.030358294037048476
Position 12895: 0.02270855359682098
Position 12591: 0.02114976728504537
Position 3076: 0.02070931399518998
Position 23924: 0.01616240332705419
Position 7752: 0.01245436037357176
Position 1596: 0.011702577988571926
Position 628: 0.007407427420810684
Position 18031: 0.006907920266045121
Position 25949: 0.006653240284954119
Position 17342: 0.00629286087864397
Position 2452: 0.005717743973904452
Position 1137: 0.0035212233274688805
Position 2405: 0.003107321888069592
Position 2212: 0.0031046682218046754
Position 681: 0.00272786223247521
Position 3319: 0.0027128277052905696
Position 1094: 0.0024097234254011383
Position 16492: 0.0023592628426660207
Position 1502: 0.002334204250515979
Position 2198: 0.002301905079085746
Position 3983: 0.002289517127130072
Position 18458: 0.0020346435742062408
Position 4229: 0.0015936686019893899
Position 2647: 0.0009623179295750448
Position 1091: 0.0007045907478935001
Position 4045: 0.0006956301579241454
Position 183: 0.0005205293697827491
Position 3161: 0.0005180038384092399
Position 143: 0.0005118715246066804
Position 1417: 0.00048008215823829405
Position 17712: 0.00040754744304337853
Position 2278: 0.00018550919768696347
Position 12710: 0.00018544654946494243
Position 12505: 0.000175907745506973
Position 1349: 0.00011801651363917629
Position 380: 9.886532432629956e-05
Position 1223: 8.008899579404203e-05
Position 436: 7.462250269826232e-05
Position 1140: 6.876719693861902e-05
Position 3503: 6.502645266697133e-05
Position 1610: 6.453616882429647e-05
Position 28: 6.0358294542255576e-05
Position 1190: 5.056679268863778e-05
Position 2663: 4.742555841423119e-05
Position 3700: 2.7019968679258358e-05
Position 414: 2.5965316911111865e-05
Position 1705: 2.537180821411479e-05
Position 1712: 2.091327674167118e-05
Position 318: 1.8199696025399466e-05
Position 2163: 1.77386629383409e-05
Position 2862: 1.5339899357203964e-05
Position 3786: 1.3233101986479576e-05
Position 3624: 1.1175658481346625e-05
Position 3453: 1.0723129190947713e-05
Position 1971: 7.308660511719993e-06
Position 3374: 7.008665021227842e-06
Position 2216: 5.749596984499775e-06
Position 1428: 5.216125284245561e-06
Position 1918: 3.804373173964759e-06
Position 502: 3.4908712100959827e-06
Position 1365: 3.360395450537119e-06
Position 1199: 3.049699245284793e-06
Position 1834: 3.0317729994270278e-06
Position 3548: 2.8826231140718986e-06
Position 1796: 2.263374520728963e-06
Position 658: 2.015614822840252e-06
Position 685: 1.4893361565579221e-06
Position 359: 1.4003793099682529e-06
Position 490: 1.2785285543404439e-06
Position 2805: 8.890531380099548e-07
Position 742: 7.791167467580055e-07
Position 821: 7.080045793221753e-07
Position 649: 5.063872365851282e-07
Position 1960: 3.8190237525013077e-07
Position 1053: 3.3717068225697845e-07
Position 1030: 3.032067187373202e-07
Position 985: 2.1497602570964748e-07
Position 64: 2.0493906142801108e-07
Position 1233: 1.3418136649092048e-07
Position 909: 1.1859792534849043e-07
Position 1235: 9.654895800922855e-08
Position 1242: 9.538854488136298e-08
Position 1374: 9.334514226260318e-08
Position 977: 8.091048707643438e-08
Position 747: 7.130344555351234e-08
Position 844: 7.060076307933334e-08
Position 1034: 5.584785514102059e-08
Position 84: 5.1258541084042184e-08
Position 1372: 4.5808859294668344e-08
Position 1253: 4.468129035220788e-08
Position 1302: 2.40120667027905e-08
Position 1000: 2.3929735188040763e-08
Position 1395: 1.839517448042297e-08
Position 840: 1.438103754581804e-08
Position 920: 7.228881433652194e-09
Position 863: 2.62750917668709e-09
Position 58: 2.309676345088548e-09
Position 191: 1.6708071956245569e-09
Position 506: 1.1205495557299838e-09
Position 1197: 9.83675827862236e-10
Position 671: 8.351207575213895e-10
Position 550: 5.324685943977338e-10
Position 692: 1.790471622259854e-15
Position 707: 1.2539578121667183e-15
