Gene = LNP1
index = 788
Annotated 5SS: [ 1247 28693 50757]
Annotated 3SS: [28503 50525 54583]
SMsplice 5SS: [ 1247 28693 34235 50256 50613]
SMsplice 3SS: [28503 34047 50074 50525 54583]
top_k =  1000
Partition function (log Z): -36.169098871746755

Sorted 5' Splice Sites (High to Low Probability):
Position 1247: 0.47217468971591336
Position 970: 0.22174650845218283
Position 20: 0.10169680391159017
Position 295: 0.09208961957376473
Position 989: 0.07858797568480425
Position 7882: 0.06720635170740344
Position 7050: 0.050668410313140115
Position 3204: 0.025374981301462977
Position 548: 0.021987172273389435
Position 457: 0.018913193106658996
Position 6447: 0.0155162261285861
Position 10196: 0.014565551759012547
Position 1054: 0.012487896215280537
Position 3426: 0.009359934423743433
Position 1883: 0.009153380306530018
Position 3346: 0.007455265444617183
Position 11500: 0.006439247968226337
Position 5974: 0.0057086105424330085
Position 6526: 0.005536317698648301
Position 14: 0.0054390767990960915
Position 11447: 0.005381957670609978
Position 619: 0.003712707457782084
Position 266: 0.002689799273108834
Position 1769: 0.0024625472146904805
Position 7642: 0.002349624533086421
Position 707: 0.0019397738189988072
Position 682: 0.0014836833441257125
Position 179: 0.0012533218809231497
Position 1992: 0.0012233893924434185
Position 6762: 0.001094968126677003
Position 18: 0.0010448190497138608
Position 108: 0.0009613646626814173
Position 1584: 0.0008923063251720607
Position 1062: 0.0008464929348129505
Position 24: 0.0008432342587390118
Position 292: 0.0008385057777481462
Position 600: 0.0008155577201466774
Position 2482: 0.000753919688233829
Position 689: 0.0007264365997297568
Position 1965: 0.0007150625172851366
Position 872: 0.0006029125847715892
Position 70: 0.0005672405749199701
Position 393: 0.000552321125423636
Position 703: 0.0005394544791219589
Position 455: 0.0004433459309536739
Position 331: 0.0004375501944331986
Position 402: 0.00034324406335485536
Position 2089: 0.00031572020706801537
Position 822: 0.00028566073399320473
Position 1444: 0.00028175995046201006
Position 6237: 0.00026688537064237374
Position 269: 0.00020783083060348036
Position 6078: 0.0001975758297050174
Position 2623: 0.00012384010909710487
Position 581: 9.916542760094737e-05
Position 1261: 8.754936382729155e-05
Position 2258: 8.054817960263215e-05
Position 646: 7.12787334821329e-05
Position 1231: 5.2002622197053334e-05
Position 1604: 4.7768136437121164e-05
Position 1129: 4.432289281945155e-05
Position 1040: 3.5487376593023206e-05
Position 763: 1.0048746366008828e-05
Position 630: 8.052161417282181e-06
Position 881: 6.729605693538166e-06
Position 722: 6.467186917395543e-06
Position 1027: 5.0331463464826355e-06
Position 92: 4.652989385889689e-06
Position 306: 3.534547510346426e-06
Position 101: 3.425146671570816e-06
Position 1108: 2.2253186723724875e-06
Position 1695: 1.8027329599415825e-06
Position 113: 1.3445097116933545e-06
Position 6069: 1.025291585393315e-06
Position 784: 9.09917543434416e-07
Position 2216: 8.407842608218276e-07
Position 355: 7.14965420491518e-07
Position 833: 6.992956320747044e-07
Position 366: 5.826201209690971e-07
Position 531: 5.435793891577306e-07
Position 728: 5.128881819131337e-07
Position 323: 4.6015794962660934e-07
Position 3020: 4.4461985329388985e-07
Position 214: 4.4031994949966107e-07
Position 1501: 3.844502820928063e-07
Position 2935: 3.771664832392261e-07
Position 387: 3.567214785078602e-07
Position 757: 3.026110312787981e-07
Position 627: 2.442364933035682e-07
Position 856: 2.2887032936238993e-07
Position 3011: 2.0876205464953402e-07
Position 2737: 2.0262896184059163e-07
Position 110: 1.9191973708270352e-07
Position 2970: 1.7884458898617044e-07
Position 2297: 1.4611064876910501e-07
Position 2031: 8.206893212384359e-08
Position 2097: 6.88465683635052e-08
Position 1284: 6.040224991274631e-08
Position 255: 4.2244685079816134e-08
Position 1888: 3.991872374333924e-08
Position 1779: 3.9404482374097145e-08
Position 636: 3.693178090415899e-08
Position 30: 1.953450888192989e-08
Position 839: 1.51270256427555e-08
Position 975: 1.3472644889588116e-08
Position 825: 6.4700512101946304e-09
Position 415: 4.186047328897655e-10
Position 347: 2.5199654013179267e-11
Position 98: 1.6062917954249947e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 11374: 0.21563112312284508
Position 3092: 0.102986494380849
Position 11809: 0.09255171138136051
Position 2172: 0.08898411476600639
Position 7736: 0.0659488171133351
Position 10089: 0.06263450293394307
Position 16045: 0.05682103371677292
Position 6899: 0.04852490070938537
Position 16887: 0.04606870088224354
Position 6933: 0.03795625653969498
Position 12958: 0.033569016415471886
Position 1113: 0.03088949057476066
Position 11525: 0.028095383324168333
Position 6321: 0.02737512809794519
Position 1768: 0.02590194756798444
Position 6874: 0.0216501726361225
Position 5881: 0.02149473372340353
Position 1436: 0.019680279904136903
Position 6446: 0.019334046651713337
Position 10841: 0.01894625447337374
Position 4575: 0.01475818560952208
Position 6340: 0.0133645858893758
Position 6201: 0.012664812862192535
Position 7585: 0.012552681311766465
Position 1069: 0.011185021133167002
Position 7588: 0.010621429923418994
Position 2833: 0.009834961125487303
Position 5361: 0.009032579256056895
Position 2316: 0.008317083142056442
Position 4594: 0.00812458458669623
Position 5386: 0.008058109604404676
Position 6030: 0.007815088165142581
Position 6722: 0.006369459912413635
Position 1839: 0.006258155798574906
Position 129: 0.0057615814678295555
Position 6830: 0.004992473220164774
Position 1475: 0.004887241829792447
Position 3492: 0.00437888018278688
Position 9354: 0.004265000204855278
Position 939: 0.004198559392120278
Position 4649: 0.0034210924077947976
Position 6008: 0.00339802041618874
Position 7762: 0.0027891433162333303
Position 3620: 0.002170876328672666
Position 10558: 0.0021536896665062606
Position 2291: 0.0019027892666472377
Position 10062: 0.0017747592923533914
Position 2224: 0.0017137932924726144
Position 3137: 0.0016816132419347474
Position 9961: 0.0016467370613961203
Position 1664: 0.0012696293643641194
Position 6041: 0.00126493780104264
Position 969: 0.0011409850796186072
Position 3157: 0.0010896328807991518
Position 1129: 0.0010300448692115007
Position 3644: 0.0009634875951336026
Position 6975: 0.0009629888029430235
Position 4106: 0.0009107793550446126
Position 4448: 0.0008983866898228946
Position 1132: 0.0008364678634491065
Position 1168: 0.0006907838772928632
Position 599: 0.0006675347742909693
Position 6650: 0.0006439614675472542
Position 2131: 0.000575436977031008
Position 2151: 0.0005201900660316335
Position 1985: 0.0004981324903005472
Position 2772: 0.0004803326323538216
Position 5920: 0.00046887318946403926
Position 3473: 0.0004038047513771936
Position 1891: 0.0003936550227078783
Position 2714: 0.0003889583019700469
Position 6643: 0.00038035469210119413
Position 2723: 0.00037926579505822964
Position 1002: 0.00034428314742741015
Position 6376: 0.0003162664025471361
Position 1348: 0.00029894891528087176
