Gene = BASP1
index = 126
Annotated 5SS: [75]
Annotated 3SS: [58384]
SMsplice 5SS: [   75  5644 11548 17553 25039 52779]
SMsplice 3SS: [ 5400 11406 17451 24951 52669 58384]
top_k =  1000
Partition function (log Z): -24.431334328612195

Sorted 5' Splice Sites (High to Low Probability):
Position 11548: 0.9996856552812109
Position 25039: 0.942828004351571
Position 17553: 0.8528235886080527
Position 75: 0.702535456285166
Position 8172: 0.5670613023530862
Position 5644: 0.5571203575628253
Position 11212: 0.44976287625081857
Position 31713: 0.4421315167482346
Position 5486: 0.39771225708260416
Position 32426: 0.24262532276407772
Position 9631: 0.15172774017112758
Position 988: 0.1451044395031566
Position 10015: 0.0998325325790194
Position 273: 0.08803324656670562
Position 4744: 0.0827222850393237
Position 11301: 0.052606274293234584
Position 3069: 0.04321486528419596
Position 2109: 0.030930393958632115
Position 1230: 0.025489916799933045
Position 7377: 0.024934505214815984
Position 128: 0.02011171775471941
Position 4127: 0.019851699213970727
Position 7398: 0.01911952739405651
Position 25993: 0.01895448209244468
Position 27126: 0.018494412409463295
Position 1247: 0.01283356196602769
Position 431: 0.012824154680749267
Position 5672: 0.011523887177300223
Position 3186: 0.01110091881069895
Position 10020: 0.009952712531006644
Position 6771: 0.009767816540135478
Position 3629: 0.008753221645496247
Position 503: 0.00693228846324495
Position 3610: 0.006503438648016654
Position 6424: 0.005756528550084665
Position 10972: 0.0050152884041528515
Position 26040: 0.00453530946342403
Position 3551: 0.00426620274365975
Position 247: 0.003994984791736732
Position 5008: 0.0037732529774210394
Position 1251: 0.003768072740188201
Position 1452: 0.00372174802611257
Position 3621: 0.0035972412658732533
Position 117: 0.0035726428043121802
Position 3974: 0.0033416590036779675
Position 6711: 0.0031176809533961947
Position 7612: 0.0030012129183223544
Position 2090: 0.00282485925992553
Position 3159: 0.0027504397894601114
Position 6491: 0.002694415202147116
Position 212: 0.0023545383358879743
Position 1179: 0.0022695631781092396
Position 6668: 0.0019921726773027377
Position 3263: 0.0019656990178603803
Position 86: 0.001753761015173151
Position 285: 0.0016866387781539363
Position 3051: 0.0014744352581245084
Position 11952: 0.0013412305105974347
Position 3479: 0.001315626438641589
Position 135: 0.0012562687205136156
Position 1147: 0.001241325184780407
Position 1333: 0.0012222473174166159
Position 2661: 0.0011917025865049876
Position 3801: 0.0011610563077687668
Position 2732: 0.0010901274724340528
Position 8039: 0.0010079327695812906
Position 277: 0.000952324740629035
Position 13698: 0.0009098093786485228
Position 2805: 0.0008848182562961364
Position 6767: 0.0008492924968361724
Position 7495: 0.0008085246279481757
Position 4257: 0.0007993237312763747
Position 478: 0.0007334279139578067
Position 7815: 0.0006633364240294569
Position 2690: 0.00063102193090185
Position 3867: 0.0005776110477559103
Position 4953: 0.0005130648452861334
Position 4616: 0.0005050786128709612
Position 1458: 0.0005031238937168241
Position 95: 0.0004814931983410105
Position 4174: 0.0004424056241546295
Position 6381: 0.0004336534616000828
