Gene = PARS2
index = 1000
Annotated 5SS: [54]
Annotated 3SS: [5323]
SMsplice 5SS: [ 395 5421 5581 6896]
SMsplice 3SS: [5323 5493 6813 6984]
top_k =  1000
Partition function (log Z): -6.221164403375532

Sorted 5' Splice Sites (High to Low Probability):
Position 5581: 0.7053507853816675
Position 6896: 0.6773556425892285
Position 5421: 0.5768970797971351
Position 395: 0.48358741710996256
Position 54: 0.4015650603031366
Position 6716: 0.2132763293606618
Position 5555: 0.18664338321930846
Position 3994: 0.13347277053050866
Position 4932: 0.11136419002059884
Position 5151: 0.09908208937124811
Position 660: 0.06765920124713969
Position 5158: 0.0500278301016496
Position 714: 0.04756610532722043
Position 4070: 0.04565363897415083
Position 7131: 0.044121084031557394
Position 1355: 0.042570048850280325
Position 6697: 0.04065766644150889
Position 1288: 0.025740466224005873
Position 5751: 0.025199520366084836
Position 2650: 0.02146145159303588
Position 383: 0.02116932763712144
Position 3177: 0.019155874010630486
Position 1313: 0.013519380571198697
Position 64: 0.01318404450782878
Position 3145: 0.012967956115383391
Position 6271: 0.0127276221872447
Position 151: 0.012228976244190547
Position 777: 0.01218794095053705
Position 773: 0.009764280070493958
Position 2787: 0.009060482072852186
Position 122: 0.00809324982926653
Position 1403: 0.007504077274285065
Position 4382: 0.007416819579005425
Position 6028: 0.007364292273784501
Position 6494: 0.0071873961308640275
Position 3299: 0.006913683563013804
Position 5436: 0.006517278147558181
Position 58: 0.005281972733908397
Position 5324: 0.005107436761320795
Position 1194: 0.004510674391426676
Position 5635: 0.0037015866989075956
Position 6721: 0.0035888999428372267
Position 571: 0.003332407887376172
Position 3341: 0.003223358444078752
Position 2893: 0.002423595333205644
Position 1464: 0.0013592437319679112
Position 6082: 0.0012414970114314329
Position 5518: 0.0011338174735436022
Position 6574: 0.001094765110822997
Position 681: 0.001030256009766022
Position 6906: 0.0008199098985682763
Position 3194: 0.0007638860965165995
Position 7267: 0.0006768390393695969
Position 149: 0.00037747165403051106
Position 284: 0.0003751427053519046
Position 499: 0.00034766325162170173
