Gene = KNCN
index = 751
Annotated 5SS: [ 151 2023]
Annotated 3SS: [1947 3405]
SMsplice 5SS: [ 151  981 1282 2023]
SMsplice 3SS: [ 829 1212 1974 3405]
top_k =  1000
Partition function (log Z): -0.8580581328705656

Sorted 5' Splice Sites (High to Low Probability):
Position 2023: 0.9451187522205131
Position 1282: 0.7240073333007082
Position 151: 0.7207567528887002
Position 981: 0.5966499057344976
Position 96: 0.24713880537701002
Position 1486: 0.20556995212374807
Position 736: 0.058331825232942926
Position 491: 0.056158739764792166
Position 830: 0.045825742524540386
Position 3224: 0.04249483024575207
Position 2456: 0.03577122757133141
Position 3429: 0.03413510327960656
Position 2801: 0.02425007175556758
Position 1806: 0.011807004150956242
Position 2788: 0.008924553168525019
Position 2478: 0.00737534041750876
Position 1385: 0.0035306583947185815
Position 2618: 0.0030752947224617325
Position 967: 0.002709887620918237
Position 2668: 0.002385454337774856
Position 836: 0.0021160207410374976
Position 279: 0.0018896355487382048
Position 1513: 0.0014722325638942468
Position 194: 0.0012691573964986273
Position 216: 0.0011461934125610816
Position 124: 0.00099543176311455
Position 1348: 0.0006239685868826313
Position 923: 0.0005958884807333101
Position 752: 0.0005878428516168934
Position 3559: 0.0003492548430835745
Position 2936: 0.0003362253665307778
Position 1383: 0.0003257527129887111
Position 3704: 0.00031495760773535525
Position 281: 0.00024551856339302794
Position 1250: 0.0002085676094295533
Position 3680: 0.00020751858986649155
Position 442: 0.0001855909954458344
Position 999: 0.0001374909906106857
Position 3543: 0.00013218432307923836
Position 66: 0.00010864812658333478
Position 918: 0.00010628316142033111
Position 1913: 9.89696179858391e-05
Position 995: 9.501806130335922e-05
Position 1352: 9.015915110835371e-05
Position 1424: 8.079184789825042e-05
Position 1426: 7.98540610290374e-05
Position 921: 7.525741233548704e-05
Position 1422: 7.2787295402468e-05
Position 144: 7.072365976161166e-05
Position 1428: 6.108591151794027e-05
Position 634: 6.084610875526879e-05
Position 1340: 5.817096061293342e-05
Position 2443: 5.720840043245073e-05
Position 1362: 5.542069790069973e-05
Position 242: 5.341762407156945e-05
Position 2293: 4.902698500532011e-05
Position 589: 4.469042246822845e-05
Position 3492: 4.100899933573785e-05
Position 605: 3.9771958664829245e-05
Position 552: 3.890317054577606e-05
Position 2699: 3.4158671259642286e-05
Position 1084: 3.1691530241433916e-05
Position 2337: 3.051761725426147e-05
Position 1420: 2.6164351516370894e-05
Position 895: 1.47695847050815e-05
Position 868: 1.3058095166453007e-05
Position 603: 1.2735725730539445e-05
Position 1342: 8.530888058284417e-06
Position 477: 6.283755552659286e-06
Position 126: 3.133257213881438e-06
Position 1364: 2.5822792185492573e-06
Position 1326: 2.5108253782907793e-06
Position 591: 2.0675079543732255e-06
Position 915: 9.076162292606761e-07
Position 1095: 7.782624051425185e-07
Position 570: 6.494517379106467e-07
Position 211: 3.8775156011677345e-07
Position 439: 1.1179142304686194e-07
Position 51: 1.0219610261367883e-09
Position 376: 4.553963400020874e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 3405: 0.8445476743844507
Position 1212: 0.6629645041122404
Position 829: 0.5630789610038719
Position 1974: 0.3935355858343414
