Gene = GHRL
index = 590
Annotated 5SS: [ 106 2232 2875 3186 6244]
Annotated 3SS: [1495 2737 3068 6134 7052]
SMsplice 5SS: [ 106 3186 6244]
SMsplice 3SS: [3071 6134 7052]
top_k =  1000
Partition function (log Z): -1.589601991153856

Sorted 5' Splice Sites (High to Low Probability):
Position 106: 0.912218813490285
Position 3186: 0.7751894878880082
Position 2232: 0.6855415532074962
Position 6244: 0.6073457916050751
Position 2875: 0.5895086504544739
Position 3975: 0.43375938678894965
Position 358: 0.34238564522155873
Position 1152: 0.26313662201694865
Position 3190: 0.18892089359873437
Position 2641: 0.13590762701476908
Position 389: 0.08338515086402219
Position 133: 0.07625867154823952
Position 4487: 0.07600891294776382
Position 411: 0.06287331378527077
Position 1323: 0.05601691739560683
Position 1359: 0.03589728419616609
Position 1410: 0.03203080055669685
Position 5938: 0.03104951823891457
Position 5920: 0.03091244215513609
Position 4327: 0.027872819450820156
Position 4395: 0.021394094022566326
Position 526: 0.01950624071855942
Position 5950: 0.019174734391809948
Position 4923: 0.018166529572442233
Position 382: 0.01719219217764341
Position 3683: 0.013677953371763312
Position 378: 0.012057214384651408
Position 2534: 0.010760728972965112
Position 4496: 0.009783799771408884
Position 2254: 0.00931448020459359
Position 2596: 0.0056580767773824845
Position 6881: 0.005578164328471663
Position 1883: 0.005575316461846129
Position 1708: 0.004088880349255942
Position 298: 0.003145915068570936
Position 327: 0.003042262850568926
Position 3180: 0.0027649593024642255
Position 3148: 0.00273271793368291
Position 6400: 0.0023692168522192643
Position 4968: 0.0020364737223339748
Position 3229: 0.0019683478945894096
Position 746: 0.001434456239783795
Position 4081: 0.0011888774621911468
Position 149: 0.0009429090626745775
Position 4045: 0.0008700189877209112
Position 2110: 0.0008522431385569613
Position 1435: 0.0007015944629867501
Position 3234: 0.0006006586263122146
Position 1729: 0.000433873544636159
Position 3709: 0.0004123202330105267
Position 1496: 0.000354398620361751
Position 3000: 0.0003158433710396439
Position 1828: 0.0002661410293758307
Position 2270: 0.00024982338655877835
Position 507: 0.0001706633192502888
Position 187: 0.00014264248012059102
Position 4862: 0.0001327953771388314
Position 4464: 8.960450904859697e-05
Position 100: 4.21079505431396e-05
Position 140: 4.174486544656549e-05
Position 386: 4.156581587525871e-05
Position 604: 4.085277554490501e-05
Position 2521: 3.473585005177517e-05
Position 3970: 2.3914817923083577e-05
Position 4026: 1.5966102689386975e-05
Position 676: 1.0352909943444487e-05
Position 110: 4.51756197608343e-06
Position 530: 4.50233348793908e-06
Position 313: 3.0448731844471614e-06
Position 48: 2.4167629635276925e-06
Position 637: 2.198378583563483e-06
Position 163: 1.2256193551230578e-06
Position 79: 8.553094075462011e-07
Position 123: 5.734882580822199e-07
Position 191: 3.614819650261795e-07
Position 51: 1.6559526618566156e-07
