Gene = POT1
index = 1055
Annotated 5SS: [   188   1167  14408  31721  32817  37716  59071  66632  71025  77010
  78110  83040  87175  89009  94703 100728 102768 104730]
Annotated 3SS: [   981  14334  31606  32768  37600  58939  66340  70868  76842  78029
  82982  87017  88802  94566 100638 102675 104623 105906]
SMsplice 5SS: [   188   1167   7997  14408  31721  37280  37716  37993  59071  64853
  71025  77010  78110  87175  89009  94703 100728 102768 104730]
SMsplice 3SS: [   981   7872  14334  31606  37165  37600  37892  58939  64681  70868
  76842  78029  87017  88845  94566 100638 102675 104623 105906]
top_k =  1000
Partition function (log Z): -45.598776297169174

Sorted 5' Splice Sites (High to Low Probability):
Position 14408: 0.9682878566461792
Position 1167: 0.9369825820081004
Position 188: 0.9031106589451426
Position 7997: 0.6825033256460922
Position 1588: 0.5635902487486173
Position 13141: 0.16850080511681853
Position 423: 0.12872810989671143
Position 460: 0.09513630829866525
Position 4170: 0.08443386624049862
Position 126: 0.06619424866725851
Position 1365: 0.0592760350513506
Position 8029: 0.058231873936565
Position 4450: 0.05145739914641844
Position 7918: 0.04916492183678219
Position 763: 0.04800191895682794
Position 10360: 0.04166703902426962
Position 9464: 0.0412420729871576
Position 6546: 0.03523482279145167
Position 21554: 0.03492173159798693
Position 13534: 0.03467114053299961
Position 11908: 0.032157912609858466
Position 14868: 0.02952335807579982
Position 480: 0.028796134968807188
Position 11918: 0.028363994181424206
Position 5558: 0.027135439434700204
Position 5170: 0.022627639896273415
Position 427: 0.02159161940768871
Position 2440: 0.01894119321515685
Position 408: 0.01866958774468432
Position 9492: 0.018375989333809368
Position 19273: 0.017906884753032357
Position 1378: 0.016028506766530348
Position 11429: 0.014901905446911445
Position 8025: 0.014849257312945527
Position 21517: 0.014762439202979556
Position 10525: 0.014049028816867233
Position 5575: 0.01185138206815149
Position 2088: 0.011394628944475904
Position 7389: 0.01000475253564612
Position 182: 0.009635231524223548
Position 2699: 0.009043140108391834
Position 2619: 0.008374204856476325
Position 494: 0.007201865815880163
Position 206: 0.007106037271003052
Position 1255: 0.007082021933462222
Position 1986: 0.006480973335530255
Position 1953: 0.005962314777791611
Position 6982: 0.0053876452149617254
Position 6676: 0.005333697222483596
Position 1787: 0.004883518845763637
Position 3358: 0.004861775397135658
Position 15492: 0.004341079872766044
Position 1099: 0.0038490052771344278
Position 1138: 0.0038127945916799017
Position 3588: 0.0034538473207516543
Position 2183: 0.002817984884915013
Position 1657: 0.0026263076076034376
Position 2818: 0.0026206783314887596
Position 374: 0.0025031802872833206
Position 6179: 0.0022332118132844443
Position 8631: 0.0021040849793192073
Position 529: 0.0018427829518008654
Position 15007: 0.001769183819049199
