Gene = ACBD6
index = 23
Annotated 5SS: [   910   7494  10686  72775  89589 105439 188263]
Annotated 3SS: [  7428  10588  72691  89482 105348 188231 214436]
SMsplice 5SS: [   910   7494   8593  10686  23091  36300  72775  78892  89589 100586
 105439 111337 133663 155793 160978 188263 191441 202752 202967]
SMsplice 3SS: [  7428   8474  10588  22972  36149  72691  78730  89482 100494 105348
 111226 133529 155698 160824 188231 191214 202697 202845 214436]
top_k =  1000
Partition function (log Z): -100.55528274451702

Sorted 5' Splice Sites (High to Low Probability):
Position 10686: 0.9724899053638151
Position 8593: 0.8759728553805758
Position 7494: 0.8097970032817727
Position 910: 0.6384517405861204
Position 16148: 0.4148324469926875
Position 23091: 0.34475070240213607
Position 15004: 0.2976505799737037
Position 1274: 0.2278841602237229
Position 17603: 0.20912514161735873
Position 12794: 0.20839084171491312
Position 900: 0.2031936471814353
Position 3471: 0.1946629752226174
Position 16498: 0.18567140673120314
Position 8239: 0.11556823218266261
Position 8231: 0.11116001972741858
Position 16846: 0.07684038190671923
Position 862: 0.068210858850455
Position 6403: 0.06328306268002715
Position 10915: 0.06095857385284102
Position 11586: 0.05107458059465603
Position 14827: 0.04679587970803071
Position 1528: 0.04098413527668667
Position 14564: 0.04005501703646846
Position 9061: 0.03617508110602588
Position 7522: 0.03362764764444169
Position 7562: 0.03230557241627755
Position 6206: 0.018478654962239903
Position 5607: 0.016155358417834664
Position 15463: 0.015779728947679515
Position 8426: 0.009142954324481528
Position 1903: 0.008905724917883731
Position 7541: 0.008793998392680507
Position 543: 0.0079524011644903
Position 7100: 0.006252626290811349
Position 1265: 0.004102119660167975
Position 14488: 0.0040570667476091124
Position 3107: 0.003573493352819924
Position 1017: 0.0032342214599725815
Position 891: 0.003125759217031284
Position 17764: 0.0030772870077105286
Position 7222: 0.00296494490354285
Position 984: 0.0027824793828349803
Position 769: 0.002397600727545872
Position 4319: 0.002308917232279444
Position 2386: 0.002167719884789619
Position 10672: 0.0017809097467926097
Position 1804: 0.0017657648365608553
Position 3557: 0.0016828169149339773
Position 3042: 0.001680147269854588
Position 462: 0.0014858168565604591
Position 12441: 0.0014758134752745826
Position 4608: 0.0014246223913195154
Position 606: 0.0013063580488693128
Position 11626: 0.001149711152392117
Position 12725: 0.0011054106040020513
Position 12313: 0.0010980247500927257
Position 4222: 0.0010868953113260373
Position 522: 0.0010501323192400745
Position 1614: 0.0009064372963500225
Position 2522: 0.0008553725089130401
Position 1406: 0.0008416237481432251
Position 7239: 0.0008234257488471491
Position 7232: 0.0008106712709973968
Position 14502: 0.0007570613400658876
