Gene = SIGMAR1
index = 1256
Annotated 5SS: [225 552 775]
Annotated 3SS: [ 350  681 1912]
SMsplice 5SS: [225 552 779]
SMsplice 3SS: [ 350  681 1912]
top_k =  1000
Partition function (log Z): -4.834531745567815

Sorted 5' Splice Sites (High to Low Probability):
Position 225: 0.8000709644502898
Position 552: 0.7832058427549234
Position 779: 0.4498994085663867
Position 775: 0.3377287824836653
Position 165: 0.13387264025319515
Position 505: 0.1139434422007481
Position 1782: 0.054296525551545474
Position 439: 0.04091276420328152
Position 757: 0.016062685191940523
Position 1398: 0.015619898010067853
Position 1937: 0.01436065591093008
Position 217: 0.013714168038076662
Position 97: 0.012882520440426265
Position 445: 0.009996528610798906
Position 1068: 0.0076197710485893435
Position 916: 0.005941898791366506
Position 146: 0.005494994336444804
Position 762: 0.005199633781682389
Position 2881: 0.004791137622193009
Position 801: 0.004322325561452237
Position 1777: 0.0038077242719755018
Position 459: 0.002543842821321915
Position 1983: 0.0021284528340996026
Position 1921: 0.0020235507644329282
Position 1614: 0.00164048973789169
Position 10: 0.0015820378523331785
Position 1641: 0.0013304762718979372
Position 1692: 0.000982133946449548
Position 1724: 0.0009812135141326376
Position 2287: 0.0009609923538477205
Position 2822: 0.0007616004903457155
Position 2261: 0.0005369358338107918
Position 1728: 0.0005362985173259571
Position 134: 0.0005323895157821019
Position 1400: 0.0005031378361801723
Position 443: 0.00021616009344831025
Position 1671: 0.00012823776253450858
Position 499: 0.000111597787578768
Position 79: 0.00010388848941334022
Position 449: 8.599208447799678e-05
Position 2395: 8.211441215176134e-05
Position 86: 8.205726801816282e-05
Position 103: 7.831321833086e-05
Position 591: 6.278431278020851e-05
Position 859: 5.754201718604748e-05
Position 556: 5.1279336805317226e-05
Position 1830: 4.858278798535546e-05
Position 509: 4.594942784749683e-05
Position 478: 4.086681505665518e-05
Position 416: 2.154447766858257e-05
Position 279: 2.025303197975751e-05
Position 205: 1.778389651695884e-05
Position 588: 1.4083930844498841e-05
Position 312: 9.617217928230591e-06
Position 792: 2.6274167576995062e-06
Position 1052: 1.468173945936107e-06
Position 822: 1.3558968089401052e-06
Position 805: 7.728944561879727e-07
Position 665: 6.990324580588421e-07
Position 1038: 5.398144933483686e-07
Position 923: 3.235089246411144e-07
Position 1509: 3.057129694000209e-07
Position 1214: 2.687871580353941e-07
Position 1111: 1.619068176840355e-07
Position 1573: 1.5479231253095455e-07
Position 1126: 1.4884045204363898e-07
Position 2353: 1.202911292035995e-07
Position 125: 1.0770356856224663e-07
Position 149: 6.351763618265586e-08
Position 863: 5.133329291481959e-08
Position 378: 3.9041240622017734e-08
Position 884: 2.2534743065869918e-08
Position 620: 1.0777308479649757e-08
Position 54: 7.961075757218874e-09
Position 861: 2.7867037315625936e-09
Position 179: 1.4611487288826155e-09
Position 386: 8.527060404850244e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 350: 0.8938269878008358
Position 681: 0.7640175125263589
Position 1912: 0.37183007485335884
Position 2729: 0.18755701605013753
Position 1018: 0.16065884166837097
Position 1139: 0.04792633009549339
Position 1528: 0.04660495599141356
Position 2566: 0.044121191340816046
Position 658: 0.04320275807019425
Position 2130: 0.04118575592449075
Position 2796: 0.03965045241614012
Position 1830: 0.0340156361275528
Position 306: 0.03195020263211306
Position 963: 0.020479913372023848
Position 2625: 0.016052249620665805
Position 1558: 0.01196383942133402
Position 734: 0.008065286948382204
Position 1671: 0.007396864722762355
Position 410: 0.007227429543552394
Position 3031: 0.006768864230928066
Position 2042: 0.006748269457801263
Position 1716: 0.0059428089785112095
Position 1457: 0.00515218299230097
Position 2563: 0.004821764181343404
Position 1596: 0.003807348925081742
Position 1303: 0.0037637573651571
Position 774: 0.002636384865393175
Position 1805: 0.002163686119647083
Position 2049: 0.0020019442528329493
Position 909: 0.0016488849352087245
Position 439: 0.0016062522933219443
Position 1948: 0.0015446513699771776
Position 1306: 0.001522292164766591
Position 2545: 0.0015099164181733276
Position 2510: 0.0013896936590526152
Position 1038: 0.0013880017755011176
Position 2800: 0.001369356512501311
Position 2300: 0.0013210185920616443
Position 1659: 0.0012341072545050148
Position 391: 0.001020935955127812
Position 1034: 0.0008976538467728975
