Gene = XPC
index = 1576
Annotated 5SS: [  318  5917  8346 10527 11615 13356 13971 19043 20773 22449 26449 29970
 30222 30876 31494]
Annotated 3SS: [ 5720  8232 10402 11529 13197 13849 18952 19890 22287 26366 29834 30051
 30781 31403 32623]
SMsplice 5SS: [  175  5917  6102  8346 10527 11615 13356 13971 19043 22449 24905 26449
 28326 29970 30222 30876 31494]
SMsplice 3SS: [ 5720  6042  8232 10402 11508 13197 13849 18952 22287 24749 26366 28140
 29834 30095 30781 31403 33169]
top_k =  1000
Partition function (log Z): 30.04647987976065

Sorted 5' Splice Sites (High to Low Probability):
Position 30876: 0.9985517412583095
Position 13971: 0.9904046786830039
Position 29970: 0.9689000865618137
Position 8346: 0.9603168103196742
Position 13356: 0.9493220698646836
Position 11615: 0.9453235715186938
Position 26449: 0.9202484892905676
Position 22449: 0.9062323486258388
Position 5917: 0.8844148214346553
Position 10527: 0.833301508306271
Position 30222: 0.8315779136606779
Position 31494: 0.8231939829897307
Position 19043: 0.702974190192538
Position 28326: 0.49917201054031507
Position 6102: 0.49020124439003715
Position 31225: 0.40604302757995936
Position 24905: 0.4020712356408141
Position 19048: 0.2953004377852178
Position 175: 0.2938441119021598
Position 318: 0.2819143872498616
Position 16175: 0.27076032785853615
Position 11274: 0.26030619594114124
Position 23863: 0.25467441205364155
Position 17183: 0.2538092638366332
Position 68: 0.2537936653419621
Position 26159: 0.22383703815278325
Position 25006: 0.2199421050667828
Position 21911: 0.21789529219807502
Position 6058: 0.2157580228400865
Position 16115: 0.20112545947818816
Position 26974: 0.1992754660324211
Position 31923: 0.18944571521122508
Position 18584: 0.17880410041335618
Position 22137: 0.1748000607502029
Position 3239: 0.16926393852759136
Position 359: 0.15805833804356748
Position 18588: 0.15718651907887646
Position 31531: 0.1532377038088996
Position 20773: 0.1467348279592153
Position 20450: 0.14578662937531045
Position 30517: 0.14564602668958523
Position 25010: 0.1371643445470477
Position 28253: 0.13231659619581126
Position 17510: 0.10043410109663191
