Gene = TRAPPC13
index = 1478
Annotated 5SS: [   73 10336 11010 12747 22149 25849 27512 30620 33468 35864 37117 39351]
Annotated 3SS: [10266 10909 12661 22020 25775 27466 30601 33333 35664 37015 39199 39469]
SMsplice 5SS: [   73  7436 11010 12747 21515 22149 25849 27512 33468 37117 39351]
SMsplice 3SS: [ 7330 10909 12661 21396 22020 25775 27466 33333 37015 39199 39469]
top_k =  1000
Partition function (log Z): -0.7864003724241861

Sorted 5' Splice Sites (High to Low Probability):
Position 11010: 0.9842397799225753
Position 22149: 0.9458925359157982
Position 73: 0.9421401116868545
Position 33468: 0.9240194916514483
Position 37117: 0.8925389791236095
Position 27512: 0.8469944386147032
Position 7436: 0.7908137456904526
Position 12747: 0.7750921980348363
Position 39351: 0.7269135563586037
Position 21515: 0.6147428247523924
Position 25849: 0.5667336246069927
Position 10336: 0.46647594473826604
Position 26015: 0.3670928784514262
Position 36284: 0.3471293334799513
Position 35864: 0.3297616926228779
Position 25867: 0.23545606412255768
Position 22422: 0.19888077703144696
Position 14827: 0.16977532231385134
Position 5511: 0.1643396476313759
Position 37865: 0.15153848895863167
Position 37356: 0.1398610232135553
Position 9626: 0.12509764393801948
Position 630: 0.11495226159344972
Position 2955: 0.11472005580117231
Position 29580: 0.09649361491500692
Position 39014: 0.0738275229911559
Position 35150: 0.06570524549062332
Position 21058: 0.05815081172467936
Position 8030: 0.05045837926343988
Position 25711: 0.04906190031310733
Position 7592: 0.044125552218042
Position 30203: 0.04227782806007915
Position 29901: 0.04171796363800243
Position 7116: 0.03763446157481636
Position 29544: 0.03166377703523882
Position 10375: 0.03102738950486371
Position 9850: 0.029914401231015568
Position 277: 0.028240473618576418
Position 22613: 0.026313646378601774
Position 1173: 0.02406397870017979
Position 9644: 0.023731221829796707
Position 9312: 0.02217725757444409
Position 28357: 0.021615765446169923
Position 7106: 0.021571234044396686
Position 22436: 0.021066759654050787
Position 34222: 0.018138861109371546
Position 37955: 0.017640832981594756
Position 387: 0.01581364633135898
Position 7427: 0.015690154037092976
Position 4588: 0.015041770153662839
Position 7123: 0.01364758001027564
Position 15365: 0.012101588684678925
Position 36018: 0.011788060735327349
