Gene = IQCC
index = 713
Annotated 5SS: [  63  637 1101 1460]
Annotated 3SS: [ 492  847 1340 1578]
SMsplice 5SS: [  63  637 1101 1460]
SMsplice 3SS: [ 492  847 1340 1578]
top_k =  1000
Partition function (log Z): -1.8256865137693277

Sorted 5' Splice Sites (High to Low Probability):
Position 63: 0.929344654100123
Position 1101: 0.9228873810315897
Position 1460: 0.8213040829628965
Position 637: 0.7131483642943535
Position 1452: 0.15410874920603337
Position 48: 0.020649410704075846
Position 559: 0.018668550693108348
Position 568: 0.013949168397655235
Position 546: 0.008373703450461019
Position 389: 0.006262145857974216
Position 39: 0.0029240240610449767
Position 1670: 0.0016061318716897191
Position 927: 0.0014828972238163918
Position 965: 0.0009282679462461866
Position 887: 0.0008807594252492275
Position 514: 0.0007388659358863292
Position 82: 0.00023765952540211237
Position 2174: 0.0002298678734191646
Position 1503: 0.00022842639421628236
Position 2000: 0.0001932034313448472
Position 976: 0.0001531261782652599
Position 1509: 0.0001378688771583832
Position 152: 0.00012183723831839539
Position 455: 0.0001031294822281982
Position 1238: 9.052186335515047e-05
Position 1558: 8.901294371935517e-05
Position 1771: 8.04692936169849e-05
Position 1496: 6.882978517442437e-05
Position 789: 6.597365455270041e-05
Position 594: 5.795312358847116e-05
Position 50: 5.6962269340542275e-05
Position 499: 5.158026163550991e-05
Position 384: 4.57515063924192e-05
Position 681: 3.0109695590895697e-05
Position 1551: 2.382186047579762e-05
Position 2707: 1.6168785048677532e-05
Position 116: 1.2616012703831174e-05
Position 1143: 8.935028491343015e-06
Position 700: 8.717193287291383e-06
Position 729: 7.639060833714777e-06
Position 809: 6.505919762607167e-06
Position 2448: 6.33444396825407e-06
Position 1799: 6.261862446962552e-06
Position 934: 5.781857193985234e-06
Position 428: 3.0666142222687226e-06
Position 774: 2.4266176377661393e-06
Position 1167: 2.0456964710465353e-06
Position 320: 1.4608358117706194e-06
Position 157: 1.1574771789098597e-06
Position 121: 1.044872941622615e-06
Position 11: 7.700794813314336e-07
Position 247: 5.796698564156777e-07
Position 195: 5.130179957227235e-07
Position 1260: 3.906341852819593e-07
Position 525: 1.0504202364789862e-07
Position 330: 7.53416555441256e-08
