Gene = NUPR1L
index = 980
Annotated 5SS: [386]
Annotated 3SS: [1502]
SMsplice 5SS: [386]
SMsplice 3SS: [1502]
top_k =  1000
Partition function (log Z): -9.360762281359964

Sorted 5' Splice Sites (High to Low Probability):
Position 386: 0.9523994971876247
Position 572: 0.024227678468620308
Position 1116: 0.01026600028859084
Position 55: 0.009170310274995423
Position 698: 0.007642847874331855
Position 299: 0.0046691838117548295
Position 390: 0.002374104665677798
Position 1389: 0.0010410520241715415
Position 730: 0.0007670369318479359
Position 1432: 0.0006090750477980303
Position 576: 0.00040784142430487936
Position 1158: 0.0002407615515027894
Position 1377: 0.00020725374861154308
Position 794: 0.0001743474279230313
Position 1582: 9.66982687966191e-05
Position 65: 4.5718565390672186e-05
Position 117: 3.9104589695651586e-05
Position 1534: 3.4379992799824404e-05
Position 1525: 2.9291417809647978e-05
Position 1222: 2.8882438334018702e-05
Position 1546: 1.896987542393751e-05
Position 1467: 1.5490663539347866e-05
Position 496: 1.3387805322992514e-05
Position 1075: 1.1306093000727643e-05
Position 1577: 9.778306366753639e-06
Position 1263: 9.501306161447337e-06
Position 1266: 9.37573976189572e-06
Position 1189: 8.118272724859046e-06
Position 637: 8.075022217674532e-06
Position 1035: 8.046787983466814e-06
Position 863: 5.615988147645989e-06
Position 26: 5.370229555244804e-06
Position 1610: 5.0501782494901895e-06
Position 474: 4.805657542989175e-06
Position 1176: 4.570960086765333e-06
Position 1257: 3.883260250770513e-06
Position 740: 2.439625495906084e-06
Position 1518: 2.3776002331061703e-06
Position 869: 1.9172189229568583e-06
Position 415: 1.842184919359143e-06
Position 1554: 1.5182309801533276e-06
Position 1311: 1.4914644022925032e-06
Position 1308: 6.85457318395128e-07
Position 655: 6.24048945225752e-07
Position 1324: 6.239508696386396e-07
Position 1029: 4.235029134802637e-07
Position 437: 9.171144854845546e-11
Position 1093: 6.014748151068629e-11
Position 791: 1.303727093445901e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 1502: 0.9340481563399724
Position 664: 0.013419367247310004
Position 1233: 0.010449221845004278
Position 472: 0.00858779144936861
Position 1589: 0.007558283476487091
Position 642: 0.0052278743706946264
Position 1109: 0.0048940844701015175
Position 1198: 0.0034854588285577167
Position 1147: 0.0033522519225148194
Position 1184: 0.002778650938853408
Position 124: 0.0027215752253230362
Position 1069: 0.002076883456984989
Position 571: 0.0013356500640304245
Position 1708: 0.0011819013780788234
Position 1215: 0.0011505280712592303
Position 540: 0.001042249387460109
Position 622: 0.000817616515523671
Position 807: 0.0007759820245503218
Position 1610: 0.0007718226678401302
Position 1525: 0.0007663066991423297
Position 1115: 0.0007424716966153535
Position 1418: 0.0006045268429664668
Position 1238: 0.0006028831762815916
Position 502: 0.0005297954348985843
Position 1561: 0.0004948674440690311
Position 519: 0.0003553792103946352
Position 153: 0.00031820101574634455
Position 1659: 0.00031222263076753924
Position 221: 0.0002649424878583965
Position 253: 0.0002378189743086931
Position 1656: 0.00022996303291809926
Position 1081: 0.0002178522219765384
Position 781: 0.0002153130613417811
Position 1684: 0.00018499178540954926
Position 862: 0.00018117146680075969
Position 1701: 0.00017649851794967642
Position 1247: 0.00016189992970840248
Position 1382: 0.00015444338399262547
Position 1014: 0.00014281312341209805
Position 1454: 0.00014039810197155402
Position 1327: 0.00013267471213224716
Position 1567: 0.00012738888314274365
Position 681: 0.00012616100369254197
Position 474: 0.00011299932643893978
Position 432: 0.0001129548350348237
Position 1423: 8.690949319657615e-05
Position 489: 8.511470600215095e-05
Position 1705: 7.72683868748766e-05
