Gene = RUVBL1
index = 1218
Annotated 5SS: [  241  4497 10937 19052 22266 23230 24943 26525 36119 41342]
Annotated 3SS: [ 4409 10803 18899 22175 23079 24878 26325 36015 41249 42414]
SMsplice 5SS: [  241  3686  4497 10937 19052 21729 21946 22108 22266 23230 24943 26525
 36119 41342]
SMsplice 3SS: [ 3592  4409 10803 18899 21606 21832 22032 22175 23079 24709 26325 36015
 41249 42414]
top_k =  1000
Partition function (log Z): 3.9267131571825473

Sorted 5' Splice Sites (High to Low Probability):
Position 36119: 0.9999876089721961
Position 10937: 0.9926241802199122
Position 23230: 0.9438515861298369
Position 22266: 0.9264069665261463
Position 26525: 0.8956531771017089
Position 4497: 0.8907583062210299
Position 19052: 0.8281300690250768
Position 21729: 0.7837801166364073
Position 22108: 0.7720618604766952
Position 41342: 0.7535395883472383
Position 24943: 0.7312540686925042
Position 21946: 0.6295087282807567
Position 3686: 0.5609317231417895
Position 40751: 0.5395626000333379
Position 38788: 0.5003541967472224
Position 21516: 0.484895337210323
Position 241: 0.4511608658882596
Position 11991: 0.41816195306549603
Position 21221: 0.39998827531464803
Position 1676: 0.3444816491767371
Position 24239: 0.338892928751035
Position 10576: 0.29480315529632795
Position 32349: 0.25983978948642933
Position 39421: 0.2465262039005653
Position 31158: 0.21952607278085576
Position 21899: 0.20582637183551197
Position 12087: 0.1933502866349312
Position 28843: 0.15431109038948632
Position 26869: 0.15004325925024098
Position 5035: 0.1452232432487752
Position 21694: 0.1372326493033245
Position 415: 0.1366842236393057
Position 18298: 0.13088243348206255
Position 31094: 0.12687002974555817
Position 115: 0.12273683867093957
Position 41710: 0.120525421357141
Position 29735: 0.1193152739215348
Position 1999: 0.09402957121672026
Position 22966: 0.08599349214662654
Position 29450: 0.07822313363462509
Position 10451: 0.06818778179282269
Position 40733: 0.06685800466750563
Position 30186: 0.06425204088771264
Position 7022: 0.06361970622450033
Position 42595: 0.06348082649783074
Position 8544: 0.05723851087807299
Position 307: 0.05634702799119573
Position 33861: 0.05347508234125286
Position 5294: 0.05253048901193929
Position 26794: 0.049306982824871566
Position 6830: 0.04532970692194285
Position 935: 0.04504679557968479
Position 681: 0.04343368043864063
Position 27: 0.04145035837238332
Position 14998: 0.041126022397612934
Position 21676: 0.03799515875814541
Position 22873: 0.035886231321464415
Position 20201: 0.035531685844753275
Position 42611: 0.03488298180041861
Position 998: 0.033472801040047975
Position 24288: 0.03104042528608314
Position 29083: 0.030795941352527702
Position 42571: 0.026972206761722288
Position 41976: 0.025419947936891115
Position 11358: 0.023896922026963474
Position 4305: 0.022458668702870464
Position 24964: 0.022088816969808668
Position 736: 0.021249141242004502
Position 34553: 0.02033915463493163
Position 19062: 0.018741776591705755
Position 1620: 0.018129313589891057
Position 16906: 0.017853107448646773
Position 10693: 0.016425151012792762
Position 23872: 0.015260439551109933
Position 25907: 0.013720347563692713
Position 467: 0.013403652325727418
Position 894: 0.013357623308857404
Position 38615: 0.01329975630363908
Position 3888: 0.013238364674360377
Position 36710: 0.013214371859910892
Position 13: 0.012509206868941579
Position 28394: 0.01141051042505566
Position 18936: 0.010525956410879606
Position 23133: 0.01026324526644403
Position 1653: 0.009465044060735445
Position 36593: 0.009155752707519305
Position 40603: 0.009007436676016297
Position 41990: 0.008545997161539266
Position 23863: 0.00849448933064513
Position 41350: 0.008375112030361374
Position 651: 0.008020156511385991
Position 41654: 0.007717695577415732
Position 10108: 0.007309614267321756
Position 904: 0.00633511230908483
Position 22360: 0.006290501688271571
Position 24283: 0.006243692273954249
Position 42585: 0.0061638067117473095
Position 311: 0.006142607604654122
Position 160: 0.006029525413890831
Position 38285: 0.005685975811824298
Position 19960: 0.005219272209434213
Position 42415: 0.004988998323031034
Position 42360: 0.004602760754332194
Position 22829: 0.004387008910466408
Position 22788: 0.004374588452221559
Position 7018: 0.0042729252784456636
Position 9269: 0.0041593398071845256
Position 22866: 0.0036069101740346227
Position 41971: 0.0033407990445719353
Position 25638: 0.0033168651081794476
Position 4193: 0.0031329553558904263
Position 2220: 0.0029101395902312198
Position 11436: 0.002831065882022095
Position 24355: 0.0026443055188046104
Position 1091: 0.0025913180165789544
Position 24326: 0.0025121083970907803
Position 4201: 0.0022763845581424305
Position 1664: 0.0021625986846016128
Position 1157: 0.0021550972052107134
Position 4318: 0.0021473502593197832
Position 11551: 0.0021389724313328725
Position 487: 0.0020598185302470227
Position 37157: 0.0019678260741043843
Position 25986: 0.0019547242220548963
Position 341: 0.001694155895687156
Position 1219: 0.001562157000991903
Position 42562: 0.0014984281273989777
Position 41537: 0.0013277572467780086
Position 24710: 0.0012584168120794775
Position 23651: 0.001185099512650874
Position 3964: 0.0011369139728326894
Position 3713: 0.0011014268184811092
Position 593: 0.0010273791229350325
Position 22353: 0.0010266085985615773
Position 25018: 0.001026252173177824
Position 590: 0.0009705341677308742
Position 24442: 0.0008235165115819123
Position 1542: 0.0007897992807208018
Position 368: 0.0007822511303004401
Position 19161: 0.0007739904972542452
Position 40894: 0.0007605831908984802
Position 3664: 0.0007603042027011717
Position 14723: 0.0006941679736201809
Position 42777: 0.0006616811046481336
Position 22532: 0.0006007514610837181
Position 13664: 0.0005648127199044432
Position 23273: 0.0004975232893212072
Position 217: 0.00048178094584781127
Position 5442: 0.00047210614262802926
Position 5206: 0.00046820372719105085
Position 4331: 0.0004393129321643935
Position 39474: 0.0004263320094262295
Position 1439: 0.0004113905405938077
Position 4073: 0.000390169590431422
Position 26611: 0.0003858210381429211
Position 5014: 0.00038100994291229254
Position 1804: 0.000377649120906145
Position 13101: 0.0003718689733158659
Position 729: 0.0003635422506462649
Position 611: 0.0003610126993025631
Position 262: 0.0003571096627302379
Position 24142: 0.0003332787460295258
Position 13115: 0.00032551275805048634
Position 3111: 0.00030738856570679756
Position 23876: 0.00028672516557246003
Position 5089: 0.0002843714790890504
Position 1657: 0.00028301072083067644
Position 23949: 0.0002687681484440409
Position 3944: 0.000268597205358152
Position 2774: 0.000244004794448075
Position 1830: 0.00022930572734714978
Position 4606: 0.0002236122955544618
Position 1400: 0.00020907163307891497
Position 22689: 0.00020879438212575345
Position 1972: 0.00020612281920494012
