Gene = RP11-385J1.3
index = 1170
Annotated 5SS: [   253 388343 406636 409251]
Annotated 3SS: [388219 406464 409054 423529]
SMsplice 5SS: [   253  18357  23288  26166  32639  41673  45780  46093  54525  76058
  81223  93167  93862 110180 125368 130906 135150 138319 197502 204725
 256408 263050 268855 355887 376131 384725 388343 406636 409251 423079]
SMsplice 3SS: [ 18271  23123  26094  32499  41525  45649  45901  54380  75994  81073
  92962  93749 110088 125240 130820 134997 138105 197376 204583 256323
 262954 268743 355796 376018 384558 388240 406464 409054 422958 423529]
top_k =  1000
Partition function (log Z): -195.70523845043112

Sorted 5' Splice Sites (High to Low Probability):
Position 253: 0.9992835604335402
Position 23288: 0.6258981655490203
Position 9404: 0.5124504807803909
Position 12405: 0.49427557000488775
Position 18357: 0.4213357008679362
Position 8206: 0.40845413148319004
Position 8142: 0.3985935737614961
Position 7877: 0.33243956992786516
Position 18398: 0.3287879587989946
Position 551: 0.23704193305605295
Position 26166: 0.23679587414120212
Position 3408: 0.16556646683441717
Position 18324: 0.12725632063388514
Position 4679: 0.12247651502632476
Position 8851: 0.11259118179572633
Position 8210: 0.10852678272129464
Position 23266: 0.1001792951452715
Position 8842: 0.09746319305105214
Position 15629: 0.07456672611252099
Position 20971: 0.05900784581056282
Position 12093: 0.05176011340802479
Position 20810: 0.04750478400900252
Position 25155: 0.047367652709858765
Position 3905: 0.046891552575008176
Position 5892: 0.04496637034111198
Position 6433: 0.04053955350786412
Position 9649: 0.0348366178121015
Position 14263: 0.028075670317460798
Position 7804: 0.022870554236361144
Position 19135: 0.022547983258744034
Position 4195: 0.021582588877271217
Position 2141: 0.020671300816834104
Position 25862: 0.020260028314344727
Position 23341: 0.01854863327624932
Position 20434: 0.015010817948675603
Position 7275: 0.014095153443818984
Position 414: 0.013082388063498396
Position 13004: 0.012813319214461166
Position 23177: 0.010642797171366621
Position 17499: 0.010341089160708802
Position 12159: 0.010237527011687257
Position 8179: 0.009801233643598707
Position 5673: 0.009791833827133228
Position 23749: 0.009169545653660372
Position 1030: 0.00858729582376223
Position 12409: 0.008194391951332813
Position 8757: 0.0069246557722131225
Position 13872: 0.006779041759906075
Position 1213: 0.005942272384918132
Position 5174: 0.005794040637585037
Position 25212: 0.0057717140322874755
Position 3489: 0.005077553996692789
Position 3845: 0.004124246302192929
Position 4576: 0.0037122989485543914
Position 11641: 0.003203326582563333
Position 8514: 0.0029188047054217433
Position 11951: 0.002769250082099823
Position 9390: 0.0025911840981941597
Position 10202: 0.0022223657257021013
Position 5841: 0.001930992028505224
Position 7032: 0.0018697079982661268
Position 12385: 0.0016050408311371496
Position 11743: 0.0014529612054971963
Position 7703: 0.0014144752383027138
Position 6291: 0.0011949055503888465
Position 13226: 0.001075512921405715
Position 7098: 0.0008174060909657019
Position 11754: 0.0006161519386312984
Position 2804: 0.0004940317423845735
Position 7633: 0.0004885998626241758
Position 2120: 0.0004664675502112699
Position 1967: 0.0004454446759758782
Position 3779: 0.00044188674666835405
Position 8330: 0.0004221192709292517
Position 2795: 0.000410279883551462
Position 7903: 0.0004065664131664357
Position 1094: 0.00033774209539923423
Position 515: 0.0003074554626350718
Position 6173: 0.00022858922689968235
Position 2588: 0.00022039374867500314
Position 2650: 0.00021289677459543932
Position 3112: 0.00020349480510021666
Position 3748: 0.0001668019392320316
Position 2945: 0.00010726447841419346
Position 729: 8.358981542237466e-05
Position 4: 7.914735559224213e-05
Position 3440: 5.247321832239857e-05
Position 78: 4.644990671185e-05
Position 2833: 3.4087728850495556e-05
Position 2161: 3.223304100307083e-05
Position 5655: 3.039869056927972e-05
Position 2724: 2.5615403169426546e-05
Position 32: 1.0187642851303391e-05
Position 544: 3.7156798362253073e-06
Position 257: 3.358167960637664e-06
Position 1360: 2.671566515028966e-06
Position 1783: 1.7540600080718494e-06
Position 488: 1.5078703331381774e-06
Position 1079: 1.1767837052299802e-06
Position 1119: 1.0904489224211397e-06
Position 1606: 1.0749433099235865e-06
Position 1739: 9.119191568565026e-07
Position 519: 6.012188302809414e-07
Position 275: 5.789003176945111e-07
Position 823: 5.610641070032083e-07
Position 1049: 3.9434816724183204e-07
Position 424: 3.475987922470862e-07
Position 838: 3.4471258649535337e-07
Position 677: 3.005895240014689e-07
Position 971: 2.8795160556938876e-07
Position 376: 2.6728101102104507e-07
Position 1131: 2.4665092821175223e-07
Position 2431: 1.920989939897544e-07
Position 2439: 1.803522104761923e-07
Position 178: 1.6845644994783225e-07
Position 2021: 1.346209973448123e-07
Position 105: 1.2520548536587445e-07
Position 113: 1.0462256806948345e-07
Position 869: 6.665963310181521e-08
Position 662: 5.6204674364775005e-08
Position 2184: 4.998461043181898e-08
Position 698: 4.7116495854599134e-08
Position 373: 4.084800899222698e-08
Position 1711: 2.1548921021163808e-08
Position 575: 1.896367618292229e-08
Position 426: 1.6213590122499262e-08
Position 541: 5.389556439749993e-09
Position 295: 5.099322027639063e-09
Position 393: 3.708304109235187e-09
Position 2241: 2.04129021904639e-09
Position 596: 1.944844445173551e-09
Position 513: 1.0097856535372794e-09
Position 1613: 9.1916198575193e-10
Position 1690: 8.966030997277936e-10
Position 1618: 6.383795443120074e-10
Position 117: 2.0958996690694936e-11
Position 91: 1.703405340178199e-11
Position 950: 1.1433100421829847e-11
Position 136: 5.171855746761983e-12
Position 300: 3.46413866083434e-12
Position 62: 1.9226027290548472e-13
Position 298: 4.831064710818459e-14
Position 607: 2.5133814312851413e-16
Position 615: 7.44331428117487e-17

Sorted 3' Splice Sites (High to Low Probability):
Position 18271: 0.93122538278531
Position 23123: 0.8224021691539827
Position 27018: 0.651389661362732
Position 7961: 0.6052244108127672
Position 9275: 0.5074090308498554
Position 12327: 0.5040975305596372
Position 7689: 0.34880307647471154
Position 7989: 0.30490170099225566
Position 355: 0.25010419461962424
Position 26094: 0.1702570012172742
Position 3252: 0.14401925748305913
Position 4507: 0.10953377490849613
