Gene = IPPK
index = 710
Annotated 5SS: [  358 11632 13810 17693 20813 22207 27514 29556 32265 35108 35880 50780]
Annotated 3SS: [11583 13713 17625 20690 22116 27454 29482 31984 34956 35776 50699 54207]
SMsplice 5SS: [  358  6204  6506 10966 11632 13810 15050 17030 17693 20854 22207 27514
 29556 35108 35880 42017 45715 50780 52586 54353]
SMsplice 3SS: [ 6112  6464 10845 11583 13713 14903 16802 17625 20690 22116 27454 29482
 35018 35776 41895 45638 50699 52427 54207 56534]
top_k =  1000
Partition function (log Z): 20.30165143216742

Sorted 5' Splice Sites (High to Low Probability):
Position 50780: 0.999640699608128
Position 29556: 0.9810197507944374
Position 13810: 0.9774054001281237
Position 35880: 0.974027314235822
Position 11632: 0.9322963419621377
Position 35108: 0.9268986033740211
Position 6204: 0.9166423705825554
Position 17693: 0.861686625981161
Position 22207: 0.8524053921143803
Position 358: 0.8258653685492323
Position 6506: 0.7596044688902361
Position 45715: 0.7365133221366772
Position 27514: 0.7181636953875051
Position 15050: 0.6968664479969168
Position 54353: 0.6927606677121666
Position 10966: 0.647250041112389
Position 17030: 0.6271833869053254
Position 27134: 0.6120902339667453
Position 1888: 0.5528046698487701
Position 54625: 0.5420841753213995
Position 42017: 0.5113353069553759
Position 20854: 0.4875711458280279
Position 38790: 0.4807158130415451
Position 11214: 0.47511108812103725
Position 50469: 0.41566224414626735
Position 7447: 0.4138943981830094
Position 32265: 0.39341528746975074
Position 6048: 0.3638919414393238
Position 42000: 0.3551957768117278
Position 26372: 0.35346763649831786
Position 42347: 0.3500456571472707
Position 28394: 0.3348142542833895
Position 3101: 0.33394073309788247
Position 52586: 0.32613335160413487
Position 10716: 0.3211055003249403
Position 20813: 0.2903997372734667
Position 52600: 0.2803353329557712
Position 53262: 0.27448954700587685
Position 54006: 0.2716121574694809
Position 8467: 0.2462183434166212
Position 34953: 0.2244529371118434
Position 32286: 0.21490050813376055
Position 21343: 0.1862678612684663
Position 15650: 0.1645691083456142
Position 39311: 0.14722540266275902
Position 49081: 0.13453120015647138
Position 37658: 0.13446573571633968
Position 39308: 0.126331927085076
Position 28103: 0.12602176470503787
Position 5824: 0.1222729955990387
Position 982: 0.11922658316107412
Position 52715: 0.11885782303944636
Position 55067: 0.11545867113120871
