Gene = GTF2E1
index = 628
Annotated 5SS: [   63  8269 28198 33933]
Annotated 3SS: [ 7790 27995 33690 38310]
SMsplice 5SS: [  240 28198 33933]
SMsplice 3SS: [27995 33690 38310]
top_k =  1000
Partition function (log Z): -20.93960249772093

Sorted 5' Splice Sites (High to Low Probability):
Position 28198: 0.9737229142853979
Position 240: 0.8141038695893066
Position 7877: 0.7963427310394681
Position 9230: 0.47557586553346526
Position 31351: 0.1412157320692403
Position 63: 0.05666933993995736
Position 436: 0.055315501279114256
Position 5612: 0.043696331058750204
Position 3148: 0.04274312248737552
Position 387: 0.030187988735519564
Position 8269: 0.01933196881592131
Position 10: 0.01925326250694387
Position 7220: 0.011087295357391442
Position 3475: 0.010986825183516773
Position 5946: 0.010959142891386274
Position 1577: 0.010706305113869805
Position 379: 0.010515930904036446
Position 1605: 0.00980134546026607
Position 7077: 0.008456340347860428
Position 7868: 0.007176219693630956
Position 6242: 0.0069496283503994545
Position 228: 0.006663018790732713
Position 3395: 0.005189747841879574
Position 2313: 0.003104503474001407
Position 4953: 0.0028667833526194787
Position 7297: 0.002521969138167782
Position 6572: 0.0025090129337347043
Position 2448: 0.0021036720092555915
Position 5274: 0.0020807903042721876
Position 9962: 0.0015537059444122917
Position 5805: 0.0014165149049731763
Position 4474: 0.0013812960352941543
Position 4569: 0.0013380121190656187
Position 7224: 0.0012959000770114545
Position 8052: 0.0008752955376371336
Position 7322: 0.0008357479401184921
Position 14618: 0.0005547841312161679
Position 1217: 0.00043544941668803463
Position 371: 0.00024276753877782868
Position 892: 0.00022253003416986984
Position 402: 0.00019019919581372987
Position 13711: 0.00018702929753743885
Position 561: 0.00017204319043321117
Position 506: 0.00014578730117877794
Position 400: 0.00012893517106297577
Position 9265: 0.00010593666915052832
Position 9520: 9.147256540339116e-05
Position 13126: 7.829334637103976e-05
Position 1094: 6.029205024119945e-05
Position 1193: 4.896508369265576e-05
Position 86: 4.4939125009850986e-05
Position 764: 3.245331921144177e-05
Position 433: 3.2157805406851506e-05
Position 1068: 1.4470217016794311e-05
Position 845: 1.2205965241051674e-05
Position 1209: 1.1745043930122556e-05
Position 1269: 1.0728494884188755e-05
Position 452: 1.0036313836181013e-05
Position 802: 9.423765643448775e-06
Position 1882: 9.336228174238787e-06
Position 264: 8.973933906356496e-06
Position 473: 7.596707792301594e-06
Position 8735: 6.452801985185096e-06
Position 226: 5.539778041370044e-06
Position 2304: 5.09229079942073e-06
Position 1562: 4.958697305756693e-06
Position 34: 4.745462392349054e-06
Position 2956: 2.3973787921827243e-06
Position 2905: 1.8750542058976962e-06
Position 4930: 1.8522388617117773e-06
Position 3272: 1.8400488134245843e-06
Position 1077: 1.7985501654825585e-06
Position 290: 1.6370553739365338e-06
Position 1294: 1.5546047763244349e-06
Position 876: 1.3491109503760155e-06
Position 307: 1.3294946246417576e-06
Position 685: 1.2969861289575618e-06
Position 1279: 1.2706973486963088e-06
Position 1112: 1.2447704135849411e-06
Position 973: 9.840553064175833e-07
Position 518: 9.597154897395248e-07
Position 565: 9.593878839891357e-07
Position 315: 9.380703270392237e-07
Position 93: 8.328057954868116e-07
Position 406: 7.253033171577818e-07
Position 2526: 5.728080087945084e-07
Position 404: 5.12248245229974e-07
Position 987: 4.6129228899598815e-07
Position 3102: 3.4086506728758336e-07
Position 3215: 2.20411016673226e-07
Position 37: 1.7980240848077128e-07
Position 3124: 1.7463354004103827e-07
Position 3114: 1.2190531903616375e-07
Position 266: 1.0591370001584067e-07
Position 13: 1.0578231058515224e-07
Position 79: 1.0261726960897994e-07
Position 1734: 9.961924656187308e-08
Position 2047: 9.049724308620302e-08
Position 2933: 4.84185218573373e-08
Position 72: 4.203998502366906e-08
Position 45: 3.5826655756481975e-08
Position 183: 3.39118250193778e-08
Position 192: 3.093142459190575e-08
Position 300: 2.6762977606859335e-08
Position 43: 2.6728574627365954e-08
Position 3390: 5.917820485619407e-09
Position 3734: 5.7513035330287086e-09
Position 174: 4.6514185933307247e-10
Position 461: 1.0173327887551903e-10
Position 459: 3.917340202793442e-11
Position 421: 3.1109457846990354e-11
Position 351: 2.5102446273797835e-11
Position 1366: 1.124735937913753e-11
Position 644: 1.0881925158729152e-11
Position 718: 1.0048345441633202e-11
Position 390: 8.643038702238e-12
Position 333: 8.548430420706614e-12
Position 490: 3.5329032119823237e-12
Position 476: 2.4992070077529594e-13
Position 414: 1.4134609514589244e-14
Position 356: 4.736844053430817e-20

Sorted 3' Splice Sites (High to Low Probability):
Position 27995: 0.986990481840764
Position 7790: 0.7691350977874406
Position 31222: 0.5520962458599539
Position 9052: 0.46817959339632154
Position 28853: 0.1460294664897845
Position 31437: 0.1412157320692403
Position 28390: 0.12872772716064307
Position 30229: 0.09265599589442884
Position 29370: 0.054213478880586655
Position 5465: 0.04239651142407469
Position 7678: 0.037033777711456044
Position 3001: 0.026346692568608346
Position 3316: 0.016122808079352163
Position 5804: 0.010719810643887176
Position 2852: 0.009416017789016561
Position 9120: 0.008594098782006045
Position 7012: 0.007078682339571765
Position 7176: 0.007036076221512594
