Gene = CAMLG
index = 275
Annotated 5SS: [ 292 3023 5552]
Annotated 3SS: [ 2561  5485 12257]
SMsplice 5SS: [292]
SMsplice 3SS: [13203]
top_k =  1000
Partition function (log Z): -7.558973320302654

Sorted 5' Splice Sites (High to Low Probability):
Position 292: 0.9993674903787989
Position 5552: 0.539857598101029
Position 2702: 0.2605200677889137
Position 10287: 0.10553597640224104
Position 1328: 0.0592565085398865
Position 3023: 0.04860068653258788
Position 12991: 0.029258869974038856
Position 1670: 0.017913481185617895
Position 878: 0.01347709141955477
Position 11211: 0.011737810891601563
Position 3430: 0.010502790464091916
Position 3455: 0.010464302522522869
Position 1064: 0.009285929490534717
Position 615: 0.007686474357415759
Position 893: 0.005183425016994014
Position 919: 0.005121892895009346
Position 673: 0.003771578085742656
Position 887: 0.00343312227218313
Position 1232: 0.0034253175203463396
Position 3387: 0.0028360881027040094
Position 1518: 0.0027865728426316387
Position 505: 0.0024320362916363113
Position 2660: 0.0018979860097380872
Position 5136: 0.0018403339698548687
Position 8119: 0.0016540497710435542
Position 2642: 0.0016355558271962
Position 8121: 0.0012516062354979405
Position 5224: 0.0011173569348387107
Position 2436: 0.001111792460672443
Position 5882: 0.0007120652866288889
Position 181: 0.0005286754661121409
Position 1672: 0.0002941805543265964
Position 7707: 0.00018080835272714355
Position 553: 0.00014118380628760606
Position 2652: 0.00012516661964063192
Position 680: 0.00011527040961815447
Position 797: 8.634733962984393e-05
Position 1558: 7.383062315342887e-05
Position 2505: 7.038263080265708e-05
Position 1378: 5.4957941311268186e-05
Position 2197: 3.933005745624559e-05
Position 2387: 3.704146369311422e-05
Position 1556: 3.633512561903841e-05
Position 2969: 1.9360369354982916e-05
Position 735: 1.641884382875644e-05
Position 2664: 1.601941266638453e-05
Position 2691: 1.226741969438439e-05
Position 5630: 1.0243131217976817e-05
Position 1182: 2.811618815175917e-06
Position 4000: 1.814874216629975e-06
Position 940: 1.5647186116380298e-06
Position 926: 1.3846614689177547e-06
Position 125: 1.384444831645593e-06
Position 978: 1.354220931226141e-06
Position 828: 1.0386878996965793e-06
Position 969: 9.905133573070236e-07
Position 966: 9.386580809831568e-07
Position 795: 7.683840249748591e-07
Position 315: 5.17211861828997e-07
Position 709: 5.083157095737365e-07
Position 430: 4.312154009038366e-07
Position 8: 3.853829504078813e-07
Position 108: 2.9232981991161974e-07
Position 345: 2.8654411596172494e-07
Position 834: 2.309652310728624e-07
Position 744: 8.023194072594541e-08
Position 165: 4.9649235551581386e-08
Position 15: 4.873287126668632e-08
Position 52: 2.20045683307014e-08
Position 199: 9.240422208260768e-09
Position 214: 7.771150698580084e-09
Position 473: 6.837794526427067e-09
Position 442: 5.349965035809648e-09
Position 135: 4.996293798159094e-09
Position 185: 3.95197255651369e-09
Position 695: 3.574933504929418e-09
Position 558: 1.9046937648882914e-09
Position 633: 9.220256155344375e-10
Position 612: 4.721851374789226e-10
Position 628: 3.351655105402173e-10
Position 466: 1.3662045514295635e-10
Position 416: 6.718430098794634e-11
Position 733: 4.128483286782636e-12

