Gene = PRDX6
index = 1069
Annotated 5SS: [ 227 4217 8242 9136]
Annotated 3SS: [ 4059  8094  8988 10468]
SMsplice 5SS: [ 227 3400 4217 8242 9136]
SMsplice 3SS: [ 3176  4059  8094  8988 10468]
top_k =  1000
Partition function (log Z): 5.235383676990869

Sorted 5' Splice Sites (High to Low Probability):
Position 8242: 0.9860519430871345
Position 4217: 0.9543201305025945
Position 9136: 0.9096570509461862
Position 227: 0.8617946571044331
Position 3462: 0.4073373718668086
Position 3400: 0.3967008607069265
Position 4604: 0.2632443905772896
Position 2492: 0.2258567333240628
Position 504: 0.21375442017500995
Position 2258: 0.18327614631000874
Position 3888: 0.114704892671561
Position 2989: 0.10465886224375062
Position 3414: 0.0918555663014412
Position 2415: 0.08895287900344546
Position 8018: 0.08166898532772814
Position 5731: 0.07858753241827128
Position 7760: 0.07625027006640822
Position 3215: 0.07283260832325766
Position 9838: 0.06108775053439976
Position 10620: 0.057810753750434325
Position 10700: 0.05324013540111642
Position 2362: 0.0466419978486814
Position 10144: 0.03938820380117548
Position 9206: 0.03384042379239388
Position 142: 0.030052589597638433
Position 1426: 0.023816137472371615
Position 2532: 0.020264653475800583
Position 280: 0.019272110897593668
Position 4305: 0.01922995071814536
Position 9885: 0.018516324690123313
Position 10149: 0.016349511648305462
Position 8857: 0.01599802295268875
Position 2035: 0.015519828081714605
Position 9076: 0.014663291230932005
Position 5275: 0.012419379358148007
Position 5569: 0.01105455393858228
Position 4299: 0.010878925273940385
Position 2170: 0.00985494526275273
Position 9296: 0.009599112768122808
Position 606: 0.00882609983569939
Position 9676: 0.008487056096436973
Position 5421: 0.007705922792114189
Position 10080: 0.007655477310451533
Position 956: 0.005319564107755387
Position 6622: 0.0045648609168627095
Position 9719: 0.004417214559617085
Position 3930: 0.004340729004006943
Position 10615: 0.00419994105869519
Position 7894: 0.003602723787455597
Position 4684: 0.0033906769954616402
Position 10350: 0.0032239855490564196
Position 8246: 0.0026346995310509635
Position 7648: 0.002569856196562463
Position 10634: 0.00225502287744506
Position 3004: 0.0021450876753575
Position 4385: 0.001823034616204535
Position 567: 0.0012989307012393233
Position 864: 0.0012598740354515241
Position 9404: 0.0012320461653844007
Position 960: 0.0012176358540137175
Position 6795: 0.001199237621442175
Position 511: 0.0011497979718119186
Position 9500: 0.001130479389688219
Position 5934: 0.0011059412738911192
Position 9855: 0.0010945895568899985
Position 8543: 0.0010871125377594423
Position 9375: 0.001054329745179429
Position 4160: 0.0010375418688381328
Position 3247: 0.0009898749519467317
Position 2241: 0.0008806391884335174
Position 10022: 0.0008115761011908725
Position 9234: 0.0008077124624274129
Position 8288: 0.0007941009129709752
Position 1985: 0.0007546562991057513
Position 10054: 0.0006930207301711408
Position 1233: 0.00068500504418684
Position 810: 0.0006826985361473643
Position 6227: 0.000670508049228694
Position 3052: 0.0006253705149723352
Position 10708: 0.0006113968401328424
Position 4258: 0.0005521099100859267
Position 5576: 0.0005278160078518231
Position 5340: 0.0005168468043679115
