Gene = ZBTB41
index = 1591
Annotated 5SS: [ 1189  8851  9781 12251 19555 22126 23979 25533 28383]
Annotated 3SS: [ 8642  9710 12102 19424 22029 23871 25426 28293 40527]
SMsplice 5SS: [ 1189  8851  9781 12251 19555 22126 23979 24612 25533 28383]
SMsplice 3SS: [ 8642  9710 12102 19424 22029 23871 24527 25426 28293 32624]
top_k =  1000
Partition function (log Z): -5.42554986543669

Sorted 5' Splice Sites (High to Low Probability):
Position 28383: 0.9810412849767622
Position 22126: 0.9275383210750796
Position 19555: 0.9224541221170871
Position 25533: 0.9008428393509393
Position 23979: 0.8842921794637898
Position 12251: 0.8782770883821317
Position 9781: 0.6721135201872548
Position 1189: 0.5976032562374747
Position 26808: 0.5579313222523619
Position 24612: 0.4717685497542564
Position 19968: 0.3241477306776662
Position 21958: 0.2293999580781566
Position 24603: 0.1711956749929317
Position 32756: 0.16046750804159648
Position 28154: 0.13447700768045015
Position 896: 0.13086850676167888
Position 87: 0.12545304534180618
Position 1995: 0.12532177491801105
Position 20355: 0.11535715246240626
Position 9847: 0.09853725892783148
Position 30473: 0.07792511327895547
Position 8676: 0.07430330350051849
Position 9818: 0.07287635940313843
Position 12475: 0.06717303104137397
Position 4822: 0.06672558401065068
Position 19544: 0.06637558012407153
Position 1081: 0.06475413617242227
Position 2388: 0.06456688798931205
Position 28580: 0.060140718512017986
Position 9842: 0.05106769929664207
Position 8058: 0.04318015433089813
Position 3300: 0.04296264122806862
Position 14233: 0.04049898790221179
Position 20511: 0.03720671925442341
Position 37941: 0.0321599836516151
Position 889: 0.029676997850831402
Position 2222: 0.02863513311285736
Position 25985: 0.02858535290938358
Position 26399: 0.026549984551579617
Position 10391: 0.026489895180156642
Position 8855: 0.024784347211543867
Position 1249: 0.023331940687182504
Position 32902: 0.023206578133491463
Position 20113: 0.022784358350024778
Position 26645: 0.022482113570774585
Position 9626: 0.02213335163927419
Position 25736: 0.0219752380997313
Position 27408: 0.020472246436552387
Position 30809: 0.019691214621337893
Position 25035: 0.0195880443715504
Position 1919: 0.019354319140858244
Position 24654: 0.017551085009012125
Position 14228: 0.016715167575312946
Position 168: 0.01598805239049761
Position 31851: 0.01597786809469402
Position 11980: 0.013818561090857013
Position 8757: 0.013252280937846075
Position 21193: 0.012784894573178837
Position 40869: 0.012751129219364924
Position 24955: 0.012398991118785936
Position 1588: 0.011978972742175527
Position 15652: 0.011452631337881502
Position 24873: 0.011118793843848847
Position 8468: 0.010960167254772281
Position 19742: 0.010873364883384333
Position 22156: 0.01078768729700404
Position 13371: 0.010696196621190555
Position 2463: 0.010190699003426748
Position 459: 0.00926127040044813
Position 27416: 0.009016302072698245
Position 37466: 0.008829564546957838
Position 12213: 0.008551291297862926
Position 31766: 0.008529466716084217
Position 9863: 0.008383419540151397
Position 3729: 0.008382371247241088
Position 6294: 0.007988228488206793
Position 2705: 0.007941013279678073
Position 23189: 0.007208049645133072
Position 12507: 0.007103654062058919
Position 25273: 0.00667026290646822
Position 10101: 0.006587729879060547
Position 27356: 0.005826141755484882
Position 8802: 0.005597560718484241
Position 11283: 0.005590420637442013
Position 24883: 0.005502456126195295
Position 21905: 0.005425776770654045
Position 1089: 0.005281597052956941
Position 22468: 0.0051568256504353795
Position 34460: 0.0048720104176049935
Position 8843: 0.004682564921710435
Position 20242: 0.0046223577969801664
Position 16761: 0.004470652678428486
Position 26755: 0.004288023521985941
Position 7369: 0.004254550166983382
Position 11860: 0.004236061233794092
Position 262: 0.0042330994954495925
Position 7042: 0.004160654793264283
Position 26825: 0.003991335538717572
Position 20504: 0.003740710064887284
Position 28205: 0.0035984011815278017
Position 4915: 0.0035863414038532593
Position 10328: 0.0035691104761474135
Position 32877: 0.0033597763334609863
Position 28859: 0.0030011675803170252
Position 37112: 0.002855667945055956
Position 15326: 0.00282788440035255
Position 272: 0.002792152413664698
Position 886: 0.0026526213093033884
Position 32052: 0.002643369185951635
Position 18422: 0.0025693119188404997
Position 30822: 0.0025318474782003077
Position 14180: 0.0025237767741030075
Position 26388: 0.002474599015734724
Position 27562: 0.0023662494839737053
Position 27062: 0.0023334454850524183
Position 26932: 0.0020963608775882024
Position 28115: 0.0020066352207466624
Position 20500: 0.0017752199663163535
Position 7021: 0.0017378224713040433
Position 17252: 0.0017060879803447808
Position 24563: 0.0016708672764347754
Position 5076: 0.0016648478624756405
Position 19637: 0.001660398089942377
Position 31949: 0.001633501704517795
Position 24990: 0.0016090166738201776
Position 9855: 0.0015008195188534923
Position 27790: 0.0014914588165866414
Position 30978: 0.0014766619582333624
Position 5167: 0.0013562042640988484
Position 6721: 0.0013442544886195771
Position 8109: 0.0013123351522295044
Position 1039: 0.0012874772695823694
Position 160: 0.0012454499073975306
Position 8791: 0.0012215675301765702
Position 30241: 0.0011488848305633256
Position 16194: 0.0011310847004320063
Position 6953: 0.0011253389153271193
Position 24835: 0.001117571510733967
Position 28175: 0.0011167407998962757
Position 22851: 0.0011059174257773347
Position 2072: 0.0009536443308227993
Position 2828: 0.0007850428437794351
Position 24188: 0.0007782712369824595
Position 22953: 0.0007397849126563618
Position 19763: 0.0006987179834010061
Position 26724: 0.0006820221762904304
Position 24391: 0.0006744112541361378
Position 6860: 0.0006107774194792803
Position 22130: 0.0006085360412152771
Position 4369: 0.000606219815251452
Position 5708: 0.0006047091233081357
Position 26767: 0.0005813787011828663
Position 22116: 0.0005813083160533222
Position 518: 0.000547900667788367
Position 30982: 0.0005380430920156393
Position 23993: 0.0005174480283938005
Position 30495: 0.00043517767283311314
Position 217: 0.00042396665148933195
Position 378: 0.0003275984406331391
Position 24171: 0.00022983536673079434
Position 1016: 0.00021937942654222316
Position 32774: 0.00018631744345392923
Position 23911: 0.00016956374414993006
Position 23199: 0.00015822698368562398
Position 25747: 0.00015565940434074025
Position 935: 0.00015438176753161003
Position 7773: 0.00015196022003167946
Position 26458: 0.0001485919090613377
Position 1007: 0.00013270254427317468
Position 1276: 0.0001297655811364707
Position 28657: 0.00012191222743124989
Position 1473: 0.00012104954733441081
Position 25715: 0.00011911796397087798
Position 23358: 0.00010381131011601125
Position 24352: 9.720012804612957e-05
Position 584: 8.715425410351191e-05
Position 9776: 8.0712980049744e-05
Position 849: 7.982134763883147e-05
Position 703: 7.945591951775448e-05
Position 4575: 7.434342204802534e-05
Position 21349: 7.335281128906106e-05
Position 9950: 5.535097802325912e-05
Position 397: 5.0063500024668655e-05
Position 158: 4.923849177957323e-05
Position 61: 4.796818658417146e-05
Position 1725: 4.7495675544503466e-05
Position 1496: 4.094373619630953e-05
Position 24348: 3.566633412744504e-05
Position 1695: 3.4894496197431994e-05
Position 1300: 2.754979785225356e-05
Position 1109: 2.4384522175109893e-05
Position 2005: 2.3369127361930965e-05
Position 706: 1.85690670321283e-05
Position 331: 1.4784843484787366e-05
Position 579: 1.1374315581294776e-05
Position 147: 1.0240317816972968e-05
Position 967: 8.576890106638023e-06
Position 471: 6.449390342767489e-06
Position 635: 6.3305276893778535e-06
Position 40: 4.96079716299807e-06
Position 153: 4.795165971648511e-06
Position 390: 3.978369283286869e-06
Position 692: 3.816812948553474e-06
Position 381: 3.0938943712741805e-06
Position 1165: 2.5677352653284547e-06
Position 1878: 2.210969998273614e-06
Position 441: 1.94461324232598e-06
Position 400: 1.7354505328585071e-06
Position 415: 1.3287538261394128e-06
Position 603: 1.2145134747975374e-06
Position 1098: 1.2118591168933025e-06
Position 728: 1.1580281566955718e-06
Position 367: 9.812499884251731e-07
Position 587: 8.96176411527476e-07
Position 1122: 8.75465966733697e-07
Position 854: 5.253221347447581e-07
Position 842: 4.742038035083786e-07
Position 444: 4.0605326415164573e-07
Position 516: 3.436877020914579e-07
Position 47: 3.188227635139176e-07
Position 1206: 2.0704376798983528e-07
Position 1539: 1.6904514360985904e-07
Position 761: 1.263534805158418e-07
Position 348: 1.215622674765417e-07
Position 5: 9.88301019620209e-08
Position 1507: 4.652600434748025e-08
Position 413: 4.049207950278901e-08
Position 718: 2.226284692253222e-08
Position 540: 7.403628578779437e-09
Position 1349: 2.1780879707807987e-09
Position 384: 4.5730693919453895e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 19424: 0.993352273792661
Position 28293: 0.9736724715963553
Position 9710: 0.910500916740101
Position 25426: 0.8814135435435876
Position 22029: 0.8581452246340446
Position 12102: 0.851594080525556
Position 23871: 0.7616526472785121
Position 24527: 0.6489831910365165
Position 32624: 0.6000749958002962
Position 26654: 0.2919167328604619
Position 26588: 0.29144995573338545
Position 21843: 0.277900870060407
Position 41283: 0.25360995308618434
Position 19832: 0.2498789464832113
Position 37641: 0.1476296002512715
Position 23838: 0.12421957969695903
Position 8642: 0.11172020852293212
Position 20090: 0.1081392628826099
