Gene = ASZ1
index = 105
Annotated 5SS: [  168   688  5287  7361 41826 42798 44538 45455 46513 47586 58912 60172]
Annotated 3SS: [  587  5163  7248 41713 42662 44412 45378 46455 47475 58805 60057 63774]
SMsplice 5SS: [  168   688  5287 41826 42798 44538 45455 47586]
SMsplice 3SS: [  587  5163 41713 42662 44412 45239 47475 58805]
top_k =  1000
Partition function (log Z): -30.852163945033276

Sorted 5' Splice Sites (High to Low Probability):
Position 168: 0.9770135481643066
Position 688: 0.9654311069873723
Position 5287: 0.8566348222024197
Position 7361: 0.4617539937609718
Position 11957: 0.07436366260527186
Position 13305: 0.0491123703677386
Position 11091: 0.03205937801357293
Position 5840: 0.028043000538210173
Position 5727: 0.017430924797741994
Position 4722: 0.016893908829537358
Position 146: 0.015203197488563167
Position 5069: 0.011164509218394129
Position 13438: 0.008775058696065933
Position 6235: 0.007286333146358786
Position 4118: 0.006722894816420994
Position 5263: 0.005934086190703578
Position 3377: 0.005786571444560279
Position 11460: 0.003132867913576239
Position 5104: 0.0021373728054368906
Position 6750: 0.002106309466995999
Position 12528: 0.0019530409502151555
Position 3372: 0.0018159323976480546
Position 4438: 0.0013831256967455849
Position 759: 0.001295372561886401
Position 7664: 0.0012438586226084115
Position 7357: 0.0010569145570699756
Position 4878: 0.0010179727384274004
Position 12198: 0.0009179312453252819
Position 1688: 0.0007132891087104251
Position 112: 0.0006672853320362196
Position 383: 0.0006217804551499211
Position 6278: 0.0006200408226605192
Position 1328: 0.0005965208205307704
Position 399: 0.0005875652933614139
Position 3344: 0.00045554042179767973
Position 464: 0.0004273182416476153
Position 7143: 0.0003995651331276507
Position 2359: 0.0003676724753630976
Position 2023: 0.00032819034104058196
Position 2922: 0.00030655661660570105
Position 266: 0.0002914485820544901
Position 377: 0.0002712627096271373
Position 731: 0.00026919595355709186
Position 502: 0.00023356631294471777
Position 3134: 0.0002308438863892256
Position 3116: 0.00016648743206754894
Position 9559: 0.00010845882580804603
Position 3432: 8.66092965219314e-05
Position 2182: 8.544258324765373e-05
Position 2861: 8.474005961918159e-05
Position 35: 8.123039071033477e-05
Position 982: 7.342262252685185e-05
Position 298: 4.9377068212490606e-05
Position 3591: 4.618713612849282e-05
Position 2431: 4.5248890789785344e-05
Position 264: 3.8923505709953636e-05
Position 161: 3.263589827293334e-05
Position 394: 2.9493009340284683e-05
Position 201: 2.563011275546846e-05
