Gene = PITHD1
index = 1033
Annotated 5SS: [ 309 1077 1537 7375 8019]
Annotated 3SS: [1032 1458 7269 7909 8869]
SMsplice 5SS: [ 309 1537 7375 8019]
SMsplice 3SS: [1458 7269 7909 9345]
top_k =  1000
Partition function (log Z): -3.7091794997970635

Sorted 5' Splice Sites (High to Low Probability):
Position 309: 0.9769459132429574
Position 7375: 0.8617534236955418
Position 8019: 0.8262298192498183
Position 1537: 0.6950215521145429
Position 1077: 0.2775996714599243
Position 5671: 0.26048704752770013
Position 6483: 0.13336323348174384
Position 7363: 0.04949812658771108
Position 658: 0.03598331813533274
Position 6478: 0.032262437980767174
Position 6113: 0.0291378151711818
Position 1197: 0.02782164157216793
Position 1589: 0.027235942947615298
Position 882: 0.021855415243471493
Position 5507: 0.021668988307295457
Position 5190: 0.016388304070299953
Position 7851: 0.015005302631123284
Position 344: 0.014687982907423125
Position 1282: 0.012494497369339717
Position 9153: 0.011976033846479925
Position 5471: 0.011910704456337481
Position 4735: 0.011531937398388831
Position 8885: 0.010798396085307839
Position 5650: 0.010676489036128625
Position 8942: 0.009379910605448804
Position 6585: 0.008591216967916404
Position 3479: 0.008590454882193309
Position 7505: 0.007474810451431812
Position 97: 0.006645480302393316
Position 3392: 0.005285516116915364
Position 7735: 0.005101396338567123
Position 631: 0.0037042201417905895
Position 6875: 0.0036775371132595964
Position 8465: 0.0036095110807286565
Position 1313: 0.003404604535818329
Position 6412: 0.0030908985669229824
Position 958: 0.0026235889462855773
Position 893: 0.002503209749813857
Position 3801: 0.0022890513920825503
Position 6493: 0.002266346537597833
Position 2289: 0.0022661368424046337
Position 2337: 0.002225100728915372
Position 6192: 0.0021442905562143863
Position 6604: 0.002018963283654563
Position 9015: 0.0019712293158485376
Position 1117: 0.0018485500014296483
Position 8185: 0.001708533673285523
Position 4876: 0.0016466953269975145
Position 7073: 0.0016091455794985418
Position 9234: 0.0014994577821471667
Position 1881: 0.0013887785961402383
Position 8038: 0.0011656754682934794
Position 4516: 0.0011447761628197407
Position 9157: 0.0009805892705572327
Position 6907: 0.000961988403103725
Position 5640: 0.0008951690961842201
Position 7983: 0.0007678093475732606
Position 5330: 0.0007487941903845113
Position 6115: 0.0006317346861021654
Position 3562: 0.0006222133377573719
Position 1201: 0.0006021772375271981
Position 75: 0.0005205090043082078
Position 8933: 0.0003919279024104239
Position 1251: 0.00023426934158435732
Position 4145: 0.00020011365089504503
Position 601: 0.00015270603397274344
Position 922: 0.00015129151093678424
Position 842: 0.0001394054674922214
Position 5931: 0.00013287278731407537
Position 580: 0.00013101352571869403
Position 847: 0.00012601497191819643
Position 1081: 0.00012161582820540045
Position 977: 0.00011875157832291552
Position 1092: 9.935834361488945e-05
Position 5369: 9.127077590116343e-05
Position 2152: 8.491324059768215e-05
Position 860: 8.065950616018113e-05
