Gene = DNAJC8
index = 457
Annotated 5SS: [  105  4104 18086 22455 23054 24684 27768 29279]
Annotated 3SS: [ 4001 18028 22387 22958 24611 27675 29202 31654]
SMsplice 5SS: [  105  4104 18086 23054 24684 27768 29279 31770]
SMsplice 3SS: [ 4001 18028 22958 24611 27675 29202 31654 31996]
top_k =  1000
Partition function (log Z): 0.9716286414591762

Sorted 5' Splice Sites (High to Low Probability):
Position 18086: 0.9998009641902149
Position 4104: 0.9909588604495142
Position 31770: 0.9848703689173648
Position 29279: 0.9636724613389004
Position 23054: 0.879921893298722
Position 27768: 0.8129741819017643
Position 24684: 0.8017494287383904
Position 105: 0.48231220248643075
Position 2895: 0.44465853013913675
Position 15861: 0.34183806609136913
Position 22455: 0.3072944396727446
Position 7534: 0.2788522545015173
Position 24297: 0.19324814710300012
Position 100: 0.17551609157075818
Position 11323: 0.17051326716900395
Position 11587: 0.11936133133870735
Position 12202: 0.096388526295097
Position 29626: 0.09009962502462839
Position 116: 0.08556807056084757
Position 31577: 0.08259067595869515
Position 245: 0.08025461431981501
Position 10319: 0.07651904664155056
Position 14576: 0.07545010815826576
Position 15853: 0.06755929503434441
Position 29994: 0.06154159100381332
Position 329: 0.03722349457698843
Position 628: 0.036243562570080184
Position 23630: 0.0335330639578253
Position 690: 0.028186506124703383
Position 28764: 0.02799250324972971
Position 27924: 0.024087292354386315
Position 29292: 0.022752773823444716
Position 583: 0.022686201776057367
Position 29904: 0.02227560604742559
Position 336: 0.017227532366335802
Position 249: 0.017217313260502427
Position 28740: 0.014972153862902465
Position 24739: 0.013113352611035741
Position 916: 0.01272091360335462
Position 28410: 0.012606130010404466
Position 29825: 0.011922791801308731
Position 29762: 0.010626747246151098
Position 29435: 0.008805063594585008
Position 28768: 0.008644895834850723
Position 606: 0.007706136105113777
Position 6375: 0.0074403343020062115
Position 28886: 0.0066158662015982465
Position 2866: 0.006115835265745485
Position 3038: 0.006104108952657606
Position 31497: 0.005931900444172142
Position 2447: 0.005538411779580097
Position 3514: 0.005219643242711517
Position 31787: 0.0048376997256195575
Position 708: 0.0046876538052956366
Position 237: 0.004491420521320379
Position 7546: 0.0043141285430172635
Position 378: 0.003946636310169663
Position 29910: 0.0035835091747051274
Position 1058: 0.0028930333436560035
Position 9124: 0.002835067093185002
