Gene = DUS4L
index = 475
Annotated 5SS: [  252   719  3229  7309  9864 11353 12635]
Annotated 3SS: [  629  3091  7186  9745 11229 12407 13354]
SMsplice 5SS: [  252  3229  7309 11353 12635]
SMsplice 3SS: [ 3091  7096 11127 12407 13354]
top_k =  1000
Partition function (log Z): 4.875186212621511

Sorted 5' Splice Sites (High to Low Probability):
Position 12635: 0.9890816887714727
Position 3229: 0.977498304829444
Position 7309: 0.8885338054592559
Position 11353: 0.681352751765065
Position 252: 0.4842294666480452
Position 1042: 0.366816706459237
Position 719: 0.3521713795891073
Position 1321: 0.3286523080777981
Position 9864: 0.30879190622789454
Position 1494: 0.27780120204852704
Position 11303: 0.2750653375806792
Position 894: 0.22480645510781033
Position 7775: 0.20548117205846508
Position 1326: 0.18814320132432522
Position 325: 0.17814018955488445
Position 3908: 0.16953650882307297
Position 12928: 0.16699266935892124
Position 6368: 0.09853335363973167
Position 102: 0.07085461388400445
Position 2824: 0.059549108618700004
Position 890: 0.054772763860077255
Position 9926: 0.04618045992576791
Position 6364: 0.044898537483014485
Position 706: 0.026664069098052762
Position 6953: 0.024527543515290733
Position 3194: 0.020829337324009888
Position 964: 0.02077282946880448
Position 11230: 0.019655645755997393
Position 9746: 0.018034774594914246
Position 13186: 0.016866264973992313
Position 11877: 0.015132152473271704
Position 13537: 0.01367778046989183
Position 8661: 0.013078091105655366
Position 394: 0.010861355582355773
Position 1214: 0.009910550401536922
Position 2724: 0.00914044889374705
Position 294: 0.008767905831426942
Position 8763: 0.008687019649263121
Position 9440: 0.008560280761255817
Position 12323: 0.0070998045233650695
Position 13152: 0.007077895280599675
Position 1105: 0.006244938238700399
Position 6961: 0.006095394671219932
Position 446: 0.005782254063743244
Position 12015: 0.005328023085824013
Position 12025: 0.005293778070478189
Position 1101: 0.005286441628979876
Position 1554: 0.005252647944743476
Position 2779: 0.004456485766124134
Position 4190: 0.004351356339915681
Position 2786: 0.00393687325164454
Position 1951: 0.0036001807592422183
Position 2237: 0.003334873201885327
Position 9685: 0.003131049085255374
Position 349: 0.0027805834692460614
Position 898: 0.002492729285581129
Position 824: 0.002426289461885786
Position 1359: 0.0020740540016641
Position 12646: 0.0017644082535936054
Position 13497: 0.0016772328325045593
Position 12289: 0.0015207599645894905
Position 6427: 0.0014555118751351593
Position 8679: 0.0014414301821343918
Position 732: 0.0014200659645508232
Position 126: 0.0013591212134564479
Position 3989: 0.0013416617070326183
Position 9402: 0.0011879927196253527
Position 11247: 0.0009967944705119728
Position 11294: 0.0008820207016767666
Position 2886: 0.000871289766962329
Position 6421: 0.0007173683095059457
Position 1845: 0.0006308904780051339
Position 4765: 0.0005570185795755992
Position 3215: 0.0005395047211272177
Position 12057: 0.0004502993205836301
Position 1000: 0.00044019145807606063
Position 9567: 0.0003801199036859581
Position 7796: 0.0003730536686191327
Position 1487: 0.0003377219697628575
Position 7622: 0.00026837299122893624
Position 12343: 0.00026332192833498143
Position 12565: 0.00023866205498823995
Position 285: 0.000200734754807447
Position 11829: 0.0001641202196332285
Position 809: 0.00015594589396772138
Position 3576: 0.00013237133958241074
Position 534: 0.00010507104032155456
Position 695: 9.987082269224648e-05
Position 3300: 9.80573792761927e-05
Position 9171: 8.439458462866707e-05
Position 12693: 8.299586324096519e-05
Position 1313: 8.233437444075472e-05
Position 3200: 7.155350341284163e-05
Position 12654: 6.0852593614203114e-05
Position 13156: 5.294653357102404e-05
Position 3674: 4.047157261452992e-05
Position 499: 3.28504207434494e-05
Position 676: 3.21980348850243e-05
Position 1134: 2.565233390586736e-05
Position 13902: 2.07640985683571e-05
Position 885: 1.9924620848716883e-05
Position 113: 1.5716047511381724e-05
Position 518: 4.684323378796019e-06
Position 723: 3.337225177655707e-06
Position 132: 2.4527374666311763e-06
Position 4446: 1.8164064282228365e-06
Position 168: 1.7917151345201943e-06
Position 4201: 1.7014177061740464e-06
Position 387: 1.5366596245985231e-06
Position 482: 1.5351597969448926e-06
Position 567: 1.5129755489980513e-06
Position 189: 1.0417071564603586e-06
Position 266: 1.0057793104935738e-06
Position 4268: 7.874856423303624e-07
Position 7206: 4.7423480246380923e-07
Position 7187: 4.2642105289655275e-07
Position 398: 3.7835992937913207e-07
Position 12902: 3.6634246476937355e-07
Position 364: 3.119145452646706e-07
Position 629: 2.4763782105495327e-07
Position 12610: 2.101882247624269e-07
Position 936: 1.9248653018875143e-07
Position 232: 1.5625764092212373e-07
Position 229: 1.360681987231394e-07
Position 981: 1.229839566564045e-07
