Gene = DNAJC21
index = 456
Annotated 5SS: [  324  4316  6241  6674  8038  9417 11591 15433 16211 20750 24409]
Annotated 3SS: [ 4221  6116  6550  7732  9264 11502 15273 16167 20576 24332 24959]
SMsplice 5SS: [  324  2169  4316  6241  6674  7644  8038  9417 11591 16211 20085 20750
 24409]
SMsplice 3SS: [ 2080  4221  6116  6550  7551  7732  9264 11502 16128 19949 20576 24332
 24959]
top_k =  1000
Partition function (log Z): 17.309909755117907

Sorted 5' Splice Sites (High to Low Probability):
Position 6241: 0.99833726427908
Position 324: 0.9935327405844643
Position 20750: 0.9911539182035137
Position 11591: 0.9910044989530191
Position 16211: 0.9770333493318334
Position 6674: 0.9674759661304831
Position 7644: 0.7787130177524575
Position 24409: 0.752858258858257
Position 8038: 0.7235812078908284
Position 4316: 0.7207578612213832
Position 9417: 0.7102161231595555
Position 2169: 0.6657379429044515
Position 20085: 0.661632052043436
Position 1714: 0.2628014870168115
Position 9343: 0.2561941150994917
Position 8047: 0.17988587467602565
Position 18611: 0.14987217078068635
Position 23093: 0.11939902757095089
Position 1552: 0.1185206845449601
Position 1513: 0.11381028353458549
Position 9091: 0.10909185706974198
Position 20491: 0.1080489248103232
Position 23375: 0.10717781058843329
Position 8483: 0.09369436949203612
Position 13001: 0.08906151280089405
Position 1497: 0.08266875614034487
Position 1500: 0.07998193260189404
Position 11172: 0.07317266653414917
Position 15433: 0.0699290325600834
Position 106: 0.06714517513479056
Position 11937: 0.06377631659621026
Position 23948: 0.058858910206621096
Position 769: 0.05662458164226007
Position 11406: 0.044108789811010365
Position 11126: 0.043936686255915486
Position 21587: 0.034555285725756134
Position 21611: 0.03370394184531245
Position 21873: 0.03282442976132876
Position 799: 0.029489401813952043
Position 17176: 0.026628254238479157
Position 8099: 0.02642659647957274
Position 7913: 0.025284139451085357
Position 8817: 0.024671574659344588
Position 1921: 0.02427878718999576
Position 5748: 0.023460103166438123
Position 24735: 0.01845991404523349
Position 976: 0.016216494876444384
Position 18280: 0.015959509844343148
Position 15064: 0.01578003808765606
Position 15030: 0.014074480783780511
Position 4779: 0.013887853685433967
Position 13898: 0.01347035849934168
Position 1607: 0.01319641763470136
Position 10166: 0.012460530910616795
Position 25108: 0.012241400145149142
Position 21266: 0.010879059966259184
Position 7285: 0.0093217893862694
Position 13492: 0.009103295883406616
Position 960: 0.007397132363196317
Position 24493: 0.007152966812903561
Position 7901: 0.007129626274631418
Position 14289: 0.00707319803912378
Position 21427: 0.006984360548448894
Position 8741: 0.006939349179279096
Position 791: 0.006815776128371265
Position 20301: 0.006751168742001915
Position 3299: 0.006686024426243814
Position 15314: 0.0065162454413023405
Position 19779: 0.006387346195952892
Position 7438: 0.006307305602654874
Position 5829: 0.005710103065900839
Position 3258: 0.005026217834385632
Position 5220: 0.004812459691936399
Position 817: 0.004582680093701058
Position 928: 0.004186353060233572
Position 17731: 0.004157541824350771
Position 11324: 0.0041019054043883495
Position 8074: 0.0038676188319467625
Position 16647: 0.003810294439750578
Position 4963: 0.0037751164508682475
Position 16008: 0.003667197560236979
Position 21551: 0.003456090763518925
Position 9952: 0.0032138908186248377
Position 25084: 0.0031293348147993583
Position 5531: 0.002874419813222921
Position 3966: 0.0028632272779342076
Position 18667: 0.0027416899571214735
Position 6871: 0.002738321009738962
Position 8068: 0.002620520384596765
Position 1613: 0.0024304625058599685
Position 10592: 0.002224622725525517
Position 11212: 0.002067161602989927
Position 14989: 0.0020042918008045425
Position 4916: 0.0019995457180730586
Position 951: 0.001927237927982516
Position 1439: 0.0019106947488809894
Position 6869: 0.0018142696986967026
Position 1888: 0.001741271268907419
Position 7394: 0.0017366324148080118
