Gene = PPOX
index = 1058
Annotated 5SS: [ 202  525  825 1077 1718 2167 2774 3311 3615 4110 4360 4540]
Annotated 3SS: [ 429  689  960 1584 2021 2582 3249 3495 3998 4209 4496 4623]
SMsplice 5SS: [ 202  525  825 1077 2167 2774 4360]
SMsplice 3SS: [ 429  689  944 2002 2582 4209 4496]
top_k =  1000
Partition function (log Z): 5.374348257186314

Sorted 5' Splice Sites (High to Low Probability):
Position 525: 0.9989038855279275
Position 4360: 0.9081332036638351
Position 825: 0.8848151018284962
Position 2167: 0.8086999918319596
Position 1077: 0.7583872908038719
Position 202: 0.5216179294474722
Position 2774: 0.37784584394093
Position 4110: 0.31035402860300654
Position 263: 0.3101622824185205
Position 1542: 0.27643334036395295
Position 2711: 0.25065603857813207
Position 338: 0.141824178673953
Position 3615: 0.13663270151002255
Position 3311: 0.07970611133254339
Position 4052: 0.07871760584449267
Position 4540: 0.059251766063099856
Position 2661: 0.055232359668787895
Position 1718: 0.04072479361924588
Position 2532: 0.027244358189712665
Position 2703: 0.025943377822314408
Position 1298: 0.019619269125925466
Position 3128: 0.018234617892840827
Position 2735: 0.014649810602928002
Position 90: 0.009180593630334686
Position 854: 0.006846194359765894
Position 164: 0.006231887677653314
Position 25: 0.00501670031105198
Position 3774: 0.00385133944754412
Position 3175: 0.0034536824177279716
Position 2093: 0.0025439304727389385
Position 4168: 0.002207801889518548
Position 4104: 0.0017106625497201053
Position 899: 0.0016002425118527798
Position 1029: 0.0016000975147529752
Position 259: 0.0015541717946453192
Position 3351: 0.0015427674251416294
Position 3250: 0.0014928849036305698
Position 3379: 0.0013785136656924747
Position 4431: 0.0012442393550973355
Position 1433: 0.0011375183539227747
Position 50: 0.0010186666678556392
Position 2490: 0.00099676085817817
Position 2793: 0.0009235898363839484
Position 3452: 0.0008978552548687876
Position 754: 0.0008900414350736632
Position 709: 0.0007244137933837818
Position 1250: 0.0006839135572522538
Position 2380: 0.0006564895819535918
