Gene = FRRS1
index = 566
Annotated 5SS: [  497 16897 17221 18500 23615 25001 27708 36144 37301 46260 48384 50208
 53376 53689 54960 56596]
Annotated 3SS: [16791 17024 18362 23519 24852 27524 36044 37152 46145 48267 50120 53277
 53629 54843 56533 56672]
SMsplice 5SS: [  497 16897 17221 18500 23615 36144 37301 40577 46260 48384 50208 52411
 53376 53689 53852 54988 56596]
SMsplice 3SS: [16791 17024 18362 23519 36044 37152 40494 46145 48267 50120 52305 53277
 53570 53772 54843 56533 56672]
top_k =  1000
Partition function (log Z): 4.911661251669305

Sorted 5' Splice Sites (High to Low Probability):
Position 46260: 0.9962831224892378
Position 50208: 0.9816845214867086
Position 16897: 0.9741808116250625
Position 53689: 0.9593141789846124
Position 23615: 0.9498706920472638
Position 37301: 0.9012585085596577
Position 18500: 0.9010693138105476
Position 497: 0.8750555724531017
Position 36144: 0.8619753885832553
Position 17221: 0.7954338917056433
Position 56596: 0.783990883651199
Position 53376: 0.7329264683442422
Position 48384: 0.6711452243028728
Position 52411: 0.6316555798537405
Position 54988: 0.6175751349254794
Position 13422: 0.5682759938681863
Position 30431: 0.552313936623878
Position 53852: 0.5510663817942926
Position 40577: 0.4435935931338289
Position 55350: 0.43817555687564946
Position 40588: 0.43540788933174873
Position 48623: 0.4215589499959495
Position 24389: 0.30382293952998013
Position 54960: 0.27195316085998594
Position 26969: 0.19765705738851166
Position 52082: 0.19199485341066738
Position 27639: 0.17311473300944183
Position 17181: 0.17297878119629104
Position 4373: 0.1707544672443007
Position 50521: 0.15459758035202492
Position 2240: 0.152852348378283
Position 54439: 0.13875297122556549
Position 40811: 0.1288756397627576
Position 48388: 0.12255430761039976
Position 18875: 0.09954489749331097
Position 25123: 0.09326335929260886
Position 54022: 0.08719477140587453
Position 56086: 0.07733750471389682
Position 908: 0.06756234680060243
Position 17662: 0.06715364715208366
Position 25001: 0.0635040118369723
Position 27664: 0.061699736917318754
Position 20584: 0.05950526647987368
Position 21648: 0.05830688747757957
Position 5423: 0.05794573642895551
Position 38149: 0.05110090990586427
Position 22657: 0.04873933816176011
Position 7289: 0.04027879605119647
Position 5926: 0.03992152779857188
Position 38117: 0.03982634334565528
Position 6432: 0.038861327644306325
Position 2208: 0.03822174021357702
Position 11600: 0.034872756109992596
Position 54996: 0.03228652610413274
Position 28921: 0.028804413948254
Position 18711: 0.027863503123760666
Position 27708: 0.02373617115218428
Position 608: 0.023187485602832954
Position 54641: 0.02234273346844855
Position 54948: 0.022180789649757938
Position 18543: 0.02153992975800013
