Gene = SRFBP1
index = 1331
Annotated 5SS: [  108 12324 13427 32710 57381 58842 60447]
Annotated 3SS: [12234 13353 32637 57298 58126 60408 64980]
SMsplice 5SS: [  108 12324 13427 32710 54057 57381 58271]
SMsplice 3SS: [12234 13353 32637 53935 57298 58126 64980]
top_k =  1000
Partition function (log Z): -23.944192553183022

Sorted 5' Splice Sites (High to Low Probability):
Position 13427: 0.9807892455516595
Position 12324: 0.9242894698638489
Position 108: 0.8132659874568517
Position 32710: 0.6349901129138177
Position 827: 0.39255475601471246
Position 19080: 0.26446271731146714
Position 16357: 0.25134025366459867
Position 851: 0.2181387241180847
Position 16502: 0.18771720252573196
Position 9084: 0.12191804951703843
Position 9195: 0.09386646025798064
Position 359: 0.09145041383286724
Position 261: 0.08374764187969239
Position 522: 0.08151109697944771
Position 12338: 0.06280119961041647
Position 6044: 0.06150168823741942
Position 9810: 0.04874484254970396
Position 2647: 0.044981564614847896
Position 32921: 0.04452651614232159
Position 285: 0.0429830342796062
Position 9119: 0.04204341671959484
Position 4470: 0.029062893030662253
Position 3948: 0.021567424234228832
Position 1211: 0.02036273560526845
Position 6467: 0.017505679649084453
Position 195: 0.01451774022841407
Position 17489: 0.011439564302516093
Position 415: 0.0104575317706136
Position 4480: 0.009966840753412504
Position 13845: 0.008953822190795737
Position 13443: 0.008524027877573413
Position 16071: 0.00845946316007425
Position 4262: 0.007752177223081758
Position 3656: 0.007220064628686671
Position 934: 0.006922833097568089
Position 12466: 0.0064473091873348196
Position 7719: 0.006246894343439208
Position 294: 0.0061232134080472025
Position 1207: 0.004882094475453219
Position 12889: 0.0046843474231394065
Position 16099: 0.0035055522264665177
Position 9110: 0.0034745476633455258
Position 13176: 0.0033939442610037146
Position 3322: 0.003276561767672001
Position 13447: 0.0032475158142513424
Position 17891: 0.0032064717024007064
Position 13190: 0.0032037202448470894
Position 596: 0.0031662248794869876
Position 973: 0.003034637425530662
Position 1172: 0.002433352831274739
Position 434: 0.002320258780591517
Position 439: 0.0021178004849982785
Position 4484: 0.002105919341642908
Position 3515: 0.002067152569174944
Position 400: 0.0018690168682826828
Position 18123: 0.0016862687531472888
Position 13455: 0.0016224124430086004
Position 567: 0.0013947825205604242
Position 18683: 0.0013525493818238989
Position 12864: 0.0013294430170149231
Position 17420: 0.0010645194232368658
Position 13439: 0.0009559624668223624
Position 18945: 0.0009544761354606449
Position 13532: 0.0008480964869336858
Position 15785: 0.000720328866151226
Position 380: 0.0006553936820042349
Position 218: 0.0006261275305118764
Position 15907: 0.0005833773746102128
Position 17878: 0.0005522998666800907
Position 19154: 0.00045199808332344006
Position 16164: 0.00039536637531851533
Position 13467: 0.0003734443150077019
Position 14125: 0.00032344772414425707
Position 412: 0.0003075760817101384
Position 17962: 0.0002820689013514834
Position 2356: 0.0002261765132446816
Position 576: 0.00022596692150165582
Position 144: 0.0002036887242304984
Position 13783: 0.00019098889207388238
Position 18970: 0.00018907824568177077
Position 865: 0.00018249606684357628
Position 200: 0.00016537362978913167
Position 16036: 0.00016185391004591815
Position 19849: 0.00014792060111354694
Position 175: 0.0001468895902342969
Position 376: 0.0001412778961861932
Position 737: 0.00012083680754247646
Position 18407: 0.0001181964965670027
Position 13871: 0.00011561923353979145
Position 22643: 0.00011453080403238667
Position 2941: 0.0001016637912985596
Position 20229: 8.599162569375038e-05
Position 19326: 8.592127171541454e-05
Position 277: 8.39751634590417e-05
Position 1124: 7.456001658924955e-05
Position 1079: 5.421935579297611e-05
Position 449: 4.4717049193110366e-05
Position 531: 3.8465608099527376e-05
Position 474: 3.4823823815873004e-05
Position 1420: 3.33879380407177e-05
Position 1360: 3.1354371353639576e-05
Position 2408: 2.9931069383725614e-05
Position 30: 2.9198016467658065e-05
Position 232: 2.889878969374207e-05
Position 2302: 2.6443076327057387e-05
Position 1039: 1.8681461832081278e-05
Position 1250: 1.8071832112039433e-05
Position 17: 1.7188418599761488e-05
Position 549: 1.5335961356751067e-05
Position 782: 1.4545093493995542e-05
Position 2737: 1.2070778434256775e-05
Position 1226: 1.1920957017456816e-05
Position 621: 1.100119998231301e-05
Position 172: 9.02759427988799e-06
Position 2595: 8.98733794846385e-06
Position 929: 8.637220555712695e-06
Position 602: 8.122410985213582e-06
Position 1451: 7.87265364797343e-06
Position 307: 7.81692557787098e-06
Position 249: 7.350044499103473e-06
Position 907: 7.3378043168009775e-06
Position 1466: 7.2533600664258065e-06
Position 331: 6.4231350736062884e-06
Position 913: 6.2138393320436074e-06
Position 215: 5.505041351567965e-06
Position 552: 4.67423143305331e-06
Position 327: 4.591803818443198e-06
Position 742: 4.462282830951226e-06
Position 305: 4.370548023913357e-06
Position 2985: 4.158244109497626e-06
Position 36: 4.056147996478987e-06
Position 363: 2.8982647711108606e-06
Position 13451: 2.6849013259397805e-06
Position 895: 2.48990179156769e-06
Position 600: 2.006140180774969e-06
Position 1764: 1.372361008196223e-06
Position 958: 1.2287584276292778e-06
Position 1128: 9.443147096633926e-07
Position 2268: 9.363706331964003e-07
Position 735: 7.982456186016e-07
Position 819: 3.45100489151016e-07
Position 649: 1.907131505217977e-07
Position 404: 1.4587260848703283e-07
Position 583: 1.3485692741018876e-07
Position 13839: 1.0649756769483277e-07
Position 690: 5.755082092943293e-08
Position 14622: 1.2878981466103751e-08
Position 13737: 5.172721434541102e-09
Position 13863: 3.913968372674519e-09
Position 1052: 6.452614970580109e-10
Position 744: 2.8096634927378127e-10
Position 13500: 6.004815413509767e-13
Position 501: 2.123880032479256e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 13353: 0.9899686778947434
Position 12234: 0.9895413799367225
Position 32637: 0.8997107271974815
Position 690: 0.4217157636257025
Position 35187: 0.38072024751611133
Position 16270: 0.33846678612647085
Position 33134: 0.29879638154002736
Position 8977: 0.2613024741579586
Position 18846: 0.1876690302656296
Position 284: 0.14776220197693868
Position 596: 0.08685486527678524
Position 18967: 0.08636133353705265
Position 735: 0.059795799254487574
Position 5979: 0.053512627954627176
Position 16240: 0.0514429115193625
Position 9662: 0.048744842549703966
Position 2513: 0.043383780388963115
Position 628: 0.039402474012951376
Position 4431: 0.036405583795660224
Position 19258: 0.03182999229336879
Position 1007: 0.018457238507894266
Position 16401: 0.01832740885339331
Position 6306: 0.01750567964908446
Position 3692: 0.017217800438436712
Position 16445: 0.01664741723335686
Position 16344: 0.014077782969195063
Position 1102: 0.008962037128113116
Position 5861: 0.007989060282792376
Position 22459: 0.007534927500699758
Position 3514: 0.007228518681407768
Position 17002: 0.007227091540741169
Position 474: 0.007121288333999634
Position 13705: 0.007112267207691391
Position 17379: 0.006972901241631302
Position 631: 0.006970348316852331
Position 13084: 0.006878005441470508
Position 7678: 0.006246894343439208
Position 17788: 0.005318542320041226
Position 15783: 0.004946416994824543
Position 3175: 0.00493765488643531
Position 18936: 0.00478169716025005
Position 15798: 0.004600160897034499
Position 12813: 0.004480244984691288
Position 30286: 0.004321907649224711
Position 13248: 0.004189888485450513
Position 19182: 0.004033333583733117
Position 12401: 0.0040031695266455605
Position 4174: 0.00384135658008346
Position 20905: 0.003333463751664144
Position 16387: 0.0033246287107625413
Position 19752: 0.003293733192246425
Position 13730: 0.0030839945715837496
Position 3911: 0.002961117191311767
Position 4434: 0.0029078665926826593
Position 600: 0.0026746448996012753
Position 385: 0.0025788942603821165
Position 704: 0.0025469920317734
Position 4147: 0.0025007809358059503
Position 15590: 0.0022420095440952217
Position 16036: 0.001971760079204464
Position 4108: 0.0019246553624477855
Position 17399: 0.0017651037275455428
Position 21722: 0.001762997018611958
Position 16482: 0.0017090872478476348
Position 2401: 0.001659706710487318
Position 18571: 0.0016252797511761734
Position 13273: 0.0015262929465454096
Position 21952: 0.0014201095031218022
Position 3821: 0.001377080620548312
Position 20784: 0.0013693360177405058
Position 4406: 0.0013075870821193836
Position 18810: 0.0012644590406352535
Position 17767: 0.00126314051119499
Position 20316: 0.001210587794602634
Position 13932: 0.0011955736131437171
Position 227: 0.0011477933497600276
Position 12622: 0.0011031868991478785
Position 16066: 0.0009964227109491987
Position 15967: 0.0009396173399296937
Position 18051: 0.0009335952980247123
Position 16018: 0.0008307904284322932
Position 17463: 0.0008137722780364521
Position 20134: 0.0007844782899217868
Position 16965: 0.0006864475809787434
Position 17240: 0.0006727188263660776
Position 22761: 0.0006395560448509292
Position 17339: 0.0005791879438635612
Position 15695: 0.0005322885790488538
Position 16866: 0.0004950021915593599
Position 25878: 0.0004898494223087778
Position 958: 0.0004416977098941544
Position 15921: 0.0004396275743029888
Position 14399: 0.0004358427119023018
Position 12850: 0.0004305605974488934
Position 13386: 0.0004120473841222259
Position 3361: 0.00039053317491559756
Position 19226: 0.0003790796661730024
Position 19786: 0.00035251949970750826
Position 20508: 0.0003522556869311879
Position 14088: 0.0002742275543932167
Position 15048: 0.00027026369462922336
Position 14489: 0.0002480537946426072
Position 17424: 0.00023874532161127597
Position 21337: 0.0002350306106183936
Position 15137: 0.0002050027813093863
Position 15997: 0.0001906386126153415
Position 16501: 0.00017681484722505519
Position 19812: 0.00017067204530013086
Position 15906: 0.0001613238599189537
Position 17966: 0.00015609696680255811
Position 2169: 0.00015048352397558184
Position 21422: 0.00013349498542832635
Position 18197: 0.00012750485892234917
Position 15570: 0.00011540184209490745
Position 16712: 9.946039061048996e-05
Position 19618: 9.212900548535671e-05
Position 13822: 9.193716507487525e-05
Position 19057: 8.487982054102888e-05
Position 18350: 8.472826459521516e-05
Position 14422: 8.0119315239857e-05
Position 2260: 7.210860250651702e-05
Position 355: 7.062237903585805e-05
Position 1296: 6.868254964010423e-05
Position 19007: 6.762323679236917e-05
Position 15737: 6.458810915448574e-05
Position 18783: 5.959424186133014e-05
Position 16551: 5.815611525727173e-05
Position 16715: 5.695756935711219e-05
Position 346: 4.8155308702861656e-05
Position 14678: 4.679129050095735e-05
Position 13074: 4.412857074469211e-05
Position 18648: 4.277766848564882e-05
Position 14288: 3.381987947985469e-05
Position 514: 3.302576162582028e-05
Position 18110: 3.190771148101813e-05
Position 2787: 3.155479996703745e-05
Position 2851: 3.1182747628287784e-05
Position 13936: 2.847578978483082e-05
Position 19473: 2.6111096103677162e-05
Position 17648: 2.4510073307123766e-05
Position 13960: 2.3824355982856624e-05
Position 14234: 2.344355103732582e-05
Position 17803: 2.3437844378036942e-05
Position 2279: 2.131299129647532e-05
Position 18813: 1.69545654338677e-05
Position 2736: 1.590136244733277e-05
