Gene = OCLN
index = 982
Annotated 5SS: [  368 12003 17528 21818 42548 52828 55810 59294]
Annotated 3SS: [11884 16848 21655 42401 52611 55637 59251 61277]
SMsplice 5SS: [  609 12003 21818 42548 52828 55810]
SMsplice 3SS: [11884 21655 42401 52611 55637 61277]
top_k =  1000
Partition function (log Z): -23.44908784235416

Sorted 5' Splice Sites (High to Low Probability):
Position 12003: 0.9981289244909339
Position 21818: 0.9970051057584088
Position 609: 0.4961064644559671
Position 2724: 0.4923101590421445
Position 3079: 0.3415806032336075
Position 3440: 0.31707871316961156
Position 14071: 0.22664340033162061
Position 14986: 0.21531088140699878
Position 549: 0.21287412665903874
Position 20388: 0.11554215675702204
Position 419: 0.11110503961142286
Position 368: 0.10349744426109388
Position 17528: 0.07792503361505886
Position 2437: 0.07472409207290791
Position 2749: 0.0733581165538946
Position 536: 0.06493084774050736
Position 17097: 0.06360196259140788
Position 7061: 0.061412640873084394
Position 3124: 0.06119587005581641
Position 225: 0.05950468187101662
Position 3031: 0.05490062927369577
Position 6665: 0.050030851836015126
Position 15878: 0.039485286264703094
Position 17330: 0.03711875176887784
Position 2450: 0.036047427886952275
Position 12256: 0.01950479970834129
Position 12246: 0.016219902063901757
Position 1268: 0.005481589857528765
Position 1408: 0.004647246724967507
Position 2676: 0.0035258653964655427
Position 2174: 0.0034118685123741077
Position 331: 0.003257996522002058
Position 2560: 0.0030501119735467266
Position 14218: 0.002697432313604912
Position 21999: 0.002520890472667159
Position 2362: 0.0023874998513058734
Position 524: 0.002311168808611926
Position 12900: 0.0017870817902183231
Position 12007: 0.0016303222772510312
Position 15079: 0.0014244247300983037
Position 17018: 0.0013713704544042332
Position 2938: 0.0013520273772961876
Position 17023: 0.0012366390085665204
Position 175: 0.0012112564465582008
Position 14451: 0.0011853045135525545
Position 12462: 0.0010928506741810595
Position 3002: 0.0010612000523028467
Position 2682: 0.0010144580090814747
Position 690: 0.0009419489257574659
Position 16721: 0.0007997414419612696
Position 25: 0.0006575720419257327
Position 1177: 0.0006047609482941664
Position 68: 0.0005866127159242762
Position 585: 0.0005340820106506254
Position 773: 0.0005264020619458875
Position 25336: 0.000521093525121556
Position 415: 0.000478171175914948
Position 16988: 0.0002787260420200236
Position 21745: 0.00026356007121080795
Position 2813: 0.0002464316915726194
Position 25896: 0.00024017640723772167
Position 12223: 0.000181931429059863
Position 520: 0.00017530632887620615
Position 2130: 0.00017423422673117057
Position 22220: 0.00015955103602593648
Position 15594: 0.00015379378337421602
Position 2961: 0.00014191849647413399
Position 15115: 0.00013837447822277887
Position 1718: 0.00013414142502620756
Position 150: 0.00013192789051579896
Position 12369: 0.00011470007862780529
Position 1744: 0.00011325043704760011
Position 1379: 0.0001077571282549152
Position 22174: 8.345791053771548e-05
Position 13725: 8.058131401851613e-05
Position 12337: 7.719416446317884e-05
Position 1515: 7.438445733873359e-05
Position 444: 5.821964552027185e-05
Position 13239: 5.6572693689045875e-05
Position 12317: 5.339988132233511e-05
Position 3010: 5.1455480564085956e-05
Position 2780: 4.465982377785796e-05
Position 3291: 4.246239483518521e-05
Position 15550: 3.992643250796805e-05
Position 3086: 3.975576266679091e-05
Position 1232: 2.2375881564424784e-05
Position 1991: 2.2236639106069155e-05
Position 2616: 1.6476880658659386e-05
Position 2529: 1.5659993558161254e-05
Position 2048: 1.4946213860134975e-05
Position 65: 1.4175617895327193e-05
Position 1362: 1.2155449014358004e-05
Position 1217: 1.1570979821829745e-05
Position 1257: 9.088946084004572e-06
Position 447: 4.491897851550131e-06
Position 233: 3.5820655337486066e-06
Position 177: 2.6614173970879355e-06
