Gene = HP1BP3
index = 662
Annotated 5SS: [   40  6344  6877 10092 13238 15759 19105 21312 29523 36966 39145 41146]
Annotated 3SS: [ 6147  6776  9937 13077 15614 19023 21156 29431 36805 39032 41031 41596]
SMsplice 5SS: [  503  6877 13238 15759 19105 21312 29523 39145 41146 41945]
SMsplice 3SS: [ 6776 13077 15614 19023 21156 29431 39032 41031 41596 43513]
top_k =  1000
Partition function (log Z): 5.006868290973751

Sorted 5' Splice Sites (High to Low Probability):
Position 39145: 0.9949380211593924
Position 41146: 0.9901751542694331
Position 6877: 0.9854055525758421
Position 29523: 0.9675891365987265
Position 19105: 0.9647399837916127
Position 15759: 0.871674427156118
Position 21312: 0.8601888278724944
Position 503: 0.5401367911723892
Position 14732: 0.50502230206949
Position 39798: 0.5040298364474829
Position 41945: 0.43331292978803904
Position 10092: 0.40292590729801714
Position 6339: 0.30367156958447017
Position 41489: 0.24570335178935152
Position 11104: 0.243374227783543
Position 10965: 0.2069721231398898
Position 8096: 0.19308667062151294
Position 24460: 0.16826357929292288
Position 36922: 0.15239662756248273
Position 6344: 0.1520841429792874
Position 770: 0.14047850537076056
Position 37835: 0.13961701304738758
Position 436: 0.12102983394832428
Position 15269: 0.11767528124660692
Position 41888: 0.11497132930639403
Position 4593: 0.10976594698464463
Position 7302: 0.10515050233850169
Position 36966: 0.10051125420097931
Position 40: 0.09653117222714802
Position 498: 0.08330104270067747
Position 31795: 0.08196250539341164
Position 6270: 0.08154739371483076
Position 31888: 0.07660108431144134
Position 31051: 0.07027926860307789
Position 40955: 0.06727823026978169
Position 20523: 0.06574032313523252
Position 27548: 0.0653881210047264
Position 688: 0.06176414341884916
Position 120: 0.06146888263655959
Position 11581: 0.06040360982587808
Position 4578: 0.04492706339545409
Position 11089: 0.0394906677849581
Position 42270: 0.03801769321552949
Position 24623: 0.033169479579240525
Position 5800: 0.03308265469641223
Position 29503: 0.03206865783326169
Position 5318: 0.02887197160833652
Position 11577: 0.028858058501643878
Position 39358: 0.028158457797784347
Position 39434: 0.02555511380939388
Position 370: 0.024971694474032743
Position 43287: 0.022160622147723106
Position 24417: 0.020929736659795972
Position 2568: 0.020313359015485692
Position 12053: 0.019970678277861954
Position 1286: 0.019657272280893534
Position 41832: 0.019130963634458386
Position 5495: 0.018840843544151158
Position 14634: 0.018733585550760407
Position 15779: 0.01793926562868842
Position 12103: 0.01729663284970578
Position 15772: 0.017107625314139348
Position 10013: 0.016306442623132775
Position 37899: 0.012938529989601058
Position 11097: 0.012070606917659996
Position 25997: 0.0114183341800177
Position 4622: 0.010189761058107136
Position 31812: 0.01012145959131103
Position 19632: 0.01005384708667778
Position 39528: 0.009534624496042338
Position 11093: 0.00940677307781737
Position 39334: 0.00924349289398501
Position 41910: 0.00915526785971356
Position 20978: 0.00857435345069213
Position 17076: 0.008418160281234363
Position 24307: 0.008301494225424073
Position 793: 0.007219938952430786
Position 40635: 0.007210624469637888
Position 25811: 0.0069822423327010885
Position 4365: 0.006787790817564388
Position 9851: 0.006362834351879277
Position 476: 0.006328776492255878
Position 40376: 0.005551614963806574
Position 6334: 0.005379584961355515
Position 39345: 0.004957148512838831
Position 1034: 0.004649185830616508
Position 42283: 0.004541704122116068
Position 41156: 0.004412217641224859
Position 524: 0.004307782832072443
Position 20659: 0.00422063361015847
Position 8998: 0.003957415564470265
Position 1237: 0.0035477978333274904
Position 21072: 0.0035266962787794866
Position 24022: 0.0033343599057240416
Position 23603: 0.002850931392474465
Position 528: 0.0028262610387345473
Position 41337: 0.002563725986100699
Position 41657: 0.0024939099736459415
Position 408: 0.0023920135813476208
Position 42643: 0.002270416145193404
Position 175: 0.0022327476249940597
Position 20481: 0.002212189992223446
Position 7280: 0.0020498465013621165
Position 42745: 0.0019605239313680483
Position 43579: 0.001833580151397024
Position 15280: 0.0017409705969248029
Position 1066: 0.0016923542988068387
