Gene = CACFD1
index = 271
Annotated 5SS: [ 201 3569 5461 8042]
Annotated 3SS: [3495 5334 7933 8575]
SMsplice 5SS: [ 201 5461 8042]
SMsplice 3SS: [5334 7933 8575]
top_k =  1000
Partition function (log Z): 1.6893252312652853

Sorted 5' Splice Sites (High to Low Probability):
Position 5461: 0.9807365751447863
Position 8042: 0.6836977474589256
Position 201: 0.6528587016184952
Position 3569: 0.5892907234421805
Position 8721: 0.33194969453675743
Position 8015: 0.3002287436376232
Position 2734: 0.25267312973990835
Position 2233: 0.24084650642714875
Position 93: 0.22682792622637446
Position 2939: 0.18932907841441252
Position 632: 0.1805913135768394
Position 4817: 0.1734622582904096
Position 7328: 0.15573807313063132
Position 5694: 0.0973087006118165
Position 7219: 0.09211924219802366
Position 5236: 0.08065979993743512
Position 636: 0.07318651225600803
Position 411: 0.06697357906858446
Position 6581: 0.06544138750870064
Position 1262: 0.060619493928239516
Position 8308: 0.06055498409615065
Position 1678: 0.05199200962970765
Position 8285: 0.047159995712539496
Position 8478: 0.0449135346591344
Position 8924: 0.0403533889693736
Position 2537: 0.040032888668097955
Position 7349: 0.038751679246404276
Position 5182: 0.03762367394818476
Position 1907: 0.0343858013949875
Position 6650: 0.034086136897744534
Position 157: 0.03284596112558714
Position 9884: 0.026363744010314168
Position 10487: 0.024686496830803824
Position 1425: 0.023543210709787665
Position 8711: 0.023034556862844623
Position 678: 0.02087666816275667
Position 2850: 0.0195578687506205
Position 5172: 0.017759981471307865
Position 5791: 0.01605635023819109
Position 2739: 0.01578484325273714
Position 205: 0.015745672352601086
Position 3719: 0.0150881693464191
Position 6144: 0.01403032477129578
Position 9484: 0.013515791956178969
Position 983: 0.012405487646003296
Position 1454: 0.011186531721845912
Position 9795: 0.011019909762567181
Position 768: 0.0103913152859709
Position 751: 0.009639249516203865
Position 6726: 0.009519515017131313
Position 5536: 0.009287888770255779
Position 7588: 0.008481991358700399
Position 5795: 0.008094597844621241
Position 7512: 0.00797956875177837
Position 4087: 0.007112615684015841
Position 9767: 0.00702973561825284
Position 55: 0.006220150803242236
Position 5758: 0.005575433863464929
Position 746: 0.004107064793362148
Position 9209: 0.0040311463197909925
Position 8010: 0.003656690521744441
Position 7767: 0.003547144881026959
Position 3573: 0.0034716177740284886
Position 1673: 0.0033576097149868203
Position 9199: 0.0029702745782620816
Position 1928: 0.0024781638931549335
Position 8715: 0.0024413179158969157
Position 1610: 0.0024018955289898305
Position 8105: 0.00217771074195634
Position 9739: 0.002043326186724881
Position 5417: 0.0018701540451586426
Position 2524: 0.0018522073549598912
Position 8663: 0.0017064752618970236
