Gene = SDHC
index = 1237
Annotated 5SS: [  169  9414 14241 26399 42584]
Annotated 3SS: [ 9356 14138 26336 42419 48071]
SMsplice 5SS: [  169  9414 14241 26399 42584 45324]
SMsplice 3SS: [ 9356 14138 26336 42419 45223 48071]
top_k =  1000
Partition function (log Z): -25.768299318348237

Sorted 5' Splice Sites (High to Low Probability):
Position 14241: 0.993607101665121
Position 9414: 0.8207347609985183
Position 169: 0.6830397981900301
Position 26399: 0.5682287223738562
Position 12512: 0.4046934174731713
Position 23262: 0.4026153496380434
Position 618: 0.3924148327353147
Position 1715: 0.320251048827668
Position 20296: 0.2461676252690501
Position 26511: 0.18262076377405703
Position 20053: 0.13867868209562112
Position 347: 0.11522525289528
Position 498: 0.07791768544990386
Position 4336: 0.06955598021808805
Position 2377: 0.04523523650027677
Position 1190: 0.02845605814079168
Position 6480: 0.02476769376005411
Position 13205: 0.024734431362445516
Position 28806: 0.023816591616468985
Position 21157: 0.02271807291553721
Position 14494: 0.02150326960729303
Position 10462: 0.015266332591332029
Position 1303: 0.014641775312292918
Position 773: 0.01384790336487263
Position 2631: 0.013601585836987593
Position 13106: 0.011187131117673107
Position 21484: 0.011035146333450487
Position 4564: 0.010379690946765992
Position 9019: 0.008358359136108991
Position 1409: 0.006217267079884776
Position 23270: 0.004933086943982127
Position 28855: 0.0046678168643082135
Position 4363: 0.00456830223191064
Position 190: 0.0039058435429123045
Position 1994: 0.003794570599087339
Position 1281: 0.0035816566214793926
Position 1699: 0.0031748108600966837
Position 194: 0.0031190552826994575
Position 2261: 0.0019955595747608093
Position 16304: 0.0019655075498621606
Position 2395: 0.00196440192179092
Position 9221: 0.0019587303238860535
Position 16009: 0.0018989426084084207
Position 10892: 0.0018755658973135076
Position 381: 0.0016628047448659614
Position 8453: 0.001628050466222512
Position 356: 0.0013976142507937611
Position 9866: 0.0010858639194656415
Position 10386: 0.0010856016452572821
Position 2117: 0.0008971369124967912
Position 16602: 0.0006070415650905573
Position 21470: 0.0006031750048179922
Position 20694: 0.0005051820509728821
Position 23571: 0.0004942751960155252
Position 284: 0.0004762379296999692
Position 103: 0.0003088468327765925
Position 1237: 0.0002804190628584277
Position 178: 0.0002693260895420283
Position 921: 0.00023394352653485575
Position 1289: 0.00019086547750387224
Position 20925: 0.00016150909037455856
Position 981: 0.00012529504056999993
Position 1537: 0.00012396786234104663
Position 570: 7.043589556621288e-05
Position 3782: 6.705506961787521e-05
Position 20541: 5.767619204556741e-05
Position 622: 4.50531485085604e-05
Position 1420: 4.4079802592747805e-05
Position 1999: 4.067905565557699e-05
Position 747: 3.5300250040799064e-05
Position 513: 2.9668962587224835e-05
Position 662: 2.6170847929509215e-05
Position 369: 1.9219698509217654e-05
Position 967: 1.912195704279413e-05
Position 432: 1.8892648487248236e-05
Position 1617: 1.798946420797506e-05
Position 130: 1.6763511474140915e-05
Position 1348: 1.539826930008119e-05
Position 996: 1.3589847308736264e-05
Position 1730: 1.1847441496078962e-05
Position 1745: 1.1769890705923238e-05
Position 1326: 1.1741019310619493e-05
Position 532: 1.0139365175524025e-05
Position 257: 9.97765107803885e-06
Position 2081: 8.780747583338025e-06
Position 800: 8.28580634600817e-06
Position 2137: 7.692843374532707e-06
Position 1638: 6.815051304697615e-06
Position 1174: 6.595108753523574e-06
Position 248: 5.3809776845274895e-06
Position 678: 5.370447898817168e-06
Position 863: 4.7700895996626715e-06
Position 1479: 4.752363803386655e-06
Position 1574: 3.2641500331463477e-06
Position 160: 3.09750558752615e-06
Position 1399: 2.8630722660158668e-06
Position 1432: 1.8344330966819212e-06
Position 1982: 1.7581582363104408e-06
Position 121: 2.0754552474810404e-07
Position 637: 1.4615530049204483e-07
Position 233: 1.3706395840258705e-07
Position 286: 5.617702167940587e-08
Position 1130: 3.5292400519327075e-08
Position 1027: 2.901723155755332e-08
Position 51: 2.228933791197865e-08
Position 328: 3.9902526224040595e-09
Position 631: 2.442768249336614e-09
Position 413: 2.160919328680243e-09
Position 777: 8.602027256665003e-10
Position 568: 1.3845696486963308e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 14138: 0.9972182333731611
Position 9356: 0.7601088389998903
Position 26336: 0.7381379048440678
Position 12393: 0.36950714482995944
Position 1496: 0.3201955104253022
Position 33920: 0.318320808859905
Position 20173: 0.25500520816696376
Position 23148: 0.2490484658690293
Position 26611: 0.22177195659141186
Position 23170: 0.1560772521011114
Position 338: 0.13105172820946215
Position 29401: 0.12707348759142728
Position 19912: 0.08273423298757532
Position 4133: 0.07412512663441408
Position 432: 0.07090722153563936
Position 19966: 0.06522510039718078
Position 28275: 0.061575001495424345
Position 9162: 0.058660506561372595
Position 2348: 0.05387165276176591
Position 26108: 0.04956836577790215
Position 469: 0.04037518070932379
Position 28693: 0.04033047441467778
Position 21256: 0.03986958282062341
Position 24612: 0.03923387980321869
Position 13102: 0.03593107648961202
Position 12389: 0.03536192155325097
Position 23126: 0.025822763442106895
Position 23424: 0.024768817046107266
Position 1233: 0.021068970215448322
Position 268: 0.019783392138912705
Position 1053: 0.017744736281007513
Position 30302: 0.01659965063784389
Position 20911: 0.01649975316700429
Position 359: 0.015488382815348898
Position 21676: 0.012392841996969658
Position 10344: 0.01169545314982606
Position 28296: 0.010183281317791695
Position 599: 0.010083976451346966
Position 25441: 0.009350237489355817
Position 21129: 0.009022595079531797
Position 4467: 0.00884151982667999
Position 8766: 0.008360532183259188
Position 14376: 0.008315562688317596
