Gene = SOHLH1
index = 1295
Annotated 5SS: [ 126  534 1200 2023 2917 4479]
Annotated 3SS: [ 401 1051 1900 2722 4264 5070]
SMsplice 5SS: [ 126  534 1200 2023 2889 4189 4479 5142]
SMsplice 3SS: [ 401 1051 1900 2722 4139 4294 5070 5713]
top_k =  1000
Partition function (log Z): 9.607081439692024

Sorted 5' Splice Sites (High to Low Probability):
Position 534: 0.9765998049424537
Position 5142: 0.9287289789088762
Position 126: 0.8892351907071525
Position 2023: 0.8541624074097269
Position 4479: 0.8437398986856752
Position 4189: 0.6872137935425291
Position 1200: 0.634839110811424
Position 2889: 0.6187321982823778
Position 2917: 0.31803831636430907
Position 2268: 0.23824926722417822
Position 3792: 0.22012358421437556
Position 5559: 0.20260520036699758
Position 1601: 0.1424738965923073
Position 2261: 0.13991320580916997
Position 3623: 0.11652472784852223
Position 1983: 0.1105381326599628
Position 2227: 0.08619830532351944
Position 4172: 0.06765729977379316
Position 4166: 0.058687647162044304
Position 2863: 0.0477190730737507
Position 5625: 0.03987899734297352
Position 2317: 0.030074809383969066
Position 1658: 0.026876291414738563
Position 2188: 0.021093779522140442
Position 5179: 0.02069868026380454
Position 5452: 0.01998629339992872
Position 1207: 0.01997178382707995
Position 94: 0.01900485654545661
Position 2181: 0.018992308643641136
Position 1242: 0.01771051106606266
Position 2253: 0.01565633603719797
Position 3936: 0.015327337658458055
Position 3956: 0.013480307869477508
Position 1693: 0.013459395885706115
Position 2415: 0.011641940365555594
Position 5325: 0.011490995622366431
Position 2314: 0.009895494555468815
Position 5333: 0.009460233208370913
Position 2654: 0.008033696305685255
Position 4047: 0.008013978414338643
Position 557: 0.007426062203062482
Position 4201: 0.007417616123987825
Position 1213: 0.007374498061968951
Position 678: 0.006248442143437205
Position 2861: 0.006104018026406509
Position 3453: 0.00600753988155224
Position 1822: 0.005414171186067117
Position 1131: 0.005365276121046465
Position 5896: 0.0053605346712949425
Position 2545: 0.004974773219820779
Position 979: 0.00496064078380653
Position 2321: 0.0042143569517214
Position 2896: 0.004150908957030853
Position 4510: 0.004086947829784917
Position 1653: 0.00393682099574221
Position 3614: 0.003935008765548971
Position 585: 0.003247766510741237
Position 866: 0.0032362373604079057
Position 2173: 0.002997475580105605
Position 4491: 0.002785869716358193
Position 5375: 0.0027010940258040284
Position 5535: 0.0026490350447816746
Position 4159: 0.0026464485711269357
Position 2326: 0.002384588767374361
Position 153: 0.002266691884051384
Position 112: 0.002258691446043258
Position 1680: 0.002209899764616631
Position 3771: 0.0021180993475393294
Position 5454: 0.002054559388395707
Position 2295: 0.0020088254465944625
Position 2633: 0.001764156979487526
Position 858: 0.0017288860712851909
Position 3043: 0.0017006255131231719
Position 171: 0.0016855277643982377
Position 1222: 0.0016837675311709907
Position 1027: 0.001658205934019145
Position 2609: 0.0015916595273103215
Position 4680: 0.001398113996882212
Position 1142: 0.0013749214208287298
Position 3968: 0.0013719833907443165
Position 3527: 0.0013177843180218957
Position 5474: 0.0012146487582053121
Position 4315: 0.001184740129873301
Position 4514: 0.0011416971589236905
Position 72: 0.0010545415186238966
Position 825: 0.0010514004776607895
Position 2873: 0.0009990230420846278
Position 2141: 0.0009318424845523597
Position 1072: 0.0009092678344706685
Position 3434: 0.0008182879352598869
Position 3342: 0.0007137319473599099
Position 5476: 0.0006536008743273993
Position 1272: 0.0006118432169977083
Position 2447: 0.000611585268501323
Position 3921: 0.000599018435468055
Position 1718: 0.0005944312273169989
Position 2183: 0.0003828364555646555
Position 936: 0.0003113247607570302
Position 3715: 0.00030630370466535136
