Gene = AAED1
index = 0
Annotated 5SS: [ 192  577 3623 3892 9389]
Annotated 3SS: [  507  3568  3785  9256 13394]
SMsplice 5SS: [ 192 3623 3892 9389]
SMsplice 3SS: [ 3568  3785  9256 13394]
top_k =  1000
Partition function (log Z): -3.140551339943942

Sorted 5' Splice Sites (High to Low Probability):
Position 3892: 0.9897541500159348
Position 192: 0.9459417980251645
Position 9389: 0.8975612679497678
Position 3623: 0.5164323734966462
Position 577: 0.320861987462468
Position 1961: 0.28304450143358334
Position 6183: 0.20433620179846929
Position 9137: 0.16300868074281574
Position 12992: 0.13942162161314012
Position 803: 0.10255314458876524
Position 772: 0.05421683806439026
Position 13072: 0.0514506203567328
Position 138: 0.038741942721794397
Position 10342: 0.03365278660589051
Position 13279: 0.0233981222943398
Position 3158: 0.022366001863518118
Position 3019: 0.01791358342310189
Position 438: 0.015526432193660884
Position 11407: 0.013583322690700944
Position 6178: 0.013067134297926873
Position 1408: 0.01171985179197904
Position 6432: 0.010996069334659736
Position 11031: 0.010639342127975212
Position 720: 0.008059591654994858
Position 3871: 0.006946437480755025
Position 10140: 0.005946791043609052
Position 4129: 0.005525121698798201
Position 6524: 0.004674394046578885
Position 8152: 0.0042813255875884465
Position 8261: 0.0040373439785637896
Position 11787: 0.0034205801044211045
Position 8096: 0.0030907313478970135
Position 1209: 0.0028799648688314578
Position 182: 0.0028508178695590978
Position 464: 0.002635177559166774
Position 7949: 0.0025519021306127055
Position 2661: 0.0025140415832856076
Position 2656: 0.002482040847762605
Position 1894: 0.0020611560074365294
Position 6349: 0.0019954737203769883
Position 5177: 0.0018817857016015687
Position 3353: 0.0018214841400608724
Position 727: 0.0016929035853963164
Position 3702: 0.0016866853921982286
Position 2979: 0.0016573051301520135
Position 13141: 0.0016375979562863873
Position 1241: 0.0016160521715970373
Position 6942: 0.001593818367096397
Position 9407: 0.0015676069750763307
Position 4081: 0.001403343235111039
Position 2018: 0.0013695970712944774
Position 30: 0.0013423939081151153
Position 13186: 0.0012311582989575711
Position 9035: 0.0011518959199070234
Position 2844: 0.0011178343660110067
Position 12490: 0.0010656291681010925
Position 1757: 0.0008409007219283371
Position 10172: 0.0008002484430504084
Position 1856: 0.0007513623912498659
Position 9365: 0.0007217374169129437
Position 8377: 0.000719982318769857
Position 759: 0.0006998514454420144
Position 769: 0.0005755199540364275
Position 1729: 0.0005217604103348775
Position 114: 0.0004776143449182014
Position 1034: 0.0003987272265755448
Position 186: 0.00038816002151638196
Position 2316: 0.00030229388822404637
Position 3931: 0.0003012547422186589
Position 5935: 0.0002862084986666117
Position 1700: 0.0002212968431595641
Position 4803: 0.00020863998098974608
Position 940: 0.00019986036402755718
Position 3634: 0.00017519657347148468
Position 4501: 0.00016863576178718426
Position 2654: 0.0001470425377253501
Position 1022: 0.00013063107667352612
Position 391: 0.00012161323468913605
Position 1365: 9.83988830286372e-05
Position 177: 9.65927993375925e-05
Position 591: 8.913649476618388e-05
Position 5827: 8.280579471959709e-05
Position 143: 7.740202120891993e-05
Position 5358: 7.519794075997547e-05
Position 1539: 7.265876133674683e-05
Position 1778: 6.398448490269871e-05
Position 864: 5.45467285850843e-05
Position 5497: 3.8711263779762114e-05
Position 778: 3.208958388604127e-05
Position 155: 3.074075710865544e-05
Position 180: 2.822540934096212e-05
Position 538: 2.6556557230900146e-05
Position 1806: 2.1664121179897996e-05
Position 1663: 1.809479966029468e-05
Position 2672: 1.7060501406721873e-05
Position 10350: 1.6183571988156154e-05
Position 790: 1.0605691656876144e-05
Position 232: 9.431998060188987e-06
Position 581: 8.959213599392089e-06
Position 1300: 7.554802991348838e-06
Position 793: 7.244535591119301e-06
Position 423: 6.782848587193914e-06
Position 1671: 6.416870296334028e-06
Position 174: 5.637855284483293e-06
Position 1232: 3.854552773582326e-06
Position 1580: 2.3207310451694247e-06
Position 603: 9.40666064449437e-07
Position 18: 8.724379570958863e-07
Position 566: 7.013631098410404e-07
Position 51: 6.982067373722533e-07
Position 408: 4.775243503915044e-07
Position 9051: 4.716154377708246e-07
Position 306: 4.2177215394296734e-07
Position 3926: 2.7078693900718725e-07
Position 4525: 3.59557220309418e-08
Position 516: 3.154843746341916e-09
Position 99: 1.9769113615580627e-10
Position 494: 1.5509269364839974e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 3785: 0.9883084951301517
Position 9256: 0.7898028728307509
Position 3568: 0.487795557819088
Position 13394: 0.4505948111309584
Position 1893: 0.2828619911204709
Position 507: 0.2612069218326012
Position 6094: 0.20666376982569162
Position 12909: 0.1986708485612982
Position 690: 0.11704476107076973
Position 15190: 0.10321399342889553
Position 9346: 0.0708939042797596
Position 11156: 0.0704697389121092
Position 278: 0.06662465551815254
Position 9058: 0.06629185001011753
Position 13465: 0.056062154627696426
Position 9292: 0.051614635982123694
Position 8910: 0.05092346177239458
Position 15169: 0.039267970978424944
Position 14452: 0.036379151945101364
Position 15215: 0.029035073508119742
Position 13032: 0.026801197602866037
Position 12329: 0.023683350614903058
Position 10062: 0.023243298424002266
Position 6099: 0.02160019825655136
Position 14149: 0.020509799205735205
Position 327: 0.01927046886072926
Position 618: 0.01756776102773186
Position 3460: 0.01699970755679412
Position 13100: 0.016371303948726792
Position 8947: 0.016087001610077034
Position 2787: 0.015234387535507946
Position 11152: 0.014814289767290106
Position 12859: 0.014444308194027082
Position 8950: 0.013292352394448538
Position 9011: 0.012753596021371109
Position 11545: 0.012494340048938438
Position 10969: 0.012062529747432708
Position 9873: 0.011583489729461847
Position 12921: 0.010069328355780598
Position 4006: 0.009278601872374382
Position 2763: 0.009239155291794298
Position 3059: 0.00830991592228915
Position 9932: 0.008069863184143135
Position 1175: 0.0077799388776021074
Position 9998: 0.007754772767428387
Position 8028: 0.007461954882857036
Position 3590: 0.007348502379453965
Position 10106: 0.007299793386492002
Position 9104: 0.006494046691713741
