Gene = BGLAP
index = 133
Annotated 5SS: [334 630 870]
Annotated 3SS: [ 590  799 1070]
SMsplice 5SS: [334]
SMsplice 3SS: [590]
top_k =  1000
Partition function (log Z): -4.334448167622224

Sorted 5' Splice Sites (High to Low Probability):
Position 334: 0.997306077527165
Position 630: 0.6266727887435628
Position 870: 0.06849141479865428
Position 917: 0.03579891404407215
Position 591: 0.03514064529576831
Position 624: 0.026375156167361514
Position 967: 0.016283288983858415
Position 829: 0.012164722267458537
Position 986: 0.004173977902747038
Position 961: 0.0013273589691892027
Position 152: 0.0013110808233233423
Position 1114: 0.001193916139666562
Position 678: 0.0005070357871390446
Position 855: 0.0004708900444848042
Position 193: 0.0003180353940075493
Position 77: 0.00024414598746396804
Position 606: 0.00022910218940942734
Position 1202: 0.00021318412861038688
Position 1009: 0.00018953646707554005
Position 564: 0.00014572435377320348
Position 921: 0.00011836248515557978
Position 955: 0.00011055728093707679
Position 1118: 4.3313834515114466e-05
Position 1062: 3.192470367953213e-05
Position 651: 2.328709080821876e-05
Position 1204: 1.1438653540979275e-05
Position 613: 9.885034944864234e-06
Position 686: 9.8808296536319e-06
Position 1195: 8.486293752743469e-06
Position 1057: 8.098215211707729e-06
Position 1234: 6.438406751015319e-06
Position 807: 4.374450929702355e-06
Position 805: 3.843848236223899e-06
Position 715: 3.4729056112886713e-06
Position 832: 2.098378866885249e-06
Position 369: 1.99207219408693e-06
Position 942: 1.9192142631908064e-06
Position 1007: 1.8891485498009248e-06
Position 338: 1.428373385535321e-06
Position 958: 1.1391914229599704e-06
Position 202: 5.162061060679276e-07
Position 233: 3.9660754630481645e-07
Position 4: 9.12102954946137e-08
Position 427: 2.808585198803439e-08
Position 451: 2.463101294749534e-09
Position 438: 6.953910173797954e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 590: 0.6663479655197049
Position 799: 0.29235333327842855
Position 491: 0.23428471552240662
Position 1167: 0.1899639531827566
Position 727: 0.1397752126417889
Position 1070: 0.07769528146913976
Position 767: 0.055655320367835846
Position 457: 0.04923759764956166
Position 816: 0.028518052965400713
Position 1106: 0.0264507887528731
Position 1295: 0.0177754812982019
Position 1012: 0.01211711903655834
Position 477: 0.010282300530071153
Position 1326: 0.0055260114086019265
Position 427: 0.004997912004977392
Position 1250: 0.003794362051406195
Position 438: 0.0030845995673051663
Position 686: 0.001786947770599933
Position 813: 0.0016704228257540187
Position 1200: 0.0015363736792518674
Position 972: 0.0007300189789003267
Position 1101: 0.0006987413958863591
Position 731: 0.0006399886221444166
Position 1347: 0.0005795973669074668
Position 1078: 0.0004894419338136411
Position 819: 0.0003802458927048112
Position 769: 0.00034619229395538466
Position 246: 0.000328572615475204
Position 1170: 0.0002958034269925776
Position 493: 0.00016630428408156617
Position 184: 0.00015462692605038974
Position 935: 0.0001243173237611815
Position 938: 0.00012189654952390129
Position 1109: 0.00011343101147356451
Position 243: 0.00011244131074032432
Position 976: 0.00010538599566574025
Position 1234: 8.95112326009923e-05
Position 528: 7.806053464550954e-05
Position 1000: 7.493564307359188e-05
Position 497: 7.258095986964114e-05
Position 1350: 6.73320022191931e-05
Position 1072: 6.000426538268462e-05
Position 572: 4.972065011616007e-05
Position 223: 2.8929448162437805e-05
Position 1352: 2.7576458981627673e-05
Position 824: 2.1259996656947233e-05
Position 1113: 1.841818717281923e-05
Position 1021: 1.7116487719049304e-05
Position 156: 1.4384234380268125e-05
Position 598: 1.4327530221423958e-05
Position 736: 1.2274076531457557e-05
Position 1018: 8.7824627080507e-06
Position 534: 7.840479438895881e-06
Position 329: 7.737126340348105e-06
Position 256: 6.605569978863704e-06
Position 881: 6.538407702670897e-06
Position 499: 6.095620388474472e-06
Position 502: 4.389517013002366e-06
Position 202: 4.247138082583997e-06
Position 558: 3.8280996762086606e-06
Position 357: 3.638272973378278e-06
Position 537: 2.8063739523708364e-06
Position 1016: 1.7388237005657108e-06
Position 189: 1.705619001624975e-06
Position 228: 1.5885798128073604e-06
Position 240: 1.2380073098111221e-06
Position 1143: 1.142535317033931e-06
Position 251: 1.123182611081606e-06
Position 543: 7.990464126841793e-07
Position 522: 6.424658714901109e-07
Position 603: 5.001235620624232e-07
Position 264: 2.2924141575148427e-07
Position 276: 2.1349542616069613e-07
Position 191: 2.1065210197184732e-07
Position 611: 1.8427733388507478e-07
Position 369: 1.5164938475758966e-07
Position 618: 1.1580585203118154e-07
Position 274: 9.975398931774046e-08
Position 513: 7.506870691362502e-08
Position 507: 7.069927802471062e-08
Position 509: 7.06678797614587e-08
Position 210: 6.979990603022962e-08
Position 613: 6.203265585234353e-08
Position 828: 5.963839264491496e-08
Position 233: 2.7253418593492425e-08
Position 623: 2.3818880852795274e-08
Position 876: 6.859220713727641e-09
Position 629: 3.7801441597053195e-09
Position 333: 3.607729505610789e-09
Position 135: 1.817775311902997e-09
Position 837: 1.0437914865050668e-09
Position 124: 8.199483923362409e-10
Position 115: 7.106357800053168e-10
Position 845: 6.672171547576108e-10
Position 389: 4.983066347498556e-10
Position 839: 4.543578398670996e-10
Position 91: 1.5855019763056336e-10
Position 385: 1.3295084708451007e-10
Position 382: 2.8118177870472386e-11
Position 380: 2.341295213613925e-11
Position 338: 1.6515806857471555e-12
Position 832: 9.17426743622773e-13
